# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Nov 20 10:50:44 CET 2019 [seed=666]
# -beagle_cpu -overwrite -seed 666 -save_every 100000 -save_state checkpoint.state HBV-A_ancientDNA_skyride_geo.xml
state	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.WestCentralAsia	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.WestCentralAsia	location.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0
25000	1.4228034837887513	0.16787553050418225	0.4849234028078742	0.28948564606022	1.0578383387016805	2.9440602312146495	0.11756573069760282	0.8126688813360865	1.3562811871392075	0.11520751910252623	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
50000	3.043662400614695	0.15214122034250369	0.40339543162211716	0.8431405794624329	1.9103079741094304	4.571685389258568	0.09886884060258182	1.282669189722513	0.8704610984909891	0.12140578971178105	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
75000	1.139935580403519	0.8780297943288898	0.13972195686817734	0.20043791170337535	0.9228888154667869	2.267061687273146	0.7713846328034237	0.8387458901605074	0.7387967692362104	0.0500376599048824	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
100000	1.3212217860908606	0.43882068856419065	0.10442586147799997	0.04319059382437777	0.5180074419266678	1.5654158557206759	2.45377495683727	0.7877671655940507	0.23290768291893987	0.04328258489145466	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
125000	0.911420613370833	0.6609831117041991	0.1402493697495905	0.07964345635749764	0.600325128820615	1.481892157766484	0.03164483537790691	0.6154177707125918	1.1003785629915719	0.4409646187332064	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	6.0
150000	1.5639415551517575	0.8347009947083919	0.19158364922178547	1.0324325895819337	0.9307232473088018	2.3717626500732503	0.04497948570428655	1.0781233781844437	0.17407091907089123	0.8296240277831897	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	6.0
175000	0.7476719896452001	0.47137361675902584	0.07274465976194341	0.057567168600134944	0.631912345007007	1.4294620900300865	0.027419746727057017	0.7152554474440144	0.3471217824433538	0.7031194487057101	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	6.0
200000	1.5646341772720038	0.09629590592213162	0.3741292545959082	0.4081702794727395	1.0438786901174488	2.0661227944346146	0.1146040283157513	1.399889110086839	0.44083024777394436	1.3703333487510414	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	7.0
225000	1.9983303422458014	2.7605220343478223	0.7143560441184126	0.21417559190275393	1.1776177545147843	2.2895572136260203	2.582200377842409	0.8870282129480368	0.4161093454171887	0.16520462234435054	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
250000	1.550713030380162	1.0045587632270245	0.41195417244746524	1.8581211296449613	0.781115241335302	1.9634090036779028	0.44835272238680235	1.146296357807867	3.8692780519475263	0.03847738987772674	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
275000	2.4660177951621245	1.5018907386762097	0.7126751022756798	0.6081104081032911	2.445766653732078	3.2820605316006293	1.6729313718066754	1.8597749284523666	0.4538779754846079	0.1886457893676726	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
300000	1.4826918698641283	0.21822771430563812	0.635567626091878	1.8474453357098723	1.0526632928340383	1.7159719870289927	0.23516905639828609	0.9040524685989487	0.1995755893277046	0.17799566566761418	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	6.0
325000	0.9927593028994193	0.08482904072829983	0.7899905546084623	0.46496463663552245	1.888797374318064	2.808150257819293	0.1516303748745443	1.140210838656795	1.156177975748705	0.9397387695849766	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	6.0
350000	0.5774185426166007	0.07510929172854561	0.3853750597468896	0.03879087771458016	0.6492212287274509	1.2456910005146338	0.2653617315226688	0.9855790566972514	0.055031863101180016	0.08440743497618265	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	7.0
375000	1.5358703038035464	2.871560302511456	0.3200813334904338	2.149884540123779	1.2878648309505794	1.7901066167890096	0.29420828705048435	0.9560359339297961	1.4895578946339079	0.5935132812403122	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	6.0
400000	0.8687037599825826	2.4595196622874966	0.06452636928112448	0.32340643841805095	0.8519161967935306	0.9632711892945196	0.9713123734023472	0.724716190743662	0.4430748583032183	0.024807426077266524	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
425000	0.8570128111103905	0.2964379920533347	0.4942017161360205	0.6050436147316852	1.056977694463314	1.5126455628498159	1.0556639013532298	1.1753292093753747	0.08197565171443172	0.4476070842867166	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	6.0
450000	2.9861151742798993	0.6497752534480696	0.5312297524466908	0.18179097739306868	0.9818957392232729	2.0383601121762895	0.18130019718701948	1.31030762139151	1.0127014198566244	0.022254085274539287	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	6.0
475000	1.7378411844247463	0.5146716561792803	0.35596092375279786	0.6816320797267702	2.1140355786872087	2.2447655515511866	0.8556187133199077	1.6023521572036108	0.1745106873743953	0.16643970975987632	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
500000	0.5064278288331908	0.9182323983152999	0.21182211235644785	0.8408354694201176	0.7208026740528664	0.7061985912880094	0.09016714502587928	0.5454344783156294	0.892076461407606	1.31229173642783	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	6.0
525000	1.2324218539507845	0.1514585631474921	0.20572658657431275	0.6499710795008335	0.8734016707994297	1.3847822160351682	2.418001007297497	0.8802034325763817	0.1587741638045695	0.08114589683838594	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
550000	2.3202846902915955	1.374104660435591	0.8593942438432383	1.3789646652363583	1.3319612297106525	2.7045616411921296	0.5069716632146638	1.981261774759791	0.8473118758363697	0.20734422531804791	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
575000	3.1339728477573234	1.0314920242140349	1.0845038569378733	0.18201799720425957	1.9446556454202164	2.9042658447800274	0.6955631962695504	3.4152369515219196	0.46069382732815073	0.18251194858725775	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	7.0
600000	1.780391671048088	3.284266565223693	0.43915014454101026	2.208493058960067	1.31646496109472	2.1687843600905037	0.21998436744906663	1.2062986790002217	0.05881288675448936	0.027577058650120122	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	7.0
625000	1.5379742999543726	1.0318143726660864	0.43116929842128676	1.478069988322065	1.51836588465768	2.8894462356247286	1.6163580376441846	2.207912679618181	0.0939731152828414	0.45719592958874317	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
650000	1.0878840088884005	0.1486533470082047	0.41609108264971273	0.8034390513290123	0.7322910712923795	1.8521831606946098	0.04516991049898568	1.9363992162836177	0.9762955130228848	0.15502946790030991	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	7.0
675000	1.2544031966948175	1.5803916969122307	0.43783759588680793	1.650721579131928	0.9968679455030012	1.4705567986301127	0.09268342277481854	1.127065836581894	0.169350468061774	0.03435960465690781	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
700000	0.933075876086004	3.4645101650446093	0.5485731433312672	1.6119451729914875	0.5557466397905502	0.8125490108245055	0.05167738983685622	1.2302144657276712	0.016562243241920814	0.07612054597991866	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	7.0
725000	1.5105655584479545	0.42161185149743835	0.3776614048333678	2.1351394726837833	0.5957833498228848	2.5816570664503407	0.03472976563070931	1.378475835109637	1.044714197738829	0.3952540882363942	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
750000	0.36142829873872806	1.831054024633848	0.12074057002099937	0.662816987503401	0.1526102437688696	0.3198871891284109	0.11159129281978836	0.1882592246046619	0.8576596415770554	0.028855909898282447	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
775000	0.3365530307455952	3.8336126523960186	0.07945728600335386	0.7138795994089407	0.2374598755290548	0.4924789617043094	0.40712767538423966	0.263099829137742	0.02871713841979726	0.041922007103808154	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
800000	0.2626556564402961	0.2588558259379235	0.04016250443814727	1.57554360693084	0.1828470723023231	0.4082356713687595	1.0870150687663511	0.3264219190107527	0.4531371544091357	0.01693747376234433	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
825000	1.223583052155621	0.6796564130216725	0.6493045885265658	1.105937204426077	1.4556885935294115	1.8901303290341018	4.288477635006928	1.7974160890489208	0.2738337639665646	0.15114870681720335	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
850000	0.9876097773243333	0.3788186885204686	0.2008709015653906	0.015575510685264665	0.8066963789759194	1.6944439565372786	0.7764536003059765	0.9261801428547896	2.9549881636168127	0.04499654478781764	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	7.0
875000	1.6533539302731273	1.4815538040454634	0.2563341551210161	1.4677091670006266	1.6651656817891578	1.7577923334049013	1.5408708603264845	1.4497595251695357	0.9231217671031907	0.04778893701207977	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
900000	1.1688726735968207	1.5594950796257365	0.6773812444038114	0.0725107797187312	1.3220628528125178	2.0730015426981523	0.9617665734173011	1.054856395758352	0.011660195191945198	0.09291707639707705	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	7.0
925000	1.3554694089858217	0.454355787661705	1.158141072776826	1.1432186064299545	1.5961936302190773	1.9910149764104736	1.9069660848096988	2.5476527806803553	0.4435511510247447	0.2028489991567462	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
950000	1.9298417234393306	0.3051974067580219	0.626245746008987	1.0235738123216636	1.3281490217218876	2.8006856416641135	0.23738388843091657	2.3726127476775054	0.7812490108059231	0.10885056303275828	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
975000	0.8457016494880992	1.2304824629089925	0.5210935745281668	1.2965120715019558	1.0979963282421203	1.2330365415095152	0.11753618023112493	1.5320838887062633	0.7542444840335784	0.20249814008549208	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	7.0
1000000	1.8821489244666134	0.5653267052059419	0.5163677550095364	0.13241935434232519	1.0415276532895386	2.2747862863178523	0.6701820126598764	2.6617836968890507	0.18179660134615916	0.48304333048361037	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
1025000	0.7700219533279438	7.223752717734761	0.4133549876005627	0.8136791711683283	0.9799065120440896	1.8629451656257225	0.2577013834676882	0.8567421052542356	0.2618762977062666	0.2012534131451276	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
1050000	0.5888367644499208	0.02030506447027898	0.22414784460856835	1.560464732411229	0.6360496670931127	0.8341726004825462	0.5539875770021422	0.6076414784648241	0.11674327835157426	0.065110650765031	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	7.0
1075000	1.6154423600618717	0.8721354451886992	0.5448004715644349	0.6375155609941802	1.1949747735498262	2.625813298143191	0.08837413220484099	1.091924682764489	0.1336158770118719	0.25793314253040384	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
1100000	0.8999610491729617	0.5791159536780005	0.7618371640043271	0.2891225457024563	0.9546876587563528	0.9878758950030768	2.370182731928659	0.9880454339122847	0.9135129127143118	0.10272343412025534	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
1125000	2.9064995621016028	0.511793236520373	1.2309466311142192	0.02895221024878074	3.818162604081262	2.9302250191445722	1.937934534942661	1.9821731033620964	0.39934133695674695	0.502888455540735	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
1150000	0.9229809564224817	1.464252621338005	0.17697929890090475	0.18162752075498884	1.111502622609399	1.5851090992240966	0.9119414693858829	0.6175918114762832	0.8411953706632316	0.27252337133027366	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
1175000	0.5810986903409286	0.139870856301785	0.7088818739156009	1.1468496210020869	0.7219052907893198	1.4949963744334454	2.408740131747342	1.2132876068648415	0.31276725165699093	0.10568634221350165	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
1200000	0.6229459506665445	5.001105729622851	0.9712013114789151	0.14286553059460902	0.9738201890155003	1.5954856649315967	0.6369862010020667	1.0665912270051763	0.19162920381679685	0.3595012222121192	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
1225000	1.058187395125666	0.9562189318647933	0.41270722673994387	1.0267766857474643	1.1350023692635616	1.1588911782271178	0.4621131725950924	1.0585308538241933	1.8006826898589325	0.2617951570318871	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
1250000	0.6430739051300511	2.7761559566908725	0.4369992724897032	6.907893863994855	1.0573124482893996	1.0384011778886053	0.12463715668055252	0.5099421002474287	0.2008327487339072	0.15730410865842867	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
1275000	1.0551571563616218	0.08864036575989959	0.1728821327005934	2.9041120867716663	0.7095673549658559	1.1590180460220207	1.693070566996423	1.0256963939584638	0.10685998113608687	0.05467484286467173	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	8.0
1300000	0.9002064608931521	0.03969118041545849	0.557484171948075	0.3282384371234665	1.0427432061830981	1.0304189131509163	0.44165386069925583	0.7098522833981049	0.7646236005350298	0.16169288004323074	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
1325000	0.3815677864736485	0.07840554906866419	0.3444970194276905	1.312394435109404	0.5986767959789799	0.642078391514687	1.8489651942807874	0.38832610978476867	2.002800506431108	0.1418744963163129	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	7.0
1350000	0.9770450711250865	0.314717257241833	0.5569278886383303	0.9941181750308847	0.7107725157259377	0.44210624936161086	0.4290073206187737	1.3793094700496695	0.14133943575435712	1.9367948606107923	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	6.0
1375000	1.5254674274996927	0.23393850726554366	1.3335001945934528	1.1104520999326224	1.799302985737656	1.3524611586229185	0.008238756989061348	1.7547021180911855	0.16068527153810463	0.1554238284017532	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	7.0
1400000	1.0013664850120072	1.6402883893982185	0.40199226989785514	0.20716149718964927	1.053613647753399	1.5425329784458806	1.3044136604204444	1.4393001965053733	1.6536218921208063	0.13249673656710592	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
1425000	0.9769284079645417	0.2120891471515099	0.7272323444092768	1.1608624789139557	0.4481935692511075	2.357846526622925	0.3285426676646281	1.01358192485904	0.1359522287329925	0.13287359646014882	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	7.0
