# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Nov 20 10:51:43 CET 2019 [seed=888]
# -beagle_gpu -overwrite -seed 888 -save_every 100000 -save_state checkpoint.state HBV-A_ancientDNA_skyride_geo.xml
state	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.WestCentralAsia	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.WestCentralAsia	location.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0
25000	2.2486181139991555	0.2874555684007985	1.5306943288562584	2.0641512178985537	1.763732635293969	3.057947318066574	0.04756631060742266	0.4170383503819783	0.012862847421214754	1.0043973134106912	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	5.0
50000	1.4497770261080336	3.0937502317860353	0.5199451938451837	0.11609029658226556	0.7098050401610104	2.397183700306302	0.12374991841204036	1.0498429998900904	0.12310630848475182	2.479042504520233	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	6.0
75000	0.8771397747010484	0.30990929855096766	0.30571859166243537	0.5908348247156907	0.872967706407667	1.7485101453032024	0.052555623133904605	0.5227401479324868	2.3125970670051785	0.9986378347398774	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	6.0
100000	1.007723151095409	1.0803871252757895	0.3623092890219607	2.0482871825749833	0.890260996125121	2.2224926937559877	0.12430907748041932	0.849867789895279	0.7342617626593366	0.8409543898754474	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	6.0
125000	1.3371155497126337	1.261936454154201	1.4167818578840063	0.4353620195473744	2.0057461156588685	2.4042473611149124	1.0188535917997323	1.5254744447075081	0.21395545531851765	0.6685025579603792	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	6.0
150000	1.052682026789892	1.824670420328422	0.5139238485706579	1.2911686443325663	0.7462622525126251	1.8015084899200182	0.41314754474849813	1.0475208402278773	0.09480299160757377	0.4219961441331363	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	6.0
175000	0.7941793562246651	0.38121370462145737	0.319100826088255	0.460965861024629	0.5347888737851848	0.9616508755765429	0.04325569808849556	0.694540653164045	0.12242208991921673	0.3033477397842157	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	6.0
200000	3.3881246262810203	0.08321966989769553	1.0201990833720715	1.3324636762030817	3.1754103750244034	2.9090527460410365	0.025225133424618105	1.94163217933239	0.5300489582737381	2.2200429126918553	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	7.0
225000	1.5473535189160277	1.3274615312736295	0.2988193283465885	4.014432116436411	0.8819262731695356	1.844099817923555	0.9128668833492446	0.6197153965604573	0.4532270804912329	0.01820675829680052	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
