# BEAST v1.10.5 Prerelease #23570d1
# Generated Fri Nov 22 18:00:56 CET 2019 [seed=666]
# -beagle_cpu -overwrite -seed 666 -save_every 100000 -save_state checkpoint.state A_ancient_skyride_phylogeography.xml
state	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.WestCentralAsia	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.WestCentralAsia	location.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0
250000	1.4329572343538088	1.4449415431369532	0.5790339532425521	0.49594611332263383	2.0716807457404136	1.8173992475204221	1.3295814818402922	0.6544243365205323	0.14740087129232887	0.10445977101007826	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	7.0
500000	0.9223744787850978	0.7126110400535148	0.34043778672732994	0.18284393049654285	1.4211553171234166	2.0383887091603183	5.865913132921661	1.0170609740028922	0.5183681883675365	0.05386982793455808	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	7.0
750000	2.4370322841672283	0.6214807335009939	1.3492217943573888	0.3697556042403908	1.5808997858014686	2.2171212923775285	0.2502165637232651	1.7597526854546466	2.4832990421209833	0.30271494402782534	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	7.0
1000000	0.9002011838520126	0.79816216751322	0.29656376167976906	0.8563031667766763	0.5811171940868941	1.0729790452416619	0.6775752738381714	0.41163716751939144	0.8896912358761054	0.09104315914299534	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
1250000	1.1141769206263878	0.3934813201449851	1.7182038871154943	0.8738556715758781	0.7227613757345245	1.5310804948198493	0.6040767954162376	1.5404869324663248	0.22214008696172852	0.5340219718488114	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	7.0
1500000	0.5461881714907497	0.17748086814270986	0.616808973866852	2.99284337900489	1.2224595973025265	1.1439730969621962	0.43763147482176373	0.9189377615870185	0.9698570732755724	0.10690176178706885	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
1750000	0.49865754920608835	1.6542617445415342	1.0446313734299022	0.03873715060938987	0.628175672601141	1.2244425582496674	0.2198280595346499	1.8059109481256548	0.002249623651076107	0.22212423601975204	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
2000000	1.2193588617321856	1.4060062584484017	1.3126961699324415	1.8834793990880865	1.4524497005728974	1.938038137181098	0.9243141563331484	2.1963134905148096	0.13677851874365	0.30483271197066736	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
2250000	0.550700522665043	0.45004453638646674	0.3101879856064238	1.5625207405622346	0.7518089527574249	0.6074765903840079	1.889893754574192	0.5182877089316572	0.07905086257371022	0.03379557950284444	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	7.0
