# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon Jan 06 14:48:28 CET 2020 [seed=101010]
# -beagle_gpu -seed 101010 -save_every 250000 -load_state checkpoint.state -save_state checkpoint.state2 -overwrite HBV-D_with_ancient_aligned_constpop.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-132928.82929329388	-20719.794636491064	-112209.0346568028	3535.664980557566	-1523.6649805575662	249463.83586933266	63059.05207041617	2.837601052664476	0.3356609605048395	0.2431847351079112	0.17859717436611416	0.24255713002114168	0.3409700554839809	9.946320183174975E-5	1.1336035455032624E-4	8.018922696508434E-5	0.9447758359562036	0.04716566351679687	-112209.0346568028	-11269.5350994549	-9227.288080893411
25000	-132940.3355834138	-20710.398366744084	-112229.93721666973	3439.2981870176536	-1427.2981870176536	248870.84410286852	57307.67810769805	2.908995255846683	0.3366498615785875	0.24720112266529237	0.17521949280203292	0.24092952295409373	0.33870562234768564	9.959737141124472E-5	1.1399521070580553E-4	8.010166692243084E-5	0.9636600219535152	0.06077820248783993	-112229.93721666973	-11269.5350994549	-9217.867329306564
50000	-132947.75242978966	-20702.417647809663	-112245.33478198	3576.866312565022	-1564.8663125650219	247523.56170237597	56504.97398356011	2.8744784647587807	0.33109541548047716	0.24946006988255737	0.1770064088485867	0.24243810578838534	0.33441645089932454	9.915451707651506E-5	1.1040734680229543E-4	8.014234092709464E-5	0.9624614009870511	0.06571861691992753	-112245.33478198	-11269.5350994549	-9209.918444484862
75000	-132952.04436993244	-20700.907649384906	-112251.13672054754	3306.1159206306033	-1294.1159206306033	246400.99424269897	56701.17383042413	2.7828733041744806	0.32930729616115684	0.24858263006911893	0.17928178594598707	0.24282828782374377	0.33623960401000946	9.939342458749715E-5	1.1276395727538508E-4	7.957707381849612E-5	0.9773660170246143	0.053803331367237944	-112251.13672054754	-11269.5350994549	-9208.43215230193
100000	-132906.77501001215	-20694.03663873032	-112212.73837128184	3260.3060693490766	-1248.3060693490766	245814.26850150485	56843.8203047383	2.8666375612111725	0.3361648545920508	0.24193450041485687	0.17811668946969797	0.24378395552340099	0.33964995651007235	1.0320641427851275E-4	1.166387983227942E-4	8.165537609145201E-5	0.9780911604824719	0.032362442377055926	-112212.73837128184	-11269.5350994549	-9201.431908007542
125000	-132915.7764583899	-20701.030217965745	-112214.74624042417	3191.369207072913	-1179.369207072913	243828.17121066366	52374.75305952158	3.0519994480383144	0.3420995369453795	0.24150204645975185	0.1758529762508493	0.24054544034402606	0.33706235145985336	1.01505210071856E-4	1.1282611284447308E-4	8.156965181749816E-5	0.9607477838555182	0.0436729763391708	-112214.74624042417	-11269.5350994549	-9208.405374423986
150000	-132868.51439591797	-20654.047623100363	-112214.46677281761	3173.3418866166694	-1161.3418866166694	232594.5851158501	56083.0683195378	2.832853169921038	0.331649498181926	0.2450356607349399	0.1773085883151245	0.24600625276801594	0.33287738186986277	1.1145638336486187E-4	1.268713458717776E-4	8.910427833387623E-5	0.9893021041719994	0.020810786316536746	-112214.46677281761	-11269.5350994549	-9161.277683591563
175000	-132819.65355633493	-20634.406757024328	-112185.2467993106	3287.4106728503043	-1275.4106728503043	226709.21369516177	55331.47051108083	2.901624700312045	0.33640237599559847	0.24557509612333134	0.17795022033327948	0.24007230754779718	0.3272286029429037	1.0998459902773441E-4	1.199507525295286E-4	8.842566225186887E-5	0.96882996974555	-0.019642501176487828	-112185.2467993106	-11269.5350994549	-9141.656620043666
200000	-132825.21787796525	-20611.2404665269	-112213.97741143836	3280.777465157835	-1268.7774651578352	220421.91573308082	49754.242193989034	2.8613746025400117	0.3361736104145412	0.2427590229680842	0.1751981893404016	0.24586917727697957	0.3359080897740232	1.1194147632466597E-4	1.2054496651797368E-4	9.139913788066542E-5	0.9315919206841561	0.04208267839353373	-112213.97741143836	-11269.5350994549	-9118.443268817733
225000	-132813.83805906627	-20626.97829732561	-112186.85976174065	3375.924188189243	-1363.924188189243	223178.90486471876	53840.649514995355	2.839718863487071	0.33443581593927124	0.2420478857829894	0.18053596941759886	0.24298032886014706	0.3391866629896113	1.1123060374057375E-4	1.2306266410770918E-4	9.06148100346307E-5	0.9547336732568615	0.0072966453067339985	-112186.85976174065	-11269.5350994549	-9134.198349847557
