# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon Jan 06 14:57:06 CET 2020 [seed=111111]
# -beagle_gpu -seed 111111 -save_every 250000 -load_state checkpoint.state -save_state checkpoint.state2 -force_resume -overwrite HBV-D_with_ancient_aligned_constpop.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-132810.9771294287	-20683.605234538743	-112127.37189488998	6290.724008109431	-4278.724008109431	252806.52124811476	56800.42587718613	2.7828197028341353	0.33424215396152956	0.24695832938013892	0.17500980200245203	0.24378971465587998	0.33660160612094253	1.0768736131779701E-4	1.3208373087459624E-4	8.156912589148939E-5	1.1098504851038777	0.020409316942897573	-112127.37189488998	-11269.5350994549	-9190.931923755763
25000	-132809.26486001076	-20709.469089178885	-112099.79577083187	6469.100606680737	-4457.100606680737	260869.32385562366	57981.23363697783	2.9218165863241596	0.3268282235509864	0.2525494973076367	0.182188486573033	0.23843379256834446	0.33812384713222216	1.0478222526324145E-4	1.2304810852843814E-4	8.101153039484222E-5	1.0657704687019476	0.06274856589095205	-112099.79577083187	-11269.5350994549	-9216.810252292515
50000	-132782.9665415852	-20684.496266252587	-112098.4702753326	6681.710164622355	-4669.710164622355	255445.90521105335	54622.731422447236	2.893596828360332	0.32826306033915287	0.24488071242219348	0.17954226623779235	0.24731396100086195	0.34110127089312253	1.0415832002251526E-4	1.2426465467816974E-4	7.977264444136057E-5	1.070157515329101	0.041464218433246096	-112098.4702753326	-11269.5350994549	-9191.856316817992
75000	-132803.3688589334	-20711.856793482984	-112091.51206545041	6779.152271602856	-4767.152271602856	263290.9197988475	58679.46785935176	2.814315586944213	0.33273485672080444	0.23932294375188376	0.18194274067626098	0.24599945885105162	0.3246052431558308	1.0401843532629631E-4	1.2680833413582004E-4	7.990084304660196E-5	1.0673908236230265	0.027687577281220666	-112091.51206545041	-11269.5350994549	-9219.281783629256
100000	-132801.64000701773	-20697.720480430937	-112103.9195265868	6470.174469516171	-4458.174469516171	258102.93271936048	59568.37097391984	2.8039199779852133	0.3254855745861437	0.24834858353342837	0.17991479412934028	0.2462510477510885	0.3402337342614481	1.053092154473514E-4	1.192175164108698E-4	8.197530363100748E-5	0.999653157592742	0.025102171938243427	-112103.9195265868	-11269.5350994549	-9205.087597020765
125000	-132752.17315861705	-20682.18989455416	-112069.98326406287	6410.008241930212	-4398.008241930212	253448.09462632946	55885.01013901599	2.863529601071403	0.33583328370058374	0.2438399961394771	0.17596899198579152	0.24435772817414855	0.3335982781751879	1.0563155739408024E-4	1.2141222164637665E-4	8.11334154165938E-5	1.0228161524857111	0.0539411425980368	-112069.98326406287	-11269.5350994549	-9189.541125920978
150000	-132872.1051161456	-20737.045231808996	-112135.0598843366	6574.907982121035	-4562.907982121035	270061.2218793902	62444.30136336219	2.8702014209302886	0.32974637180826666	0.23842170478251581	0.1844098050910459	0.24742211831817254	0.3371317395436534	9.837179908627127E-5	1.0919049119771654E-4	7.693817535828013E-5	0.9968483500114854	0.04028915356773878	-112135.0598843366	-11269.5350994549	-9244.561381215553
175000	-132809.99790245958	-20693.452688590194	-112116.5452138694	6584.216281766011	-4572.216281766011	255485.29832231865	60773.064879824306	3.0001216707432823	0.3381673504240344	0.24275860826567086	0.1750629020472344	0.24401113926306123	0.3372899241430727	1.0133238917587943E-4	1.0873884170220427E-4	7.897237872331008E-5	0.9648133208402003	0.049597627122319486	-112116.5452138694	-11269.5350994549	-9200.849889575875
200000	-132790.03184968946	-20677.708249682066	-112112.3236000074	6508.339826257834	-4496.339826257834	248435.21594119788	60746.505193172416	2.848710332534732	0.331096056274103	0.2437806271117059	0.17729497802477362	0.24782833858941833	0.3290821586117879	1.0808419140715823E-4	1.1251945510110762E-4	8.44938651665848E-5	0.9242394419267482	0.024326695542407215	-112112.3236000074	-11269.5350994549	-9185.01696104463
225000	-132856.7241213662	-20726.023048497947	-112130.70107286825	6376.217726548555	-4364.217726548555	266971.2540916811	59377.04908334221	2.854355281261015	0.3310760305301117	0.24187481959073126	0.17809186250866774	0.24895728737049014	0.3441018768551178	9.741562445531988E-5	1.0244787790411899E-4	7.6163830179648E-5	0.9351951330373164	0.032825782855150566	-112130.70107286825	-11269.5350994549	-9233.55464907756
250000	-132812.85401231938	-20719.72965934524	-112093.12435297413	6690.460094835858	-4678.460094835858	266042.6569117566	62364.967767672955	2.826164206691046	0.3311591282335942	0.24253875986315515	0.17837968350581346	0.247922428397438	0.3390776964400593	9.618658197222115E-5	9.972949511197938E-5	7.603349106658468E-5	0.9280556210607618	0.030197814085642774	-112093.12435297413	-11269.5350994549	-9227.312170160138
275000	-132860.6543393821	-20750.120544367346	-112110.53379501475	7444.911473469877	-5432.911473469877	276146.1665949821	65222.23170812265	2.7619470729799183	0.329973212137611	0.2455918191886418	0.17882381979044012	0.24561114888330784	0.34045081763025353	9.589507067800027E-5	1.0126097647116244E-4	7.500487782391446E-5	0.9799687780749741	0.07478607609455835	-112110.53379501475	-11269.5350994549	-9257.731003311792
