# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Dec 11 15:21:23 CET 2019 [seed=121212]
# -beagle_gpu -seed 121212 -save_every 250000 -save_state checkpoint.state HBV-D_with_ancient_aligned_constpop.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-1.2201640260491047E7	-1.1871607845828215E7	-330032.4146628318	2295.0	-283.0	81981.0	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.18E-5	0.3333333333333333	1.915846645505724E-6	20.711846823060164	-0.0035023999579527902	-330032.4146628318	-11269.5350994549	-1.1860118E7
25000	-139889.01810707024	-20233.586805018516	-119655.43130205171	3950.8596280003844	-1938.8596280003844	155458.44361103195	31981.31345906216	2.789080789615037	0.3308124938841189	0.24146252580266667	0.1777113543876354	0.25001362592557885	0.3430612127787347	1.8549714484764694E-4	2.0062657212195954E-4	1.2400410871534832E-4	1.0640199705497695	0.05974988682879031	-119655.43130205171	-11269.5350994549	-8739.447072184928
50000	-136559.81226530048	-20316.340790386548	-116243.47147491394	4200.506637599858	-2188.5066375998576	169506.07864189366	36633.2670821889	2.795479484878056	0.33542835045282743	0.2426989231756726	0.18134924486313464	0.24052348150836503	0.3322983807781008	2.0751401357562666E-4	3.0076351214428516E-4	1.204703756189733E-4	1.4487210531525525	0.05593992687909541	-116243.47147491394	-11269.5350994549	-8821.89596702229
75000	-135406.85888742426	-20266.00192386426	-115140.85696355999	4803.040846755124	-2791.040846755124	161538.34479868936	32100.52320294532	2.8438790809754995	0.33036414854539703	0.24967961713002554	0.17162209969451023	0.2483341346300671	0.3430438452456756	2.3327686636599203E-4	3.946289222585511E-4	1.2619467070616418E-4	1.6563907582053117	0.04276276338425729	-115140.85696355999	-11269.5350994549	-8771.170704773609
100000	-134985.16062088212	-20271.428568012147	-114713.73205286998	4584.607351078084	-2572.6073510780843	160965.9120083511	34178.01664967083	2.8243068589691362	0.3336243408810334	0.25034387549132203	0.17679015065765802	0.2392416329699865	0.3344801354580146	2.38382700653262E-4	4.3431917912225025E-4	1.2813038216848708E-4	1.7776691457218599	0.033493927144684486	-114713.73205286998	-11269.5350994549	-8776.556229716422
125000	-134680.89607926234	-20295.42042794683	-114385.47565131552	4403.185889539311	-2391.1858895393107	166101.34884534415	32600.034285580725	2.854260202362588	0.33252098112008543	0.24740150661053964	0.17851532322658506	0.24156218904278978	0.3256299441848211	2.318258786778957E-4	4.3336933374280007E-4	1.2311511453340555E-4	1.7907581398728047	0.030713790095919027	-114385.47565131552	-11269.5350994549	-8800.638903099249
150000	-134537.59427601026	-20265.476431778832	-114272.11784423144	5284.460213977036	-3272.460213977036	163980.25103764122	31218.649565180553	2.9058592676792765	0.3358961530296447	0.2473405815716189	0.17114114417299361	0.2456221212257427	0.345085829496688	2.451354365826951E-4	4.951235750061061E-4	1.2400209933378082E-4	1.922379528968548	0.027309717521705107	-114272.11784423144	-11269.5350994549	-8770.468670899822
175000	-134474.04809920705	-20284.953694466836	-114189.0944047402	4585.881168247661	-2573.8811682476608	166370.72375467283	35052.718905008594	2.8639914880100985	0.3300614629951815	0.24579528834790468	0.1777660699535585	0.2463771787033552	0.3344698093841675	2.3968457722477334E-4	4.838392426915593E-4	1.2214309311012618E-4	1.9355713906806002	0.01306141046459244	-114189.0944047402	-11269.5350994549	-8790.050415716543
200000	-134421.61208621392	-20265.35947856193	-114156.25260765199	4656.034716674499	-2644.0347166744987	161852.3076229466	34497.266870112	2.903240086387355	0.33031473672483863	0.24843364078760066	0.1720513681435346	0.249200254344026	0.34544060761825535	2.503664655958907E-4	5.076523867785563E-4	1.2779057542651256E-4	1.9374502624621532	0.01756831096282978	-114156.25260765199	-11269.5350994549	-8770.287609028292
225000	-134219.9168799258	-20219.234654746866	-114000.68222517893	5804.706934748891	-3792.7069347488914	155559.75786981682	32011.906369001095	2.8041047278135776	0.3287009865622374	0.24904554283176147	0.17801510176320773	0.24423836884279343	0.34571872186075053	2.593746943044628E-4	5.34204220103879E-4	1.3183546522291899E-4	2.003510055411027	0.018293832039175808	-114000.68222517893	-11269.5350994549	-8724.08965330121
250000	-134115.73352838572	-20227.612132377406	-113888.12139600833	6063.448230735935	-4051.448230735935	157703.2534144176	31146.488858865672	2.8420978258022225	0.33747128519200464	0.24468054685221355	0.17684602002902752	0.2410021479267543	0.34665475732905765	2.578011908649524E-4	5.210239915692508E-4	1.306414540859794E-4	1.954192051634112	0.04854449431164405	-113888.12139600833	-11269.5350994549	-8732.470220604348
275000	-134102.35968260505	-20257.274409321235	-113845.08527328382	5690.526829080072	-3678.5268290800723	163370.12361423104	34240.477658847485	2.8345645378275766	0.3304732805280045	0.25239495239458054	0.17655223897562727	0.24057952810178745	0.3470130275841286	2.373446089241004E-4	4.8994227260825E-4	1.2088779492437406E-4	1.9809759000049578	0.0438496856815417	-113845.08527328382	-11269.5350994549	-8762.386291287523
