# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Dec 11 16:17:23 CET 2019 [seed=141414]
# -beagle_gpu -seed 141414 -save_every 250000 -save_state checkpoint.state HBV-D_with_ancient_aligned_constpop.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-1.2202231036825495E7	-1.1871607845828215E7	-330623.1909972794	2295.0	-283.0	81981.0	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.18E-5	0.3333333333333333	1.068738927355228E-6	27.94897901823072	-0.0015788950697038849	-330623.1909972794	-11269.5350994549	-1.1860118E7
25000	-140997.62340393377	-20085.46551580611	-120912.15788812767	2762.9547822762024	-750.9547822762024	128095.38309983016	25636.355518453754	2.812993931184971	0.3209256890507615	0.24830991436471064	0.18048625617830455	0.2502781404062232	0.34205445411328533	2.588579978439731E-4	3.389136858395947E-4	1.6394642070754797E-4	1.2173077659335547	0.01904662986371137	-120912.15788812767	-11269.5350994549	-8590.331330299665
50000	-137666.1139972681	-20117.58784616832	-117548.5261510998	2856.3902859827126	-844.3902859827126	131949.90310396196	27747.252329176565	2.938169121403752	0.3327931849128102	0.24284304998414863	0.17698466052312023	0.2473791045799208	0.35840954959215543	2.7166109115004983E-4	4.300948349587953E-4	1.577429361563185E-4	1.4285788223299807	0.07690630625889101	-117548.5261510998	-11269.5350994549	-8622.226356688407
75000	-136589.740843657	-20120.495490706395	-116469.24535295062	2758.298614079749	-746.2986140797489	132273.710645667	26896.33111649065	2.930948720231435	0.33099001858441357	0.24494895016899204	0.1728827073903435	0.2511783238562509	0.340554698443053	2.8040501458540673E-4	4.7619620401283524E-4	1.547526907335073E-4	1.514428109555779	0.08358917861012219	-116469.24535295062	-11269.5350994549	-8625.073379349804
100000	-135898.2966282024	-20117.808304043094	-115780.4883241593	2884.1817781010973	-872.1817781010973	130630.65560100149	24490.25606058	2.875833175283542	0.33269143655754285	0.24454421958818592	0.17990146942042332	0.2428628744338477	0.3539651581209709	2.923707109803653E-4	5.173615780563375E-4	1.5943312813943556E-4	1.5760892103533386	0.05893967815588746	-115780.4883241593	-11269.5350994549	-8622.247711189762
125000	-135654.31967427567	-20121.945711996574	-115532.37396227909	2896.3539181676283	-884.3539181676283	131561.88654008272	27520.521210819734	2.8139928489882187	0.33375831528351124	0.24363630016065196	0.17600123935769563	0.24660414519814083	0.3367210080409076	2.951998174771978E-4	5.211652354184895E-4	1.619996980370234E-4	1.576743951275064	0.06861470860099499	-115532.37396227909	-11269.5350994549	-8626.41153754816
150000	-135429.86115675638	-20107.925986600698	-115321.93517015569	3029.1407265714997	-1017.1407265714997	130003.86952288284	27008.9687750234	2.902479989571391	0.3343653182137301	0.24681649403415748	0.17260100388775532	0.24621718386435662	0.3405392686948931	3.039778182884062E-4	5.702859607286333E-4	1.6287027989911372E-4	1.651010799577771	0.07017052081017609	-115321.93517015569	-11269.5350994549	-8612.259100612699
175000	-135306.68065194716	-20120.466444770253	-115186.21420717692	3340.188514367955	-1328.1885143679551	132022.5811861318	28849.59867732233	2.8929534036841225	0.33466262551380443	0.24198532360926042	0.18109493216543707	0.24225711871149744	0.3449531608232441	3.013120785370298E-4	5.746657924405777E-4	1.5879727334600164E-4	1.7048096326891717	0.05412748857876258	-115186.21420717692	-11269.5350994549	-8624.82214844001
200000	-135250.05744741068	-20121.497230551344	-115128.56021685933	3168.079512887991	-1156.0795128879909	134069.2030628154	27495.98182464044	2.83351168670308	0.334473342426364	0.2431557985839597	0.17643223934619906	0.24593861964347677	0.3435855284643396	2.931629259703176E-4	5.852786831712563E-4	1.5199004546251126E-4	1.7653654407067496	0.05934429249357688	-115128.56021685933	-11269.5350994549	-8625.963938933832
225000	-135158.05033157094	-20123.62783632284	-115034.42249524809	3422.7201984537546	-1410.7201984537546	135715.6351299451	27638.201817629037	2.8630294611420952	0.32817157808375375	0.24853337547680718	0.1789857974244735	0.24430924901496523	0.3360570438183854	2.9719206632777633E-4	6.012160576582606E-4	1.5264154186084668E-4	1.5505029729628417	0.03959628321586455	-115034.42249524809	-11269.5350994549	-8628.05570505002
