# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon Jan 06 15:03:01 CET 2020 [seed=262626]
# -beagle_gpu -seed 262626 -save_every 250000 -save_state checkpoint.state2 -overwrite HBV-D_with_ancient_aligned_constpop.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-1.22023890850024E7	-1.1871607845828215E7	-330781.2391741853	2295.0	-283.0	81981.0	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.18E-5	0.3333333333333333	1.0645751460261132E-6	13.91838710723731	-0.005728032116863135	-330781.2391741853	-11269.5350994549	-1.1860118E7
25000	-137994.9305820038	-19979.65945173445	-118015.27113026936	2570.5656401420215	-558.5656401420215	108580.25695303325	22477.405794696544	2.775546195242335	0.327435369036269	0.2540347578124657	0.17946438016761276	0.23906549298365268	0.3363097258480949	2.3636255674129412E-4	2.636854273069915E-4	1.7324948393126246E-4	1.0147575369887158	0.08863939624290045	-118015.27113026936	-11269.5350994549	-8484.827383749687
50000	-135070.72599924658	-20007.00742698359	-115063.71857226301	2712.670359331496	-700.670359331496	110041.89847777167	23700.41746369919	2.8505093512290425	0.3331256475368367	0.25065959618278794	0.17628563933324365	0.23992911694713184	0.3475225700534566	2.6834087207542646E-4	3.612105162266576E-4	1.7944829000559662E-4	1.2361925351860747	0.08241274404860216	-115063.71857226301	-11269.5350994549	-8511.737581215577
75000	-134107.47370446165	-19972.999859586744	-114134.47384487491	2617.6266267669466	-605.6266267669466	106665.47079514846	23831.81994239312	2.847280314015187	0.33451925913664327	0.24465763415739764	0.17757808095484123	0.24324502575111814	0.3522382339266767	2.839049753702892E-4	4.196156534318806E-4	1.8343234225387374E-4	1.3285218313488234	0.06519112508399802	-114134.47384487491	-11269.5350994549	-8477.545780740635
100000	-133626.03327096696	-19978.276283320578	-113647.75698764637	2817.013512483496	-805.013512483496	107654.323191761	22506.380727854197	2.8026313618033067	0.321506738310344	0.25389075903230995	0.17823279136024833	0.24636971129709787	0.33764933142339676	2.9894766380897386E-4	4.8252278360470303E-4	1.8741843014434962E-4	1.418876616640675	0.06517754007089113	-113647.75698764637	-11269.5350994549	-8482.704539035945
125000	-133263.67540006345	-19984.651860495913	-113279.02353956753	2849.7199771265296	-837.7199771265296	107782.40387259469	24828.545057187086	2.902842894777826	0.3372917747150408	0.24421880370245197	0.17739684595477717	0.2410925756277302	0.3399007218215574	3.058616892179222E-4	5.145112810813031E-4	1.8908509119893848E-4	1.4726707828958219	0.06242904914477011	-113279.02353956753	-11269.5350994549	-8488.966611771833
150000	-133109.71403281373	-19976.112044979418	-113133.60198783432	2895.6190035570885	-883.6190035570885	108186.60208978347	23677.94313397694	2.888302306109534	0.33632299405334165	0.2500352207509259	0.1729315753983078	0.24071020979742483	0.3453710842887167	3.035624833827423E-4	5.179823359289676E-4	1.8761811304910853E-4	1.4832519354802947	0.07133418735246828	-113133.60198783432	-11269.5350994549	-8480.445097797128
175000	-133052.31744887657	-19956.632730795056	-113095.68471808152	3073.541439682982	-1061.541439682982	105866.03319151585	23032.18008345922	2.8155385603622123	0.33502024224019994	0.2549586620913557	0.17575129318373114	0.2342698024847132	0.34277316269265357	3.0859816502505757E-4	5.511707565954622E-4	1.8498488693519233E-4	1.548117351576596	0.061437705379229796	-113095.68471808152	-11269.5350994549	-8460.944737067859
200000	-132975.08893277324	-19968.3209873727	-113006.76794540056	3194.251364186751	-1182.2513641867508	108531.82815406032	23138.543486042166	2.835778994344883	0.33082612495406283	0.2393036602715114	0.18253515675473445	0.24733505801969122	0.35777342415688124	3.1033629659817807E-4	5.398365063575921E-4	1.8440557601720998E-4	1.5295657322981917	0.05820257917451257	-113006.76794540056	-11269.5350994549	-8472.577742709558
225000	-132974.54679521025	-19946.34148342764	-113028.20531178261	3082.748407222142	-1070.7484072221419	105123.73471365284	22820.873758395224	2.850458164095319	0.3270011421584954	0.24162456604837396	0.17949279964479564	0.2518814921483351	0.3347578132748521	3.361392814993485E-4	6.031100500542591E-4	1.9655167920856748E-4	1.5757320205984804	0.05784504288321373	-113028.20531178261	-11269.5350994549	-8450.3813095704
250000	-132919.925174184	-19943.62406983859	-112976.3011043454	3050.028726033043	-1038.0287260330429	105804.37041253314	23129.71083628493	2.8279821407827366	0.32984066423707503	0.2533918812371705	0.1752539574391731	0.2415134970865813	0.33940541949442826	3.267453720376228E-4	6.082509209584327E-4	1.874285764820856E-4	1.628987019945496	0.04963787387464216	-112976.3011043454	-11269.5350994549	-8447.754581416757
275000	-132922.53188035468	-19940.666417667373	-112981.8654626873	3017.445201799481	-1005.4452017994809	105017.38483732693	21397.287190657713	2.825857158692434	0.32922609100772204	0.25140408977703915	0.17912458366001904	0.24024523555521965	0.33331283911006815	3.28177531411948E-4	5.971851215725784E-4	1.9111760314757147E-4	1.5204243610232961	0.031815205576772	-112981.8654626873	-11269.5350994549	-8444.795779535709
