# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Nov 27 16:07:41 CET 2019 [seed=666]
# -beagle_cpu -overwrite -seed 666 -save_every 250000 -save_state checkpoint.state HBV-D_with_ancient_aligned_constpop.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-1040183.7653265406	-12219.415162207715	-1027964.3501643329	2292.1698292634383	-280.16982926343826	2398.3920333188953	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.18E-5	0.3333333333333333	2.1527958043419774E-7	19.16660694773929	-0.004277889661869936	-1027964.3501643329	-11269.5350994549	-729.5693339924536
25000	-198994.29979053	-16951.917275987733	-182042.38251454226	2538.00119092589	-526.0011909258901	9127.653175972178	441.0388942279001	3.392165629662538	0.3301648798878514	0.2431139934041211	0.1608213434810371	0.26589978322699037	0.3311085693173453	0.01111275249989325	0.010301044953093263	0.01010931695116039	0.9873989688298497	0.02782879102515306	-182042.38251454226	-11269.5350994549	-5440.26436896428
50000	-184609.1007425916	-17001.83222674516	-167607.26851584646	2304.780827051306	-292.780827051306	8252.360371416784	484.8438221058313	3.2644097419527593	0.330292154012072	0.24596886665898643	0.16281455346876442	0.26092442586017706	0.3571821517442189	0.010567643532092911	0.01618156454878737	0.005030172201458246	1.7555905844246078	0.027954006820897048	-167607.26851584646	-11269.5350994549	-5490.433737927644
75000	-177554.62140429596	-17039.68356961946	-160514.9378346765	2298.778771980314	-286.7787719803141	8105.606108646283	480.1492923626485	3.1853533017450113	0.3248340490381451	0.2512770098584991	0.1694880054099184	0.2544009356934372	0.3631075215660021	0.010035040911267282	0.01686223235397312	0.004458024575742954	1.943607863974778	0.02382211508098354	-160514.9378346765	-11269.5350994549	-5528.585373395278
100000	-171350.80612846187	-17048.43029315983	-154302.37583530205	2296.1887726120617	-284.1887726120617	7754.912442625773	506.8719562129602	3.255031788334991	0.3321546158471438	0.2527602282486284	0.16889774056253898	0.24618741534168886	0.36608193447155785	0.010104217251946244	0.020485011727556027	0.004357228694029956	2.3813797467257376	0.013441915946313283	-154302.37583530205	-11269.5350994549	-5537.253274066057
125000	-166769.51492513	-17089.303686112966	-149680.21123901702	2299.971322704106	-287.9713227041061	7883.579973628767	558.7401307796734	3.0710737695281156	0.32593539888333245	0.2509962175919781	0.17066708550711165	0.25240129801757777	0.3726387894239673	0.010586228918715761	0.026485302580003138	0.004112837976680441	2.8160779547142796	0.023914896513137055	-149680.21123901702	-11269.5350994549	-5577.900602164946
150000	-164007.2120428275	-17088.048699008872	-146919.16334381863	2313.424751615083	-301.4247516150831	7952.081356119074	530.3426086736322	3.0782062319594545	0.32682043919829734	0.2564397348721584	0.17179533959581306	0.24494448633373112	0.3690543170959485	0.010494057174431762	0.02840414842746411	0.003866260847812636	3.0251170828979697	0.03236983620315815	-146919.16334381863	-11269.5350994549	-5576.693191732991
175000	-162120.80223261227	-17096.47374360352	-145024.32848900877	2301.3170365248875	-289.3170365248875	7981.734600697253	529.5671361199086	3.1366823449012715	0.334668081069413	0.24785144789409044	0.1698849661192674	0.24759550491722915	0.3681816660583965	0.010729210299853839	0.031679862836153	0.003790212756620734	3.287992077860061	0.018705979025500644	-145024.32848900877	-11269.5350994549	-5584.966295767658
200000	-159712.05068091105	-17114.487308605905	-142597.56337230516	2307.807696581208	-295.8076965812079	8008.486493769282	532.766197303736	3.119792598062395	0.3361329990819901	0.25300587440097083	0.17196089259753602	0.2389002339195029	0.37503426052034927	0.010776767416819774	0.03334931870739812	0.0036297206955561343	3.4659007658091543	-0.00885810296626899	-142597.56337230516	-11269.5350994549	-5602.942359164652
225000	-158820.43507421616	-17116.37057523956	-141704.0644989766	2311.0715885088903	-299.0715885088903	8171.031636033149	546.932688071087	3.0397392931529494	0.3254267271631052	0.2528617399752911	0.17219099740303798	0.2495205354585655	0.37030372840404857	0.01094142294441651	0.03609612041640528	0.003582304465978716	3.6510325581889314	-0.007900674233292033	-141704.0644989766	-11269.5350994549	-5604.770227365241
