# BEAST v1.10.5 Prerelease #23570d1
# Generated Fri Nov 22 18:15:05 CET 2019 [seed=777]
# -beagle_cpu -overwrite -seed 777 -save_every 100000 -save_state checkpoint.state HBV-D_ancient_skyride_phylogeography.xml
state	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.MiddleEast	location.rates.Africa.Oceania	location.rates.Africa.Russia	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.MiddleEast	location.rates.Americas.Oceania	location.rates.Americas.Russia	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.MiddleEast	location.rates.EastSouthAsia.Oceania	location.rates.EastSouthAsia.Russia	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.MiddleEast	location.rates.Europe.Oceania	location.rates.Europe.Russia	location.rates.Europe.WestCentralAsia	location.rates.MiddleEast.Oceania	location.rates.MiddleEast.Russia	location.rates.MiddleEast.WestCentralAsia	location.rates.Oceania.Russia	location.rates.Oceania.WestCentralAsia	location.rates.Russia.WestCentralAsia	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.MiddleEast	location.indicators.Africa.Oceania	location.indicators.Africa.Russia	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.MiddleEast	location.indicators.Americas.Oceania	location.indicators.Americas.Russia	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.MiddleEast	location.indicators.EastSouthAsia.Oceania	location.indicators.EastSouthAsia.Russia	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.MiddleEast	location.indicators.Europe.Oceania	location.indicators.Europe.Russia	location.indicators.Europe.WestCentralAsia	location.indicators.MiddleEast.Oceania	location.indicators.MiddleEast.Russia	location.indicators.MiddleEast.WestCentralAsia	location.indicators.Oceania.Russia	location.indicators.Oceania.WestCentralAsia	location.indicators.Russia.WestCentralAsia	location.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	28.0
250000	1.932003205217986	0.2628413122091004	0.24420858982927132	1.3857929773794722	1.366040022443851	1.263773719090521	0.8340571815026848	0.1764674944608491	1.0816928588929868	1.0181114243730387	0.35882967839454377	0.36497883408491394	0.7935027423891003	1.657153924302201	1.2671455610245708	0.4136868116278517	1.1104886863287249	2.158894070457888	0.03513315458051434	0.966665005022642	0.5441059518840375	1.6060204798141051	0.3975550217657495	0.8263677586636973	2.5116596827074056	2.1901039949220444	0.2837714820391054	1.7237852259944308	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	14.0
500000	6.004865415756114	0.31546247385305387	0.2707123901376184	0.7645305708722983	0.7637913501533924	1.2587210539854508	1.2721198709225292	0.5402953431699434	1.267559222437313	0.5087084797758157	0.3397210452666647	0.8662742567791206	0.4287805113881917	1.4615817748968574	1.0585790381364575	0.2282618469698745	0.6382819163528008	1.5859513132149394	0.16988828160430328	0.04418919115230772	0.2761997882793031	1.7152503197940796	0.6279559559694087	2.625155039026624	2.6078133848352953	2.4780375421210326	0.37871778587584126	0.2681802949222362	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	14.0
750000	0.7447656210822298	0.191740117093195	3.163434550173511	0.42288876750812054	0.1680226377251083	0.7598036031622234	1.220464507284321	0.2070608578367703	0.920940503900044	0.3753380372272072	0.4607172650398528	1.9158174786083522	0.17815402025676802	1.1056751946844845	0.2028503088993903	0.9550311538790341	0.9876746115668478	1.0926995227491447	2.9445327655687032	0.3766073239964626	0.4102125954768016	1.757773160545881	0.0574195688667948	3.9875513576078383	2.738510075535352	1.5332319294435743	0.17803936850984262	0.006046769972628687	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	12.0
1000000	0.48361800988933035	0.3196916129453742	0.3259716723926306	0.4257668303523933	0.2254482244175248	0.5519709655380008	0.6948641479516897	0.38670237261103546	0.5979734131233783	0.5731975501551507	0.10640387914990862	0.02079638377892608	0.33685602406106857	1.3373951647047717	0.2129773262349583	1.8236451268063396	0.6521758928137371	0.7633591826465812	1.266684101520952	0.29187480844305935	0.4395608518368765	1.5610668164563328	0.18340557806504348	0.6765694994721712	1.9465950356011794	0.9575653245222667	0.32361867590620114	0.5586234261031665	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	14.0
1250000	0.2501662080218128	2.9951660767592	0.1603074685088396	0.4503600760674229	3.668520571975925	0.04758368020571158	0.8248205713189039	1.1059284171101076	0.9619941233007581	0.1772753216764258	0.3250447122031957	0.059146304413061124	0.039052460550985074	1.912046790936568	1.3760352937545715	0.8579192031062668	0.5447023380215414	1.1239609483983284	2.809211052189109	0.6085413389445804	1.144879053334656	2.0727548180139017	0.3876465992115149	0.49739237110162915	2.957686189239086	0.05283582715501748	0.3746067335914238	2.2063685178899006	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	15.0
1500000	1.1082965535507443	0.30565835679313436	0.6661199004694602	0.5750682622182575	0.6213823582371754	0.5958518014021043	1.383556094478298	0.2651475359160931	1.666981616443606	2.1637264691252542	0.8640215600641864	0.4571071122863789	0.19760400858354982	2.4857284157149544	0.503787220208468	0.32299296870210575	0.21898287457139426	1.7015143596764744	1.4043450462673226	0.4876440554017487	0.34703705022540265	1.5057874162933855	0.10646339657237913	1.7759863788686139	2.498535421977231	1.5180399119206336	0.2790065328730555	1.2195028871050162	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	12.0
1750000	0.9314045556269823	0.031966706099276695	0.1519379846654716	0.2331835901062058	0.29041630719937733	2.907453040721429	1.47937855060721	0.572050595213205	1.0630762189699594	0.27868119303707417	0.4329156045005439	0.12207073759736081	3.148238442366121	1.4477688124350279	0.43303357285990574	1.8624230320604604	0.2046262532262185	1.7799963933827396	2.3493563214340116	0.7229631360202926	0.7274268895811843	1.4958418248735423	0.09576836904689791	0.23281257264559574	2.1694976827470356	2.597023230224763	0.5281350481548642	1.4263470820756128	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	12.0
2000000	0.4457044039678925	0.8904159018330711	1.0858060601287471	0.6580287177083501	1.1332681717101087	0.4431350070086245	1.1149627862277656	0.5854895575022336	1.3030974609382031	3.180336982980497	0.1813573433640694	0.679372227838214	1.6489597518293573	1.263557543826978	0.3529486228910491	0.05275812113759179	2.87733814123442	2.0370137171893257	0.16764741014236503	0.4244713096977152	0.45961569529594437	2.38092529426325	0.5018946316566318	1.874279692759525	3.4128364950336776	0.4220109647414446	1.337506295177125	0.6671299380310671	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	11.0
2250000	0.5555210835175604	1.6670140081519214	0.3269578175720076	1.483486677514438	0.08078065832582697	0.3523360681126889	1.422286862524508	0.7365633832480246	2.0347849031679623	0.7768321105675849	1.0074937724399549	0.6661093433255021	1.5974082284604154	1.0999212136493823	0.837195117863406	0.022393379238266203	0.4668003626854055	1.2903624257104993	0.36381513704066304	0.8770445228514666	0.6203606387330831	3.0284702812133504	2.0076739289017875	2.1120128753585066	3.3726801223676808	0.7996634813683529	1.7238303443285068	0.03714948503188039	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	11.0
