# BEAST v1.10.5 Prerelease #23570d1
# Generated Fri Nov 08 13:07:16 CET 2019 [seed=666]
# -beagle_gpu -overwrite -seed 666 -save_every 100000 -save_state checkpoint.state HBV-D_ancientDNA_HMCskygrid_geo.xml
state	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.MiddleEast	location.rates.Africa.Oceania	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.MiddleEast	location.rates.Americas.Oceania	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.MiddleEast	location.rates.EastSouthAsia.Oceania	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.MiddleEast	location.rates.Europe.Oceania	location.rates.Europe.WestCentralAsia	location.rates.MiddleEast.Oceania	location.rates.MiddleEast.WestCentralAsia	location.rates.Oceania.WestCentralAsia	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.MiddleEast	location.indicators.Africa.Oceania	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.MiddleEast	location.indicators.Americas.Oceania	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.MiddleEast	location.indicators.EastSouthAsia.Oceania	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.MiddleEast	location.indicators.Europe.Oceania	location.indicators.Europe.WestCentralAsia	location.indicators.MiddleEast.Oceania	location.indicators.MiddleEast.WestCentralAsia	location.indicators.Oceania.WestCentralAsia	location.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	21.0
250000	0.5823718771101802	2.1437780869367744	2.257503745800959	1.2501597835416876	1.0223455441516436	1.5236946677397634	1.4107393937399912	1.661115982159697	5.620295668811631	0.298007135025991	0.2874232080451296	2.7920742281627184	1.0628755285738254	0.46331665699499186	1.6719961777478711	0.11241183320273303	0.7564212654219246	1.2836460657751307	0.5422712338164163	3.6871766485798547	0.594989993140715	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	12.0
500000	0.475831964407239	0.33864689703196876	0.33891588476477896	0.702598042502566	1.9812448456779643	0.9057289960169647	0.07408670883581327	0.7968335265768711	1.0707316831011922	0.43628006739810465	0.23496853700967538	1.300953364594708	0.5335574300960766	0.7368162822124472	1.0569388791432195	1.765215037952474	0.25929350439344007	1.2035001081037595	1.2568795840078104	2.158629111132821	0.21972799229890116	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	11.0
750000	0.439534985135904	0.741670091327215	0.15892927339168722	0.1829117944211701	0.012854331961823619	0.5445413565985003	0.5270385162022727	1.1394733951567524	0.20414500797858084	0.06254052388096087	1.5702841364347986	1.268516221595676	0.08287963480275626	0.24812705961414472	1.4015362968551646	0.7075812081475155	0.7746047223512486	1.1991760380175964	0.9036242210769174	3.34256996924818	0.14720471000068933	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	12.0
1000000	0.5788740560589614	0.7495386504671806	0.5326551663354651	0.9445597801083476	0.4833198721874229	0.8542593142786497	0.9408743666220467	1.4521898855184108	1.2096861808410493	0.4399427718424119	0.2610416791446554	1.426529287468363	0.5790215522174372	0.6052278314566886	2.1844354640513575	3.7254544607634723	0.2247317208762545	2.902540878791831	1.3638053293801249	5.063213522580907	0.5371214996111294	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	12.0
1250000	0.15306472926805761	0.08840143141260605	0.8627185299919624	0.7517889148039593	0.018485766406053976	1.333877028308956	0.0782992959170943	2.156107435528346	1.0002194561800895	0.8465008587166498	2.634554630408424	1.5874507931720567	0.1420691859314638	0.2655269509478487	3.565883656897528	0.7705933748191659	0.737882348362276	1.7034451909062642	0.5636357248346718	4.557502536081737	0.5005659629380661	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	10.0
1500000	0.6528220753168699	0.5536164959219807	0.030206881956320344	0.5949660653931916	1.5137791862734746	0.6576696660788898	0.08769538191181321	1.0083031760210603	2.0915377687121546	0.4235602378206143	2.0745589764443375	0.9940142613640472	1.0988479499993975	2.1151902316893674	1.696673619308102	0.011429187766417246	0.9205168879494524	1.2188410118083257	3.8562966666645804	2.768913583563212	0.294152676522947	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	9.0
1750000	0.09373880156058947	0.17426020513881255	0.46598779561550735	0.32369940436269895	0.8645973283340801	0.6519081877044253	0.26445931621289337	1.0946011477695343	0.6344982158431857	0.049216757409891794	0.16705467530577814	0.9037492337727093	1.145137810351724	0.18177187260483005	1.6179885898215378	0.19821478481183258	0.6237309630546969	1.6525299902439994	1.790135214195228	2.3935324559349134	0.23121543829751376	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	10.0
2000000	0.11641582300071932	0.10895959404988247	0.36753354931387017	1.454969065378289	0.3061703875691384	0.6911815169630802	0.7530441545854516	0.752151888669512	0.6454381184039859	0.1569239031661453	0.4764771202112623	1.439214416339971	0.5388680146677463	0.11600445940889821	1.7915668022012126	1.5174666893541389	0.018372082710940513	1.320242487086424	1.2147201732275708	2.441882093525852	0.055957592149671075	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	11.0
2250000	0.4230753411279893	0.1713124227659687	0.36809261420345807	0.7487571780270582	0.166930913597817	0.823600694432034	3.59964158264924	0.7274110992922179	0.16376392749544724	0.20679178621396477	2.2130851045609665	1.0053321573870582	0.38065332548635994	0.7645476239331439	1.917412403455308	0.19600317289883726	0.8462221787863718	1.1083785115665523	0.6568050703489227	2.451697929610685	0.26903974839651135	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	9.0
2500000	0.3131440862314527	0.5616551890002899	0.12294244517618814	0.6903914912318375	4.477601215318357	0.28850111965841446	0.389727586708831	0.42551453748843754	0.544036758824105	0.181869882854652	3.4211498920713024	0.347540575902451	0.2154366457239988	2.0731088322193387	0.7543983908880889	2.634783629726048	0.028380760943418838	0.5175295849356693	1.7492895874837415	1.0410982017525034	0.0682353597193377	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	9.0
2750000	0.7816983132312167	1.6202883953241987	0.5822544250891455	3.966305123548115	0.00733469688150346	0.9202176343145992	0.800760118209066	1.2451221577004254	1.160374873809206	0.36509163164520214	0.3216991789485728	1.7101847352023374	0.33402891763542447	0.1073408875685563	2.1211291828128456	3.091679685621085	0.06919198466520728	2.297120014490491	1.708204207158526	4.209116512546835	0.14573202418556858	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	10.0
3000000	0.20911115720394824	0.13734305988766218	0.2668620100467768	0.2871581078097631	2.318988936395672	0.35133481957391516	1.3126724600173565	1.3895578685143424	0.1735552977999387	0.15894752494381217	1.7207264487704315	1.27481511280113	0.4769901859234165	0.03321060100140094	2.3359140317762987	0.8691118011176049	0.23158261893637677	1.2083313932796618	0.29652333025662597	2.734007532007007	0.23205585051453584	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	12.0
3250000	0.6367684465464506	0.3933193482799215	0.16596967487109804	1.3476793364686281	1.4781713185017749	1.6849229929503946	0.6436144121332121	1.5366549345955418	0.12151490859806525	0.13460325795128797	0.3864395120443836	1.7541846927614	0.33796308658191093	1.2389128336010695	2.391936906071515	1.3496331934151882	0.25437890876254854	1.5415387858436544	0.20040936985075164	3.4484681216993778	0.3127665485223036	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	12.0
