# BEAST v1.10.5 Prerelease #23570d1
# Generated Fri Nov 08 13:07:16 CET 2019 [seed=666]
# -beagle_gpu -overwrite -seed 666 -save_every 100000 -save_state checkpoint.state HBV-D_ancientDNA_HMCskygrid_geo.xml
# keywords: skygrid discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(AncientDNA)	age(AncientDNA)	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.logPopSize46	skygrid.logPopSize47	skygrid.logPopSize48	skygrid.logPopSize49	skygrid.logPopSize50	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	default.ucld.mean	default.ucld.stdev	location.clock.rate	default.meanRate	default.coefficientOfVariation	default.covariance	location.meanRate	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.MiddleEast	location.rates.Africa.Oceania	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.MiddleEast	location.rates.Americas.Oceania	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.MiddleEast	location.rates.EastSouthAsia.Oceania	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.MiddleEast	location.rates.Europe.Oceania	location.rates.Europe.WestCentralAsia	location.rates.MiddleEast.Oceania	location.rates.MiddleEast.WestCentralAsia	location.rates.Oceania.WestCentralAsia	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.MiddleEast	location.indicators.Africa.Oceania	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.MiddleEast	location.indicators.Americas.Oceania	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.MiddleEast	location.indicators.EastSouthAsia.Oceania	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.MiddleEast	location.indicators.Europe.Oceania	location.indicators.Europe.WestCentralAsia	location.indicators.MiddleEast.Oceania	location.indicators.MiddleEast.WestCentralAsia	location.indicators.Oceania.WestCentralAsia	location.nonZeroRates	age(LT992438.1DA29/Kazakhstan/1195/Kazakhstan/)	age(LT992439.1DA27/Kazakhstan/407/Kazakhstan/)	age(LT992444.1DA51/Kyrgyzstan/-280/Kyrgyzstan/)	age(LT992454.1DA222/Kazakhstan/850/Kazakhstan/)	age(MG585269-NASD24SEQ/Italy/1578/Italy/)	default.treeLikelihood	default.branchRates	location.branchRates	location.treeLikelihood	skygrid
0	-496110.61072961875	-53856.496892163195	-442254.1138374556	2246.873306134997	-234.87330613499716	5312.474536791933	2246.873306134997	-234.87330613499716	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2300.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	0.3333333333333333	1.0	0.9601253872388538	0.33437363134831777	-0.04063613779059435	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	21.0	849.0	1641.0	2200.0	1167.0	439.0	-440802.69874958426	-11269.5350994549	0.0	-1451.4150878713165	-31890.455306481817
250000	-170449.62008299684	-18055.88268263717	-152393.73740035968	2471.1562351812163	-459.1562351812163	12360.237320364356	2471.1562351812163	-459.1562351812163	0.08830786191908188	7.490532500619621	4.804562562109556	4.980194084430103	1.6030913306904506	0.047681336218737554	4.324026167140587	9.849041488990201	8.259061889512122	0.9814436161869924	2.801983511083189	4.153495830271056	0.008924073208593966	0.772075205738442	6.631796802123467	7.9859190726249905	10.5710912492649	9.232377337323191	13.088387586956948	8.205967440379313	8.391474871171017	5.255035928663223	-0.23245360588587718	6.430820508566929	11.465413337035319	3.6750739113232167	6.353428381778245	6.995449106690571	2.4489835902339454	4.580916206452772	5.059807846285812	9.562284794389774	8.523006178890006	14.94036201422199	14.727150648267859	7.90595979871236	7.149218543538502	6.237453604190214	4.350586480933171	6.4651885014293455	6.208886713605758	2.740891056931002	4.197335612821458	11.053369076545385	11.780785893195175	9.258933754882591	6.396165769654541	5.852069889560818	4.179982521756171	4.402882200586	-0.7664264441117504	2300.0	3.0737569157990343	0.32803579782388687	0.25258354013887735	0.170660992215444	0.24871966982179206	0.37326540115241935	0.004138601080785782	0.0073126235854870806	0.012736175796914433	0.0022874001811086044	1.458272609515496	0.031109178844948113	0.012736175796914443	0.5823718771101802	2.1437780869367744	2.257503745800959	1.2501597835416876	1.0223455441516436	1.5236946677397634	1.4107393937399912	1.661115982159697	5.620295668811631	0.298007135025991	0.2874232080451296	2.7920742281627184	1.0628755285738254	0.46331665699499186	1.6719961777478711	0.11241183320273303	0.7564212654219246	1.2836460657751307	0.5422712338164163	3.6871766485798547	0.594989993140715	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	12.0	896.3255588509751	1619.0839183595315	2470.848467360301	1186.7663044316812	289.98062600971724	-151353.00595656087	-11269.5350994549	0.0	-1040.7314437988136	-6493.436805192686
500000	-156358.86782056847	-17975.423954589987	-138383.44386597848	2474.8971371057482	-462.89713710574824	12514.829131375185	2474.8971371057482	-462.89713710574824	0.06511786930988414	7.559282945433458	4.625584165771798	7.90514213516089	2.6915621958001164	5.801914304356692	4.6360532881127705	-2.5252675686725663	5.277632721390813	2.018777311662032	-1.3648147124961705	1.7380930820549396	-0.5079908506049775	-4.249130409598678	-5.291211720595819	-4.141887510020052	-0.23740680049348392	1.3269780244718938	3.999781528312648	3.1103916390955915	4.542657710714514	-2.8603938721959423	-2.760650315799305	-4.0548381591908935	0.012652772312691421	-0.08148589476987683	4.566208071702879	6.092584573406417	3.4056654802026713	0.15448256608156904	3.4785580415590083	5.001849660335206	0.1255512919603207	0.4576612730754815	7.130041644468008	4.2852956592444045	5.536474569269826	6.713262883426709	4.456373724633773	2.7226037798932627	-1.1058741383636022	-0.1023676124654811	-3.0694660758861483	-10.88156032591401	-15.818794076907514	-4.037095392330298	-6.212940814618128	-5.834387059598564	-3.625675189761558	-11.972596815011398	-9.424877331464304	2300.0	3.224229663619646	0.3344388488559748	0.25050976809136777	0.1702349977502265	0.2448163853024311	0.36662442477640383	0.003926768959279973	0.008608123482489904	0.009351101759959481	0.0020161089235315975	1.8296280805165488	8.955578168902844E-4	0.009351101759959485	0.475831964407239	0.33864689703196876	0.33891588476477896	0.702598042502566	1.9812448456779643	0.9057289960169647	0.07408670883581327	0.7968335265768711	1.0707316831011922	0.43628006739810465	0.23496853700967538	1.300953364594708	0.5335574300960766	0.7368162822124472	1.0569388791432195	1.765215037952474	0.25929350439344007	1.2035001081037595	1.2568795840078104	2.158629111132821	0.21972799229890116	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	11.0	841.8316870438798	1607.1505015631928	2474.897106186107	1183.179600156537	344.53344618584345	-137551.3560279377	-11269.5350994549	0.0	-832.0878380407835	-6476.6120624422065
750000	-150461.19467196643	-17975.913608501633	-132485.2810634648	2474.8971426779863	-462.89714267798627	12933.694332219757	2474.8971426779863	-462.89714267798627	0.04801568898513764	7.615696947614514	5.022958958229209	5.598015172803578	3.6058277647976684	8.626129219602419	9.24024748764335	7.776165093472203	6.360972588266068	2.3230654699568176	-5.4930197631403725	-7.67174600643097	-3.7504092926116877	-7.189051373896907	1.1657351514962984	-0.9550946640353456	-1.2777678488809294	-2.3226728551827707	1.9439302557719214	1.3689848443197274	2.526178140461658	1.489308763900083	5.501938704262355	9.63645489510705	7.90766299969178	4.78151278980481	5.135448652527992	9.07846525304706	12.806954930623228	17.772409816107924	19.521315133805114	14.265910525641921	15.728198170741344	17.876684927982144	18.800271382843178	11.366243015560524	11.681752935964415	3.9590451971046656	6.072470807747022	4.657875291806611	5.494937924720058	1.4581737006406483	2.693812498801337	-2.777458246474276	-1.466779381394847	-6.3306317866450055	-9.43664506849686	-9.645105099594181	-11.992813433407008	-12.554080645468899	-8.717287470297673	2300.0	3.0951340550730584	0.33268293464368426	0.25284903908768264	0.17782715542686645	0.23664087084176666	0.3719301404503835	0.003452546079944677	0.007879839065298523	0.0077411606179959794	0.001683593052599554	1.7333502134794927	0.021438863698025015	0.007741160617995978	0.439534985135904	0.741670091327215	0.15892927339168722	0.1829117944211701	0.012854331961823619	0.5445413565985003	0.5270385162022727	1.1394733951567524	0.20414500797858084	0.06254052388096087	1.5702841364347986	1.268516221595676	0.08287963480275626	0.24812705961414472	1.4015362968551646	0.7075812081475155	0.7746047223512486	1.1991760380175964	0.9036242210769174	3.34256996924818	0.14720471000068933	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	12.0	866.4500754710658	1569.2443702128164	2474.897106186107	1144.327769819031	347.6611413719257	-131705.28034934722	-11269.5350994549	0.0	-780.0007141175752	-6497.2718508007
1000000	-146940.51024127647	-17906.723823987424	-129033.78641728904	2335.979166472086	-323.97916647208604	12870.773828592635	2335.979166472086	-323.97916647208604	0.2064384966122066	7.6726962971524095	4.813350475253339	3.7183533955201327	5.2586178243694395	3.9405653496601762	6.477031893334704	5.879132855194518	5.489574075887205	4.3988893351560785	4.816610357057143	5.015277599130704	8.053798642788893	6.083582091410766	3.331683600016133	5.995197951919203	5.426772276754503	5.811336686569641	5.76205139659685	2.9612651420081293	3.7620102777535402	2.6703655418231986	1.7505918027633232	2.442117414784617	4.025620994646815	5.299337816393113	3.1040517574947994	3.419444316362131	2.068768056369288	1.2415474239740842	6.878335036526209	5.618938744281789	6.350061047946026	4.416844988404643	5.269034923504974	4.901577124986194	8.206708124088298	7.519606642631757	6.066520577587213	5.762131240599692	6.942733045374551	4.392944101024238	7.7863881769782886	7.355544460549838	6.142348382400595	7.626391175866764	4.7879691121174135	3.165059370297242	2.700035918238272	6.8055478985728675	2.746760846889691	2300.0	2.9922123336962017	0.33174081955765794	0.2508438396243364	0.179851575953289	0.23756376486471695	0.369021720941263	0.00326239750641397	0.007803608536923917	0.006108454021618276	0.0015956431245187181	1.8097008278182662	-0.019107453112779525	0.00610845402161827	0.5788740560589614	0.7495386504671806	0.5326551663354651	0.9445597801083476	0.4833198721874229	0.8542593142786497	0.9408743666220467	1.4521898855184108	1.2096861808410493	0.4399427718424119	0.2610416791446554	1.426529287468363	0.5790215522174372	0.6052278314566886	2.1844354640513575	3.7254544607634723	0.2247317208762545	2.902540878791831	1.3638053293801249	5.063213522580907	0.5371214996111294	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	12.0	870.5820893674871	1614.5424749632793	2296.4743379804754	1201.1420805902735	349.6066826218319	-128324.07699621016	-11269.5350994549	0.0	-709.7094210788722	-6462.849626873579
1250000	-144323.05742758943	-17962.021015229668	-126361.03641235977	2282.772619367732	-270.7726193677322	13220.431633551467	2282.772619367732	-270.7726193677322	0.15421805021461463	7.646263512352115	4.731682585564465	4.606658690457199	5.877666375139179	7.449954782654532	5.520609588640444	6.917926650367431	7.253446387114198	3.239827622628495	3.064921896147359	5.099088540654779	3.286467700500408	3.590426499015418	4.984554691185664	0.7946902126590479	-2.8326619290891775	2.7211857159573016	6.940127587901735	3.5906470454028465	6.341786899068215	4.349023680326142	5.864102056190313	4.32447242764977	6.814437766716772	7.047133668259667	6.3914053910062725	3.7952582326106126	5.87523167427997	8.349554806290975	11.389762018797994	13.925879964792026	5.7062516971409085	5.291474578051036	4.738555176414629	3.37706875378641	4.6058990206537525	8.469169681453813	4.311817168753381	3.554590356152703	1.6560828679537798	4.272654614817669	3.113116403324244	1.1338071485973957	0.4715789541663987	0.46693745475067183	0.9139799390479448	1.195973554887095	5.663638437424585	3.110709619305625	2.187631123707395	2300.0	2.959740890523631	0.33203190771078755	0.2518136884083614	0.17729198897698917	0.23886241490386187	0.3610473334220418	0.003311037612257269	0.007770039036784489	0.0071422978976602184	0.0016948620292924228	1.7566661180631051	0.012389633986480575	0.007142297897660216	0.15306472926805761	0.08840143141260605	0.8627185299919624	0.7517889148039593	0.018485766406053976	1.333877028308956	0.0782992959170943	2.156107435528346	1.0002194561800895	0.8465008587166498	2.634554630408424	1.5874507931720567	0.1420691859314638	0.2655269509478487	3.565883656897528	0.7705933748191659	0.737882348362276	1.7034451909062642	0.5636357248346718	4.557502536081737	0.5005659629380661	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	10.0	870.4532515028628	1656.3613949006779	2204.608247686696	1229.7784571747206	401.73739728863717	-125704.49015586205	-11269.5350994549	0.0	-656.5462564977246	-6510.425261960187
1500000	-142444.57755906816	-17872.496768972116	-124572.08079009604	2183.12128303053	-171.12128303052987	13064.600200534447	2183.12128303053	-171.12128303052987	0.558072443710072	7.592708049089844	4.421528697362585	4.208096755553235	4.2295927377381055	5.866529852383433	5.454652005095192	6.829906068649888	5.972453012963702	4.788461659809935	5.123165625421629	3.542143595842721	1.7984539262586987	3.1395930590610632	3.858872123536603	3.5865312681450687	5.2425559606715515	3.120771836252881	2.02164203529945	1.7553273110140448	4.6343992363001965	5.587606311409618	4.672066734936488	5.928995104643792	5.984453466861838	4.492310116093881	4.939893444872068	4.88852892838782	9.094924381719181	9.835051189534209	9.608074683195452	8.148035063057776	8.923640858735691	9.667070554892199	10.104230399052325	8.850261954277848	7.063845866895559	6.142269492754435	4.597118566135279	5.112460455925501	3.3577139455995964	3.544521077791976	4.447971457241193	5.033491057643579	6.05199733188273	6.7582527290528285	5.967652308112107	4.694012579595091	3.6741206845749437	4.633201449166131	5.015126127085823	2300.0	2.9286930502480044	0.3416366907435166	0.24781308382214998	0.17339980944503755	0.23715041598929612	0.3616887663560845	0.003101578053552536	0.006624646112863754	0.0062749839157493145	0.0016581633481938265	1.59658062936332	-0.00667719295853208	0.006274983915749311	0.6528220753168699	0.5536164959219807	0.030206881956320344	0.5949660653931916	1.5137791862734746	0.6576696660788898	0.08769538191181321	1.0083031760210603	2.0915377687121546	0.4235602378206143	2.0745589764443375	0.9940142613640472	1.0988479499993975	2.1151902316893674	1.696673619308102	0.011429187766417246	0.9205168879494524	1.2188410118083257	3.8562966666645804	2.768913583563212	0.294152676522947	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	9.0	869.2405710802881	1652.8944556247075	2158.310366299007	1211.8942792476564	348.9378694087904	-123930.47126188014	-11269.5350994549	0.0	-641.6095282158944	-6433.926153643144
1750000	-141143.1101683743	-17818.488640034288	-123324.62152834001	2145.407744187592	-133.40774418759202	12726.371589264683	2145.407744187592	-133.40774418759202	0.32542850979940274	7.521906307626092	4.0741830383852715	3.56248650235924	3.2368351904570107	1.1483069474609446	4.285628946828934	6.875346093734149	5.065969489353361	3.5649269466121485	3.2024720813591565	1.5848381300987777	3.640199650277309	4.1089924781468055	4.190638678879537	4.647199132679861	5.205223919082986	4.516413751399318	4.27916386365838	2.003405393616791	3.2728161176698425	2.9077257535671124	3.421663958548956	5.392755271084001	7.855652772613964	7.161309561911285	7.517094596827167	7.172406773734891	5.969108043502362	5.460821878733116	8.157851782945825	8.68862410039503	11.006190874238536	8.14692940364383	8.453539871267603	10.400313025532377	10.18367061970476	9.592036914720328	9.501046598526681	6.322624124957375	5.7616888263779655	7.063942930293843	6.684291991094781	5.3718705783456535	4.69417674164266	5.648101500413338	3.9314719438386585	4.040801115693031	3.7602616837435376	7.214000013081045	6.754343333400051	2300.0	2.8954844026373863	0.3263139317992502	0.25356014190311493	0.17832912472051834	0.24179680157711655	0.37351857608287886	0.003200613862002066	0.007786531522059141	0.005139052079847019	0.0016432012533549771	1.718509611336451	0.05630606997386631	0.005139052079847014	0.09373880156058947	0.17426020513881255	0.46598779561550735	0.32369940436269895	0.8645973283340801	0.6519081877044253	0.26445931621289337	1.0946011477695343	0.6344982158431857	0.049216757409891794	0.16705467530577814	0.9037492337727093	1.145137810351724	0.18177187260483005	1.6179885898215378	0.19821478481183258	0.6237309630546969	1.6525299902439994	1.790135214195228	2.3935324559349134	0.23121543829751376	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	10.0	871.4067608364968	1680.4716341640046	2110.671153853201	1191.7429675825088	361.08617702114043	-122694.03681840801	-11269.5350994549	0.0	-630.584709931994	-6402.368527809674
2000000	-140504.25488885463	-17821.892901622286	-122682.36198723235	2269.9876739420693	-257.98767394206925	12862.337155810183	2269.9876739420693	-257.98767394206925	0.7836124966523483	7.6666098035213945	4.020864149892493	3.2902942312156087	3.097469395967303	3.175883047734641	2.5650445666583255	2.397623015864683	3.747101758874151	4.7266636220050176	6.097879000570322	4.528607984803483	3.297529950506727	2.98891138020768	3.8113504554638165	4.45501736565407	2.7088621276103386	3.3359393364223924	2.3902778362907973	2.71587675366525	3.500126608765971	3.8168646091527645	5.864281854475759	4.41234345558306	4.6617501087093745	3.8562618683515293	4.2982458226523095	3.9244590532284445	5.073369109141678	3.6739734498178804	6.535536083794161	7.587580489752646	7.135956735431983	7.478978467099674	6.900782431758799	4.859425627407122	3.8899395520485918	4.226223728300783	3.2761252701370216	1.9228561078060176	5.066985902896075	4.624010316245308	3.9228690836907094	2.9737894988336504	1.8420438527046594	1.5871261506583867	0.9136420289232313	3.9049999693895736	4.905288059054517	4.649479180233228	3.9449640759970577	2300.0	3.0234217063959323	0.329632617466253	0.2478749166613078	0.1800740945893973	0.2424183712830422	0.3641212973954836	0.002810500029436438	0.00597909326204501	0.005541709492378684	0.001621948714000991	1.5231103545530358	0.08312894523656793	0.005541709492378676	0.11641582300071932	0.10895959404988247	0.36753354931387017	1.454969065378289	0.3061703875691384	0.6911815169630802	0.7530441545854516	0.752151888669512	0.6454381184039859	0.1569239031661453	0.4764771202112623	1.439214416339971	0.5388680146677463	0.11600445940889821	1.7915668022012126	1.5174666893541389	0.018372082710940513	1.320242487086424	1.2147201732275708	2.441882093525852	0.055957592149671075	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	11.0	860.0138717865601	1634.8869711425643	2234.817174865073	1211.9672455343618	356.8378009409878	-122074.52124089937	-11269.5350994549	0.0	-607.8407463329835	-6405.357886548195
2250000	-139928.27698085323	-17851.992548164977	-122076.28443268825	2174.5880854767966	-162.58808547679655	12991.34194359955	2174.5880854767966	-162.58808547679655	1.0422468111680703	7.6627862329120715	4.03633380686859	4.3324083026665425	3.907279276850948	3.54888647375153	3.5251088973601687	2.0278217304667883	2.4833202548626634	1.7484848708149814	-0.7480439893592803	-2.038831618157431	-2.1525640081897905	-1.4308152860343564	-0.9670743149403276	-0.5664168767066698	0.08896968772062328	-0.5567869528999342	-0.49290151906489127	1.3612502664267467	2.1525681484770325	1.93983638219536	2.014728580928876	2.9219794151083978	2.470482463575377	3.6284412380555344	3.6736213089283183	3.872734860043848	4.245710474004019	5.101562226558517	5.768780725934179	6.402321474120671	4.651466923656918	4.346209913825217	3.3557723399761956	2.3988575765887177	2.950039307342425	1.5390584960541065	2.8268868245615297	1.983464337814389	2.3342618692753194	3.245629177286279	2.0620212668936286	4.120054392735835	5.000080457270935	4.804699486424183	5.063503484877205	3.9574128360203056	3.595156293839717	4.517066948441561	5.4471638942291545	2300.0	2.978264916922388	0.3296553657843582	0.25227536934893985	0.17560473351177702	0.2424645313549251	0.3690042509849409	0.00277029189077279	0.0059233149908686595	0.0060451321779944394	0.0015999780368331589	1.554477629586818	0.07945971628279477	0.006045132177994435	0.4230753411279893	0.1713124227659687	0.36809261420345807	0.7487571780270582	0.166930913597817	0.823600694432034	3.59964158264924	0.7274110992922179	0.16376392749544724	0.20679178621396477	2.2130851045609665	1.0053321573870582	0.38065332548635994	0.7645476239331439	1.917412403455308	0.19600317289883726	0.8462221787863718	1.1083785115665523	0.6568050703489227	2.451697929610685	0.26903974839651135	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	9.0	859.2621806055884	1641.7493519128957	2107.8422404276953	1189.8220964721977	352.46527730808634	-121484.83348555333	-11269.5350994549	0.0	-591.4509471349114	-6424.430251244614
