# BEAST v1.10.5 Prerelease #23570d1
# Generated Tue Nov 12 13:48:20 CET 2019 [seed=666]
# -beagle_cpu -overwrite -seed 666 -save_every 100000 -save_state checkpoint.state HBV-D_ancientDNA_HMCskygrid_geo.xml
state	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.MiddleEast	location.rates.Africa.Oceania	location.rates.Africa.Russia	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.MiddleEast	location.rates.Americas.Oceania	location.rates.Americas.Russia	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.MiddleEast	location.rates.EastSouthAsia.Oceania	location.rates.EastSouthAsia.Russia	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.MiddleEast	location.rates.Europe.Oceania	location.rates.Europe.Russia	location.rates.Europe.WestCentralAsia	location.rates.MiddleEast.Oceania	location.rates.MiddleEast.Russia	location.rates.MiddleEast.WestCentralAsia	location.rates.Oceania.Russia	location.rates.Oceania.WestCentralAsia	location.rates.Russia.WestCentralAsia	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.MiddleEast	location.indicators.Africa.Oceania	location.indicators.Africa.Russia	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.MiddleEast	location.indicators.Americas.Oceania	location.indicators.Americas.Russia	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.MiddleEast	location.indicators.EastSouthAsia.Oceania	location.indicators.EastSouthAsia.Russia	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.MiddleEast	location.indicators.Europe.Oceania	location.indicators.Europe.Russia	location.indicators.Europe.WestCentralAsia	location.indicators.MiddleEast.Oceania	location.indicators.MiddleEast.Russia	location.indicators.MiddleEast.WestCentralAsia	location.indicators.Oceania.Russia	location.indicators.Oceania.WestCentralAsia	location.indicators.Russia.WestCentralAsia	location.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	28.0
250000	0.5518452781659471	0.10558179273111191	0.2933227105270945	0.025494598747631242	2.1619233610287742	1.2319123292230483	0.5704700319403971	0.2846250401492712	0.8444922575316346	1.3124424620369632	2.3481104176578835	0.4292223425911858	0.0551739386396893	0.8344245045539509	0.07080213384339944	0.24096026524792039	1.1902153933199149	1.1193187603552686	0.42364074929870055	0.4840849736700182	0.24663503806892495	0.7433462408993989	0.32770555880450514	0.14503625741613663	1.6985674971460207	1.185183786435791	1.2663379923617977	2.3123297536893297	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	12.0
500000	0.5800480914316503	0.1023588805921488	2.251570120245132	0.6274355256679833	0.2403753371093946	0.2977361357461349	0.3650397496772601	3.800002289268092	0.7174041035853124	0.29207916690170793	0.1368438490984871	3.4875103883137712	0.20360027236714423	0.7343972598431295	1.4236521806704945	0.7928475544648311	0.14954466439689237	1.0354586076665915	0.0548871935676783	0.34525007068878505	0.2794357163224478	0.8430866141431512	0.08158673304572014	2.3194554116400607	1.6760742611263337	0.5592499080569772	0.8232111287156296	0.4591113881465921	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	11.0
750000	0.2648073244027304	0.8480870391257207	0.5282981272115737	0.26071320876234655	0.7813560093532691	0.3206662576841469	0.43025312198382887	0.07992784660388494	0.9654492771696259	0.42444769927809156	0.3690162422135105	0.5860727948357923	0.24767300220893645	1.2446510602866427	0.037835120410988805	1.131142184423768	0.5394541169373442	0.7494612118534224	0.7915152301365697	0.05710105574511019	0.42948312961491836	0.8240260870135956	0.1150525413423236	0.12479014713361825	2.8377679367407773	1.3501306569388951	1.791970972937177	0.6315301724090682	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	10.0
1000000	0.05495457283179553	0.37089110002868186	0.49711646748943106	0.15419980711805373	0.5240236032521483	0.8740048735611972	0.7344610342034275	2.2010779240667877	1.0346127801298217	3.3053739975974206	0.5057794644431841	0.7291747011213291	0.4020943474783377	0.9210997841878449	0.10537694791331395	2.6707818523519427	0.21439353429896393	1.0943866459814227	0.37821081596812356	0.1924121291303466	0.5918419666813701	1.359861678163798	1.837404178501386	0.8737805782833322	2.748306652625492	0.06452879753904742	0.673999418242505	2.3764378411971427	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	10.0
1250000	1.6087710443728052	2.4192228302431307	0.1808252149435017	2.710945830084978	0.00753056300353186	0.22934765697812076	0.20268370643365888	1.5877403220685933	0.44039151709196983	1.4779598487073478	0.37028449898712656	0.8366498852672636	1.1674405653219317	0.5390561430405755	0.6398302211567042	0.013927571370597115	0.1613628380004844	0.6624514508181129	2.379210194342939	0.17034303776376575	0.1649606235949264	0.8599210068933987	1.6571990328685666	0.40962048878338236	1.7643688935361017	0.7564183394213131	0.1537131483509629	0.3281721141861358	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	10.0
1500000	3.739318528271007	0.30733811685580503	0.29064354206122645	1.8643317885035242	0.22822704304920086	0.5817029809095559	0.9824694115869415	0.5396977608288661	1.5432191976476737	1.418012731486591	0.26732474513712906	0.5920598777069023	1.5449875951167829	2.0022403716762622	0.5992870599107768	2.219639480672833	2.36691308377322	2.093283893038432	3.5321917113106847	0.6502074103113403	0.5431551181083182	2.4572478901978956	0.0569703319404301	1.1481471134956256	5.146322702940643	0.08351447284368105	0.01402684178628902	1.1263862623681937	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	11.0
1750000	0.7256131348192557	2.885719289661769	0.23673938168788564	0.42109104981774875	0.17281415025439942	0.4189925302340412	0.2725079854278282	0.13688655599518235	1.264327922088093	1.1174206008082093	0.3965150244850475	0.6153832595740024	0.5449898154258053	1.1504211492163483	0.022632704909193575	1.5809442614441822	0.8878783990826002	1.3787895098231713	2.032063814994083	3.3401584371730717	1.125982919296538	1.3990700523094075	0.02147064367674257	0.5258287321401725	4.217883288482322	1.4758370048025522	0.7047718107173057	0.06360348142581553	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	12.0
2000000	0.4695111865391807	1.6119351101395998	0.5563290593275918	3.632768845947234	2.8796499944790104	3.218596163397969	0.4285890373811683	0.4203297371117932	0.9069728298426756	0.12874261644478502	0.4988350220042658	0.028068486583015927	0.5141326290823554	1.3668854126630183	0.21776405341898356	0.6645031941918522	1.572894066614086	0.9880844070146163	0.36007545843602706	0.3218386405482812	0.5611675183538944	0.7629011819368386	1.0464663884077754	0.7483743691512893	2.8129365317890156	0.19715896112767672	0.20409051543754472	2.3244164976787793	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	11.0
2250000	1.2311165741180385	0.15435267027546148	0.4574273641792826	0.7444304183501208	0.8639951553170757	1.4529006105263154	0.33892836018528527	3.38803072017961	0.9230795112892122	0.7197568180888843	0.15907632091006702	0.5485461180474276	1.2808334382792752	0.8805333066596298	2.5807205858127658	0.03003997594731886	0.10339676262537503	0.7267728862014472	0.39085705427315504	0.29085038156591325	0.5971645779012742	0.7114539383552587	0.8638738965374115	0.26574391466345954	2.456035643315955	1.379697590229529	0.9195127574460326	0.17708630829840938	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	11.0
