# BEAST v1.10.5 Prerelease #23570d1
# Generated Tue Nov 12 13:48:20 CET 2019 [seed=666]
# -beagle_cpu -overwrite -seed 666 -save_every 100000 -save_state checkpoint.state HBV-D_ancientDNA_HMCskygrid_geo.xml
# keywords: skygrid discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.logPopSize46	skygrid.logPopSize47	skygrid.logPopSize48	skygrid.logPopSize49	skygrid.logPopSize50	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	default.ucld.mean	default.ucld.stdev	location.clock.rate	default.meanRate	default.coefficientOfVariation	default.covariance	location.meanRate	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.MiddleEast	location.rates.Africa.Oceania	location.rates.Africa.Russia	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.MiddleEast	location.rates.Americas.Oceania	location.rates.Americas.Russia	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.MiddleEast	location.rates.EastSouthAsia.Oceania	location.rates.EastSouthAsia.Russia	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.MiddleEast	location.rates.Europe.Oceania	location.rates.Europe.Russia	location.rates.Europe.WestCentralAsia	location.rates.MiddleEast.Oceania	location.rates.MiddleEast.Russia	location.rates.MiddleEast.WestCentralAsia	location.rates.Oceania.Russia	location.rates.Oceania.WestCentralAsia	location.rates.Russia.WestCentralAsia	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.MiddleEast	location.indicators.Africa.Oceania	location.indicators.Africa.Russia	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.MiddleEast	location.indicators.Americas.Oceania	location.indicators.Americas.Russia	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.MiddleEast	location.indicators.EastSouthAsia.Oceania	location.indicators.EastSouthAsia.Russia	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.MiddleEast	location.indicators.Europe.Oceania	location.indicators.Europe.Russia	location.indicators.Europe.WestCentralAsia	location.indicators.MiddleEast.Oceania	location.indicators.MiddleEast.Russia	location.indicators.MiddleEast.WestCentralAsia	location.indicators.Oceania.Russia	location.indicators.Oceania.WestCentralAsia	location.indicators.Russia.WestCentralAsia	location.nonZeroRates	default.treeLikelihood	default.branchRates	location.branchRates	location.treeLikelihood	skygrid
0	-496203.9976290128	-53864.17219902572	-442339.82542998705	2246.873306134997	-234.87330613499716	5312.474536791933	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2300.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	0.3333333333333333	1.0	0.9601253872388538	0.33437363134831777	-0.04063613779059435	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	28.0	-440802.6987495842	-11269.5350994549	0.0	-1537.1266804028328	-31890.455306481817
250000	-172543.3856576485	-17926.23588731787	-154617.14977033064	2201.151968034686	-189.15196803468598	11504.527577324227	0.4676200223500449	7.498009147446144	4.996889970295686	5.020233618994029	5.98978082997674	3.4902872975148367	3.4999793865479156	2.483813758946294	2.2429325911221016	3.3382791246278996	3.1820869970955137	4.738210287100544	5.758580793112119	6.510826445957923	4.601408390908811	3.4080243439172166	3.5592935559742847	3.913601582562041	3.9206442211677213	2.572885474932194	0.7726779113570246	1.5342136428339075	1.7271511587785555	2.018552257399295	0.9931105223342575	0.3729178312436767	-0.1255239578825975	2.453979897042472	-0.07357645518042112	-0.9899733304562642	0.02666600269000963	0.729167457321975	3.108867823836826	3.437320168178269	2.163909615127876	3.266103448679345	5.015659179774125	2.8624759113575533	1.0873324437921068	0.9651641088960999	1.0275506781006003	-2.5552704343084502	1.134107525233488	0.08222527784337923	1.4526860993765591	-0.032947994765555585	2.2962675989811863	0.5295190950685688	3.6342209098302543	1.2616430158157503	0.9201493004417786	2300.0	3.207665638129916	0.3296767529395545	0.24880579589153995	0.16600470048552582	0.25551275068337953	0.3779281432608627	0.004814556881353989	0.009373945740020408	0.011697792829137564	0.0026744400977277705	1.5545450285712556	0.043110324581299465	0.011697792829137566	0.5518452781659471	0.10558179273111191	0.2933227105270945	0.025494598747631242	2.1619233610287742	1.2319123292230483	0.5704700319403971	0.2846250401492712	0.8444922575316346	1.3124424620369632	2.3481104176578835	0.4292223425911858	0.0551739386396893	0.8344245045539509	0.07080213384339944	0.24096026524792039	1.1902153933199149	1.1193187603552686	0.42364074929870055	0.4840849736700182	0.24663503806892495	0.7433462408993989	0.32770555880450514	0.14503625741613663	1.6985674971460207	1.185183786435791	1.2663379923617977	2.3123297536893297	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	12.0	-153571.00901524862	-11269.5350994549	0.0	-1046.140755082012	-6444.343526158328
500000	-158341.4152859393	-17869.104184725886	-140472.31110121342	2200.940731148077	-188.9407311480768	11382.473862429228	0.2818900750805439	7.4388598145718765	4.582072830361001	4.246248883274343	1.7528891836282883	2.802757847391989	3.2084144561257695	4.311197319127198	1.9975553074749326	0.5533125605123104	2.5787545299582857	3.1935587712066376	1.796635419903606	6.2995052348941485	6.4632375231777	3.882270166085255	3.050983014829332	4.420392995873677	4.67635041120482	2.5346176264999385	2.2864881413687055	5.928871093288229	5.041974780515969	3.818469402173645	1.516135495692148	4.530639798173422	0.6179649679869897	4.610232892964612	5.183036623026993	4.452400575798082	3.6456830890086933	4.218405426630511	5.683282369577187	2.141579577859553	3.959868829217726	4.8804542502759345	4.599382330732346	3.677604000318072	2.1343760642436833	-0.28429578984549736	-2.508688589171989	-1.4159435876638025	-1.3495694046130395	-6.822309125739083	-6.056866116414375	-2.7520689389144035	-1.602183058718306	0.6299507855932738	2.909868141690003	0.41615279729900767	-0.007575114968224602	2300.0	3.1453176105276475	0.338923662352292	0.24534739974231917	0.17327752214442554	0.24245141576096307	0.36730444564933434	0.004490457101979973	0.00971745237248734	0.009304729509191671	0.002473851677981771	1.6294779141634472	0.024058386595444178	0.00930472950919166	0.5800480914316503	0.1023588805921488	2.251570120245132	0.6274355256679833	0.2403753371093946	0.2977361357461349	0.3650397496772601	3.800002289268092	0.7174041035853124	0.29207916690170793	0.1368438490984871	3.4875103883137712	0.20360027236714423	0.7343972598431295	1.4236521806704945	0.7928475544648311	0.14954466439689237	1.0354586076665915	0.0548871935676783	0.34525007068878505	0.2794357163224478	0.8430866141431512	0.08158673304572014	2.3194554116400607	1.6760742611263337	0.5592499080569772	0.8232111287156296	0.4591113881465921	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	11.0	-139595.17989052512	-11269.5350994549	0.0	-877.1312106883021	-6420.641396632919
750000	-151706.65112416708	-17864.438455145642	-133842.21266902145	2200.018504305844	-188.0185043058441	11754.886118109647	0.49683731549873944	7.530514629374102	4.299599159598531	3.1972194796796214	2.80388307648595	3.3141636519022213	2.3978520442098965	4.520277756817187	4.6756037481611035	5.0981344524528085	2.0870324551109034	2.207784001916785	3.487207537353489	3.9156146647393073	5.56193132844775	6.746955609985072	5.79696130830561	4.915412571406477	3.995459644557166	3.0418182120326662	4.161512035703336	5.595357179110215	7.4868609266139226	8.870888027125746	6.689107326688345	6.917975102095671	3.9462270215643187	4.1832163719557816	4.979813487067378	4.573267429268493	2.180910269636854	2.727890853943878	2.4264623454930985	5.954852829996563	2.922812574364239	2.7594419256386646	5.991092424495255	4.194177917512617	2.7658634701624667	1.5376352884700775	0.7501202007502632	-0.20688136417600722	-1.6949302199424179	0.37469762624995145	0.26517975934644167	-3.219277745574137	-2.895718971937544	-1.8867452672713647	-1.4280152043669931	-1.0141275601937583	-1.683320521851357	2300.0	3.144219470620103	0.3316147725566935	0.24652268618573694	0.1762756557990995	0.24558688545846974	0.3766369938094561	0.003922518603472594	0.008270458452164389	0.009284112087811372	0.002313311760240787	1.5621719962237222	0.012923338314447893	0.009284112087811372	0.2648073244027304	0.8480870391257207	0.5282981272115737	0.26071320876234655	0.7813560093532691	0.3206662576841469	0.43025312198382887	0.07992784660388494	0.9654492771696259	0.42444769927809156	0.3690162422135105	0.5860727948357923	0.24767300220893645	1.2446510602866427	0.037835120410988805	1.131142184423768	0.5394541169373442	0.7494612118534224	0.7915152301365697	0.05710105574511019	0.42948312961491836	0.8240260870135956	0.1150525413423236	0.12479014713361825	2.8377679367407773	1.3501306569388951	1.791970972937177	0.6315301724090682	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	10.0	-133099.89219587075	-11269.5350994549	0.0	-742.320473150708	-6424.946536219882
1000000	-147288.48430535986	-17859.248910964896	-129429.23539439496	2206.0314591845236	-194.03145918452356	11929.048533606085	0.23889580508318836	7.559808696706473	4.5464208897511815	3.6806337954447224	4.158957677026715	6.914470331007668	6.236305025162338	4.507427595449578	3.0840884815482323	1.3813297582852075	5.062361768569745	8.433805091754676	8.634801067057978	8.551493761750207	3.4155183941060447	4.550920590787593	2.361544874538029	4.337001918736532	2.807881882521221	3.5868701854681864	3.4085561101357	3.2803265219688695	2.3437003781931542	4.532258130736733	2.4771098980338166	4.385913477867887	4.858022515859511	5.10402665920092	4.405316227832988	5.433109106309716	8.64730823097734	8.578616873034756	6.476027102061983	4.757903475024508	7.4230081404479495	4.350349516902866	2.542762250788431	3.1535465102284403	-0.10783583687579992	1.4751569658038601	-0.47194248172732894	0.17456190470875063	3.3889220319192055	-0.44074019814430027	-0.354914394927192	-0.03724630938944475	1.6076464253462435	1.6520061819727065	3.4128924823748448	-1.8677988454878554	-2.845328900651057	2300.0	2.9969382699497062	0.3353920776019083	0.25270410935054394	0.17339456100284628	0.23850925204470103	0.36522637649680073	0.003143653663503579	0.006992929007015401	0.007466927930776236	0.001845238545019078	1.607684507351453	0.026051463199735215	0.0074669279307762485	0.05495457283179553	0.37089110002868186	0.49711646748943106	0.15419980711805373	0.5240236032521483	0.8740048735611972	0.7344610342034275	2.2010779240667877	1.0346127801298217	3.3053739975974206	0.5057794644431841	0.7291747011213291	0.4020943474783377	0.9210997841878449	0.10537694791331395	2.6707818523519427	0.21439353429896393	1.0943866459814227	0.37821081596812356	0.1924121291303466	0.5918419666813701	1.359861678163798	1.837404178501386	0.8737805782833322	2.748306652625492	0.06452879753904742	0.673999418242505	2.3764378411971427	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	10.0	-128718.60129599378	-11269.5350994549	0.0	-710.6340984011756	-6440.741795211689
1250000	-144502.1162878094	-17825.42974223115	-126676.68654557824	2200.9933639365136	-188.99336393651356	12005.360796342526	0.1335043931081034	7.512173563865727	4.627679088214574	5.376955584596431	1.9706482684349598	1.904445968076339	1.9385482358533803	4.636157205506454	4.344134941280799	6.172695346604781	3.9784959886347133	4.8334499252487415	3.3096438519444202	1.690622575678795	2.1017447438531565	0.008341355970350503	1.4223954306884432	1.552293537840886	2.9884151456302117	2.6068669575941237	3.96673406792452	-0.6014926317016659	0.18616693976712137	1.0632986641024482	0.13879908474150918	2.3835948503407955	1.4422582422939214	1.2502455301608975	0.6360549580127073	-0.14176149649065475	-2.6030867072998274	2.509565865602092	3.723251928696511	6.804077469323916	4.619115277952178	9.081465463194126	7.165698683745875	3.2313344396993897	3.0552818515362783	4.311954825552091	5.020762407129607	3.0744956915520265	4.130169902958648	2.3992952077474747	6.730235293488059	3.618748053746741	1.2296160171971808	-0.947612959514047	1.0316523653103267	4.332004879266844	1.0179753365282735	2300.0	3.0272161758170384	0.3369675580303499	0.24867033851122708	0.1718664727473995	0.24249563071102276	0.35280635392498577	0.003214503031740268	0.007887464061032697	0.007441138426078129	0.00173578188245478	1.6554674811622976	0.035565954235874074	0.007441138426078148	1.6087710443728052	2.4192228302431307	0.1808252149435017	2.710945830084978	0.00753056300353186	0.22934765697812076	0.20268370643365888	1.5877403220685933	0.44039151709196983	1.4779598487073478	0.37028449898712656	0.8366498852672636	1.1674405653219317	0.5390561430405755	0.6398302211567042	0.013927571370597115	0.1613628380004844	0.6624514508181129	2.379210194342939	0.17034303776376575	0.1649606235949264	0.8599210068933987	1.6571990328685666	0.40962048878338236	1.7643688935361017	0.7564183394213131	0.1537131483509629	0.3281721141861358	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	10.0	-126012.62870263911	-11269.5350994549	0.0	-664.0578429391381	-6409.752011768836
1500000	-141278.6861004864	-17800.23604047768	-123478.45006000872	2200.000985165708	-188.0009851657078	12381.165525806582	0.8956324730277211	7.605510517468258	4.354527970326572	4.1191390161134045	3.477998157406712	4.442379702217532	4.4277936729635075	4.748774280792455	4.189944287599212	3.37805851155388	3.6682399476867142	3.9171248526128113	2.8290109170257267	3.151476934937568	2.666964069720758	3.9118868314933177	2.3016479370630742	1.263496873099456	1.71484762597696	1.87396725874267	3.5164657364319187	4.4276428596313915	3.0828995454460655	3.556181284563859	2.065545381767284	1.6503015333764337	1.9779276312816538	2.304308829785541	2.9304916093775097	2.2732943686735303	2.4597560024194087	2.472670753939637	3.5377064177392135	4.207408775178097	3.1309599799489547	3.680476541481561	3.2086395578316114	3.213014407881678	1.274243527047689	0.08743141237398089	-0.536436747763664	-0.2479605082204665	-2.0250809696563064	-2.6989945548720633	-3.1270019114776315	-3.8085831701520196	-4.2056118476778614	-3.6639029163507657	-3.0727341697171497	-3.673308794296536	-3.4252003231709596	2300.0	3.080033572946145	0.32844968812956815	0.25718621182722123	0.17360484048170916	0.24075925956149996	0.3499027843957213	0.0027878585532199835	0.0064599736493518075	0.007005461445157905	0.0015675140088395473	1.59399207938683	0.07026245572011788	0.007005461445157911	3.739318528271007	0.30733811685580503	0.29064354206122645	1.8643317885035242	0.22822704304920086	0.5817029809095559	0.9824694115869415	0.5396977608288661	1.5432191976476737	1.418012731486591	0.26732474513712906	0.5920598777069023	1.5449875951167829	2.0022403716762622	0.5992870599107768	2.219639480672833	2.36691308377322	2.093283893038432	3.5321917113106847	0.6502074103113403	0.5431551181083182	2.4572478901978956	0.0569703319404301	1.1481471134956256	5.146322702940643	0.08351447284368105	0.01402684178628902	1.1263862623681937	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	11.0	-122848.22244535814	-11269.5350994549	0.0	-630.227614650578	-6373.6605287597085
1750000	-139412.50096481846	-17789.90229346202	-121622.59867135645	2200.0027360637328	-188.00273606373275	12248.241589012167	0.41492559794481065	7.518963449437363	4.38598802105251	2.7734016741292575	4.551605091479888	4.58842770256994	5.969972544148976	5.872294952812984	7.087531475492487	4.997608392323468	6.204604624297834	4.774132450183427	5.537480832149341	4.642777440634741	5.746431357783021	5.002923044887102	3.3670418572614143	2.9883886505574027	3.079842405352042	2.8037594398276453	2.020648469441543	2.6278822589745827	0.6276385430635826	1.8942129398496494	3.222825564817652	5.526520855503768	6.69358239940777	8.696096454930899	9.166465283639804	10.431969468384516	8.591177165352896	5.987175177092715	7.6936613071634055	3.65920271398402	4.02861298451678	2.057917357499412	2.9252060410056315	1.6616251822131685	0.903347261730766	-1.0756158316338835	-1.8909864371207543	-3.5319665395290722	-2.2131253830923434	-1.8717266158204624	-1.1423072786787054	-2.8599065260656023	-3.8981746124283685	-6.673835462987133	-6.868644227198389	-6.68920672696999	-5.852232261305602	2300.0	3.022788550261587	0.332842576972437	0.25764362392409196	0.17278495879790298	0.23672884030556693	0.34668529198171477	0.0026285606970684644	0.00612034647144138	0.006183685721496068	0.0014976718167566904	1.5801876423090608	0.034665434254959	0.006183685721496067	0.7256131348192557	2.885719289661769	0.23673938168788564	0.42109104981774875	0.17281415025439942	0.4189925302340412	0.2725079854278282	0.13688655599518235	1.264327922088093	1.1174206008082093	0.3965150244850475	0.6153832595740024	0.5449898154258053	1.1504211492163483	0.022632704909193575	1.5809442614441822	0.8878783990826002	1.3787895098231713	2.032063814994083	3.3401584371730717	1.125982919296538	1.3990700523094075	0.02147064367674257	0.5258287321401725	4.217883288482322	1.4758370048025522	0.7047718107173057	0.06360348142581553	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	12.0	-121008.67713894541	-11269.5350994549	0.0	-613.9215324110387	-6384.349310661991
2000000	-138596.7565401036	-17771.209572947067	-120825.54696715655	2229.6115139087237	-217.61151390872374	12308.172889323072	0.3868623199014374	7.546948583155618	4.04199948564204	2.9863450400297076	2.206157074324451	2.6767782718045887	3.4252750264265575	4.648399601664936	3.632640503453511	2.563291857820043	2.6852322306918306	3.8151747687063504	3.7231760345839184	3.430881142443954	2.425926733724199	1.585354535225048	1.2273755916026594	3.010586014574336	1.2446620153699528	2.3278140593816707	3.8716619099746143	1.6498872288809034	4.4962741600004605	4.7254078963762804	4.070461799962227	4.46283048620714	2.2623636891146934	2.8088065197465464	4.355062770642149	2.466719819452488	1.2450328690654966	2.0081588049141996	2.595795689148748	0.8523460155157087	4.545247406634922	5.543457820428763	2.83787969444431	3.4400006226695123	4.2335100599311035	3.739519142820568	5.7971473326320355	4.2178802965222575	3.6804873285935162	4.414158123012624	3.746391728603031	3.1428280899526695	2.381753750522298	3.697528108967167	4.748361177172806	5.770362311737031	4.1875683817257165	2300.0	2.9602153693289126	0.32676092992366806	0.2539861875237275	0.17694269652344233	0.2423101860291612	0.35341686109257153	0.0027652109558764376	0.006360392499905856	0.005569243755819452	0.0016115649502432103	1.5767947297441265	0.020540337815212854	0.005569243755819453	0.4695111865391807	1.6119351101395998	0.5563290593275918	3.632768845947234	2.8796499944790104	3.218596163397969	0.4285890373811683	0.4203297371117932	0.9069728298426756	0.12874261644478502	0.4988350220042658	0.028068486583015927	0.5141326290823554	1.3668854126630183	0.21776405341898356	0.6645031941918522	1.572894066614086	0.9880844070146163	0.36007545843602706	0.3218386405482812	0.5611675183538944	0.7629011819368386	1.0464663884077754	0.7483743691512893	2.8129365317890156	0.19715896112767672	0.20409051543754472	2.3244164976787793	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	11.0	-120227.68484147292	-11269.5350994549	0.0	-597.8621256836334	-6372.787346304998
2250000	-137520.0399396958	-17739.838896555655	-119780.20104314013	2201.296147188832	-189.29614718883204	12173.140359588353	0.46400601038534167	7.641145889589501	3.733714693515006	3.2630857782699207	5.206687343612388	2.6499872059624474	1.5349853174813481	0.7509316448453469	1.7279750871797073	1.5919016036773388	2.44945974436987	3.3150734622965916	4.767098296153991	5.7942771388645244	5.587834728392095	4.077463149938576	4.451769416373254	2.077070636517467	2.7246523989813447	3.371522499487711	3.559580037782077	3.7303882272769147	4.455315906178805	4.917677006955844	3.637072823638288	2.522766595606037	2.2482412184523155	0.6962899412895925	-0.03118336672676445	-3.1093214915744323	-2.016800388742301	-1.1486474065780656	-0.09662995685081563	-1.5931574988619523	0.6063053005936955	2.7805067973156294	2.784808941791597	4.775691505530439	3.697804746669701	2.5051572004146836	4.099622398622962	3.085309229183737	2.9049724955108864	3.7786332533036626	0.5137459353823127	1.6828422341422733	4.119440302066652	3.9260967406871816	3.9985951397048436	4.734662195292601	3.9609197203899216	2300.0	2.968497942071409	0.329021666061159	0.2531734268367949	0.18015399887061567	0.23765090823142962	0.35123654020776685	0.0027381660396793334	0.006156193136840009	0.005304897142303183	0.0016046442097370466	1.5509264276362815	0.019343107334430138	0.005304897142303188	1.2311165741180385	0.15435267027546148	0.4574273641792826	0.7444304183501208	0.8639951553170757	1.4529006105263154	0.33892836018528527	3.38803072017961	0.9230795112892122	0.7197568180888843	0.15907632091006702	0.5485461180474276	1.2808334382792752	0.8805333066596298	2.5807205858127658	0.03003997594731886	0.10339676262537503	0.7267728862014472	0.39085705427315504	0.29085038156591325	0.5971645779012742	0.7114539383552587	0.8638738965374115	0.26574391466345954	2.456035643315955	1.379697590229529	0.9195127574460326	0.17708630829840938	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	11.0	-119200.84194480226	-11269.5350994549	0.0	-579.3590983378712	-6350.735544066322
