# BEAST v1.10.5 Prerelease #23570d1
# Generated Thu Nov 14 12:01:43 CET 2019 [seed=888]
# -beagle_cpu -overwrite -seed 888 -save_every 100000 -save_state checkpoint.state HBV-D_ancientDNA_HMCskygrid_geo.xml
state	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.MiddleEast	location.rates.Africa.Oceania	location.rates.Africa.Russia	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.MiddleEast	location.rates.Americas.Oceania	location.rates.Americas.Russia	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.MiddleEast	location.rates.EastSouthAsia.Oceania	location.rates.EastSouthAsia.Russia	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.MiddleEast	location.rates.Europe.Oceania	location.rates.Europe.Russia	location.rates.Europe.WestCentralAsia	location.rates.MiddleEast.Oceania	location.rates.MiddleEast.Russia	location.rates.MiddleEast.WestCentralAsia	location.rates.Oceania.Russia	location.rates.Oceania.WestCentralAsia	location.rates.Russia.WestCentralAsia	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.MiddleEast	location.indicators.Africa.Oceania	location.indicators.Africa.Russia	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.MiddleEast	location.indicators.Americas.Oceania	location.indicators.Americas.Russia	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.MiddleEast	location.indicators.EastSouthAsia.Oceania	location.indicators.EastSouthAsia.Russia	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.MiddleEast	location.indicators.Europe.Oceania	location.indicators.Europe.Russia	location.indicators.Europe.WestCentralAsia	location.indicators.MiddleEast.Oceania	location.indicators.MiddleEast.Russia	location.indicators.MiddleEast.WestCentralAsia	location.indicators.Oceania.Russia	location.indicators.Oceania.WestCentralAsia	location.indicators.Russia.WestCentralAsia	location.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	28.0
250000	0.14478542855346835	0.34111868309612825	0.1713172531220505	2.4949481573981207	0.2029340059648025	0.18755006463670842	1.105422937249089	0.4364137539595084	1.5675760374756462	0.6244822415090947	0.3008640012699796	1.5346572270948662	0.4752392228421262	1.5090005896524032	1.0656932082109478	0.8303825996148275	0.6772630881919348	1.9202519506123128	0.9899598675344201	0.29819465834323317	1.076761440639347	2.271687554502203	0.9652948241474663	1.8935167425711932	3.3490685322947575	0.2624269849181341	0.27322666800327083	0.4080868779770563	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	14.0
500000	1.0444433840424368	0.39098913549699077	0.2720172196276016	0.5740016967019856	0.3451667939022497	0.9453178905633144	1.0735581565593364	0.6900654257105352	2.0240377864147305	1.155097222183197	0.4178431255121072	0.4107055382328267	0.3309855125187051	1.1635367869991868	1.8765287633535268	3.4742270868672156	0.5150100795782351	1.7237200045323358	0.20559092002225307	0.6329215244508508	0.9327062053477098	2.0809511551777744	4.463929734178584	1.2011191792762248	3.3651149231791266	2.6383904430579705	0.27443402276945733	1.0179093347881316	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	12.0
750000	0.6513894981032253	0.09146739960127989	0.30113429723019286	4.868418546200532	3.6984444419228764	0.07832752371221215	0.48452633519390054	0.7573375335247958	0.7792352881227614	0.9045185172118052	0.09871276452034514	0.7093899670354078	0.2769156865299504	1.2990602013662367	0.7770585645695542	1.1639590732606029	0.14014521629915183	0.8433107295363419	0.4483329829940402	0.12448756861991629	0.281425776896094	0.5388565073563377	0.8096799895524135	1.1230471863402094	1.7817495188388053	0.6987768301061157	0.3195942354719456	0.33305811839350624	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	13.0
1000000	1.5528593470973882	1.4903573920289386	0.32658315747850164	0.33750195093302393	0.5222938826356763	1.8206489982110716	0.6329644034152522	0.7334183625485257	1.7709708674541933	0.4000172151622208	0.24788175136191576	0.6815999738041126	2.3333355278913976	1.6514436487305768	0.5895615812862649	0.8260862874506845	1.247170896959156	0.9067960437312658	0.7600266742007027	0.20998709036359237	1.1098556421005534	1.344041331060001	2.313072676462887	0.3137853324711475	3.7833340189842612	0.35545704406807194	0.2962209665289948	0.8439163418750635	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	13.0
1250000	0.22823562713909712	5.6591180068903695	0.4568317382992676	1.794144237580075	1.7045905695555068	1.3755119363230892	0.8378764068236014	0.4853305693579289	0.8926493208086426	0.39398393826849326	0.6492681890630407	0.5763287685505324	0.43142921962524955	1.3253501044371487	0.9227795091975729	0.12391877969760495	0.217502844893374	0.9134779488074039	0.6154794047899599	0.38794896148254193	0.42407496385844595	0.984700020841597	0.7178057785432199	0.9514067000406221	2.4752770099890493	0.08268505357285474	0.972358123242686	3.7458828121496706	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	13.0
1500000	0.8609397120539548	0.6253051067486773	0.6378234785990454	0.25521733103342764	1.3836089226832455	0.30034566444650673	1.5309710070179492	0.33115377201212404	0.7839823124757233	0.1631059606032387	0.17828162652325202	0.3620667740998776	2.228817817660674	3.413874915005629	1.5911866238191221	0.3813520178116389	1.4401626782463686	0.9252497348647489	0.7934458113691609	0.5136584398677168	0.2826837788658769	1.8990164608300972	0.7841371450011557	0.9681223627096939	2.7596792681670186	0.446902097099918	0.896233637011099	0.9203021490962797	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	12.0
1750000	0.4110594298585199	1.4383128674679393	0.09299513755695409	0.04125373044677665	0.09483846735274913	0.8720607218630297	1.313385794860366	1.3373816469952946	1.2494220062634767	0.803288299621386	0.5051811445878784	0.675973139063223	2.1098105491499224	0.7884076954948642	0.1709095822401336	0.5683578637984952	2.1495960182915463	1.6601463627489583	0.3287140291709905	0.3909121667573342	0.7233234090740736	1.9238685365411066	0.8746702166929302	0.35672081599472627	3.2294842660783507	0.2511428279052686	0.4151748273449313	1.0334072653379398	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	11.0
2000000	1.1037009656385104	1.3279703690317557	0.46103535770892384	0.8390903415631635	0.456087129959704	4.4774409907308526	1.5565965097530918	0.37683912091111943	1.207881558712498	0.821430510081005	0.17595306619318074	0.841016855537311	2.0527523242936634	1.1157561987374647	0.4667152282012425	0.42080173693880724	0.4925355280608376	2.716783594892747	0.7066244063427363	2.5488315383625895	0.746629498837868	1.9592307462188354	1.6451261316146522	1.1736780280767052	3.3858265314017935	1.5568731580548576	0.8470570220036474	1.3653771297779123	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	11.0
2250000	2.6953528726604454	0.42884909325811515	0.1090509444992981	0.14377793102841457	0.2623867049748153	2.5436746424234786	1.0947328605330977	0.14218053136169181	1.1716576485921344	0.12781437847518226	0.14186018770439185	1.7578633577942089	0.0807146944466417	0.805974993825183	0.5620885144192034	1.3808061663218152	2.162280114472948	1.9640691939566028	0.30012498643820973	1.2748466018007165	0.3673811575446953	1.1324883283732812	0.08770895449374853	0.6932109731888212	1.9626098943556267	0.038705135484892045	0.4880649389862544	0.9666502449444693	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	10.0
