# BEAST v1.10.5 Prerelease #23570d1
# Generated Thu Nov 14 12:01:43 CET 2019 [seed=888]
# -beagle_cpu -overwrite -seed 888 -save_every 100000 -save_state checkpoint.state HBV-D_ancientDNA_HMCskygrid_geo.xml
# keywords: skygrid discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.logPopSize46	skygrid.logPopSize47	skygrid.logPopSize48	skygrid.logPopSize49	skygrid.logPopSize50	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	default.ucld.mean	default.ucld.stdev	location.clock.rate	default.meanRate	default.coefficientOfVariation	default.covariance	location.meanRate	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.MiddleEast	location.rates.Africa.Oceania	location.rates.Africa.Russia	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.MiddleEast	location.rates.Americas.Oceania	location.rates.Americas.Russia	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.MiddleEast	location.rates.EastSouthAsia.Oceania	location.rates.EastSouthAsia.Russia	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.MiddleEast	location.rates.Europe.Oceania	location.rates.Europe.Russia	location.rates.Europe.WestCentralAsia	location.rates.MiddleEast.Oceania	location.rates.MiddleEast.Russia	location.rates.MiddleEast.WestCentralAsia	location.rates.Oceania.Russia	location.rates.Oceania.WestCentralAsia	location.rates.Russia.WestCentralAsia	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.MiddleEast	location.indicators.Africa.Oceania	location.indicators.Africa.Russia	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.MiddleEast	location.indicators.Americas.Oceania	location.indicators.Americas.Russia	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.MiddleEast	location.indicators.EastSouthAsia.Oceania	location.indicators.EastSouthAsia.Russia	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.MiddleEast	location.indicators.Europe.Oceania	location.indicators.Europe.Russia	location.indicators.Europe.WestCentralAsia	location.indicators.MiddleEast.Oceania	location.indicators.MiddleEast.Russia	location.indicators.MiddleEast.WestCentralAsia	location.indicators.Oceania.Russia	location.indicators.Oceania.WestCentralAsia	location.indicators.Russia.WestCentralAsia	location.nonZeroRates	default.treeLikelihood	default.branchRates	location.branchRates	location.treeLikelihood	skygrid
0	-483238.9022110764	-50674.60253219602	-432564.2996788804	2234.2228058357387	-222.22280583573865	5336.59286238579	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2300.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	0.3333333333333333	1.0	0.9915839508546579	0.33063569828061856	-0.014254506209581914	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	28.0	-431025.97753802966	-11269.5350994549	0.0	-1538.322140850705	-28652.653518131814
250000	-170726.39520233995	-18051.052965574927	-152675.34223676502	2200.0967606321133	-188.09676063211327	13206.592332625341	0.4678053302795821	7.616663116851326	5.22221712945326	5.22420768283656	4.9008268251832545	6.00691987698204	8.584042344699753	6.63478537210299	7.6169911738267055	5.237137905089177	6.8986532433218315	6.536803488419209	6.787505153894876	7.160965644333367	7.759582562479386	8.702471460087006	7.754873762969216	7.3385655173146445	6.684517446708327	6.773677287289671	5.352221995724163	4.365850771365165	5.674116935571846	7.453839900141654	6.400134236872788	3.9223998512741285	2.707599933965639	0.7473267008708134	3.0979287167353897	3.2440747976216127	3.2052431166056916	1.5774269903215756	2.8955612922591154	4.1709257137211475	2.7651913744257013	2.071787183765086	3.2877105344682267	4.205203534234293	4.275562219319977	2.2450804277754544	2.053113915370409	1.2338932919361292	4.347810002790752	3.0163828722163695	1.7011428505596997	-2.0795677375198642	-2.1150136482185076	-1.331736682257418	-1.2304183384680962	-2.9338687498251845	-1.7590398393678115	2300.0	3.194829328688377	0.33468582797802493	0.24250136398705316	0.16605266573806154	0.25676014229686	0.3833585968317745	0.005213950780538288	0.012758297074167455	0.010043200781671688	0.0024149102604488415	1.6614167010021723	0.005282477626536997	0.010043200781671683	0.14478542855346835	0.34111868309612825	0.1713172531220505	2.4949481573981207	0.2029340059648025	0.18755006463670842	1.105422937249089	0.4364137539595084	1.5675760374756462	0.6244822415090947	0.3008640012699796	1.5346572270948662	0.4752392228421262	1.5090005896524032	1.0656932082109478	0.8303825996148275	0.6772630881919348	1.9202519506123128	0.9899598675344201	0.29819465834323317	1.076761440639347	2.271687554502203	0.9652948241474663	1.8935167425711932	3.3490685322947575	0.2624269849181341	0.27322666800327083	0.4080868779770563	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	14.0	-151632.3196744368	-11269.5350994549	0.0	-1043.0225623282317	-6548.4441918011435
500000	-160058.01614626535	-18058.811178871303	-141999.20496739403	2200.0116861344695	-188.01168613446953	13609.422422112331	0.2782516407424504	7.7373896254714145	4.966957394086089	5.092878590616247	6.757355266440135	6.60640224796532	9.351800849544126	7.67609321835842	5.642449158034804	4.099815032583902	4.4750095935973935	3.3393098755194557	6.513802338813688	7.450251863475021	5.475871483855401	7.582326049684893	11.095376500798935	10.519967695090227	11.386516143089159	7.825311057196643	6.670630332020739	8.236654360855368	7.241138753614502	4.5241623239015665	4.495301821632799	4.644264768065941	3.325822992368989	7.0833765142801814	6.8386914548985205	7.45923464260004	10.8330548166563	13.17934860019573	14.761313829338567	15.353371942852405	8.752594930889957	6.181587473561152	4.062262059805712	2.697133861503152	3.3451303088437134	-0.7668084974182274	1.0208572730118142	-1.712167949984918	-2.6946977069038107	-5.966585505183253	-3.4718206341755375	-1.5352353254965136	-1.3301206244143635	-5.4940995875800125	-6.6628207206817756	-5.024823442487149	-6.132165861930593	2300.0	3.0955487075603854	0.3330282057258085	0.2517682014310337	0.17106672229478298	0.2441368705483747	0.378716781534525	0.004667778517494176	0.011774062892190431	0.008445328811814845	0.0021963891646230396	1.631429027011855	0.027155155273798432	0.008445328811814833	1.0444433840424368	0.39098913549699077	0.2720172196276016	0.5740016967019856	0.3451667939022497	0.9453178905633144	1.0735581565593364	0.6900654257105352	2.0240377864147305	1.155097222183197	0.4178431255121072	0.4107055382328267	0.3309855125187051	1.1635367869991868	1.8765287633535268	3.4742270868672156	0.5150100795782351	1.7237200045323358	0.20559092002225307	0.6329215244508508	0.9327062053477098	2.0809511551777744	4.463929734178584	1.2011191792762248	3.3651149231791266	2.6383904430579705	0.27443402276945733	1.0179093347881316	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	12.0	-141091.7320320833	-11269.5350994549	0.0	-907.4729353107431	-6576.582030693132
750000	-152966.03895122305	-17993.1213512582	-134972.91759996486	2200.0009064840788	-188.00090648407877	13607.708960899661	0.33752952714059853	7.706934200510199	5.001768835966685	5.020047168299838	2.585754840031221	0.4118982652464856	-0.7509088471775054	2.1982667506830804	2.7504701607005084	1.7205081484991644	5.52030072227995	5.226967877346899	5.803599023512617	7.201830054972044	8.983592568566602	9.115408688373979	9.830031559002949	4.434913398250784	5.315840586618255	5.870845287326559	6.754100249899024	4.064603721840896	4.696232567652937	4.268963663829001	4.3505977137090674	3.2103207375775296	2.1314192235330807	3.240460539757464	1.4641973303562426	1.3718217732270532	2.788809868604007	3.0585167579813533	3.8285047370706806	3.445701269532082	4.310675024329025	3.933364743011057	4.654065885424727	3.688713837267039	4.303521174822278	2.683446281614145	-1.0660510586332759	-0.8772024530570112	-1.6937350480621003	-3.449646504008428	-3.633189671946913	-2.7509457959950945	-6.238301597656403	-5.69197147306599	-5.595179693472494	-5.4216913279206995	-2.05695541803205	2300.0	3.1204765528740492	0.33162859133829337	0.25696808424410317	0.17248979644204082	0.23891352797556206	0.3700576746247309	0.004268697162464083	0.011104925650330414	0.007531628405145821	0.002001243609434122	1.6727238782708695	0.023087590274762853	0.007531628405145805	0.6513894981032253	0.09146739960127989	0.30113429723019286	4.868418546200532	3.6984444419228764	0.07832752371221215	0.48452633519390054	0.7573375335247958	0.7792352881227614	0.9045185172118052	0.09871276452034514	0.7093899670354078	0.2769156865299504	1.2990602013662367	0.7770585645695542	1.1639590732606029	0.14014521629915183	0.8433107295363419	0.4483329829940402	0.12448756861991629	0.281425776896094	0.5388565073563377	0.8096799895524135	1.1230471863402094	1.7817495188388053	0.6987768301061157	0.3195942354719456	0.33305811839350624	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	13.0	-134174.54514126352	-11269.5350994549	0.0	-798.3724587013565	-6537.39774697886
1000000	-149736.7727099763	-17997.595236303638	-131739.17747367267	2201.0689474399514	-189.06894743995144	13634.490234447327	0.14282864004321372	7.73446000590821	4.670090320551945	5.7427203004166945	1.8392608862478543	2.6464415533744337	-0.4381728425996181	1.8544844451160916	4.917181306653767	3.945574375435645	3.715123124599017	8.50107071568906	9.156849525017678	14.657737467110067	9.870885622473919	12.658332603889582	15.276117949519442	17.634277741078396	12.02413352194095	15.442556035065472	13.957834303471754	13.826967011951865	10.467868740031797	11.202626836320354	6.548155637530819	3.646125481621858	-1.627216337072461	-4.327230097710316	4.3074359389447565	3.7759596789705636	3.564588007671583	4.738075895255904	5.90326048084665	10.79509174327982	5.357209382472668	4.259184901809093	1.640815057601398	3.0409241763646078	10.271506178497097	7.031225010775686	1.6658070702311338	6.042617452087056	6.905058969081967	7.028091738007518	7.027816930224792	2.9627499131925386	3.5270659506124193	0.19340744448602146	0.3965713357055405	3.4403688263214756	2.8687563854236777	2300.0	3.120694412330263	0.33357547493470335	0.2489966919718044	0.1727855762241971	0.24464225686929378	0.3690836199365152	0.004465497421693409	0.012762439276473934	0.006182874524256382	0.002020248088316826	1.7561969503684773	-0.03165940430507282	0.006182874524256375	1.5528593470973882	1.4903573920289386	0.32658315747850164	0.33750195093302393	0.5222938826356763	1.8206489982110716	0.6329644034152522	0.7334183625485257	1.7709708674541933	0.4000172151622208	0.24788175136191576	0.6815999738041126	2.3333355278913976	1.6514436487305768	0.5895615812862649	0.8260862874506845	1.247170896959156	0.9067960437312658	0.7600266742007027	0.20998709036359237	1.1098556421005534	1.344041331060001	2.313072676462887	0.3137853324711475	3.7833340189842612	0.35545704406807194	0.2962209665289948	0.8439163418750635	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	13.0	-130975.07822678807	-11269.5350994549	0.0	-764.0992468845974	-6553.177412437165
1250000	-145869.1397920128	-17985.180901525782	-127883.95889048702	2200.186233989689	-188.18623398968884	13938.610902899929	0.15298065505767153	7.837923257192686	4.77612695951257	2.4678022343143318	7.386821427780683	9.314376667851933	8.52218309652799	6.945373646801047	3.8592678763888455	1.777369335597207	4.735825122727683	6.674716718632427	8.888836792931762	8.480029884169136	10.899532573389704	8.05607426321304	6.505033542230116	4.597366784748126	9.424584392912212	11.93339078298684	7.128678692171381	11.582182373748822	12.057215343086577	8.1215971400845	0.24223725266021987	0.6587537544336197	4.16602742481864	2.311721021667905	3.037221609205087	2.0708631652893095	2.8668685441765436	-0.6058283570962851	-0.7088330393615389	-1.457760031087983	2.3013235009812405	4.259238025365945	2.513480568620209	3.3627598349233527	1.8924538817365892	1.545528674832479	0.605776028975888	1.028487091287273	-2.6339011366824483	-7.339474611732903	-5.131402790638933	-2.563239735298917	-0.41010353439796393	0.0014414469682786108	6.70742006930927	3.6845175241990553	8.50240933468961	2300.0	2.9478826910815785	0.3255779327546666	0.24651763074434258	0.17985184116709588	0.24805259533389323	0.3574428694823478	0.004267940474325442	0.01148501298933281	0.005228526118030736	0.0020241906870734653	1.645969379346044	0.006967979780241324	0.005228526118030719	0.22823562713909712	5.6591180068903695	0.4568317382992676	1.794144237580075	1.7045905695555068	1.3755119363230892	0.8378764068236014	0.4853305693579289	0.8926493208086426	0.39398393826849326	0.6492681890630407	0.5763287685505324	0.43142921962524955	1.3253501044371487	0.9227795091975729	0.12391877969760495	0.217502844893374	0.9134779488074039	0.6154794047899599	0.38794896148254193	0.42407496385844595	0.984700020841597	0.7178057785432199	0.9514067000406221	2.4752770099890493	0.08268505357285474	0.972358123242686	3.7458828121496706	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	13.0	-127179.13615639199	-11269.5350994549	0.0	-704.8227340950244	-6552.783871437474
1500000	-143295.4070455851	-17959.27054993052	-125336.13649565457	2200.0000023951934	-188.0000023951934	14191.982829511526	0.3171519926665145	7.849220315531845	4.658004793002278	0.7375639906826921	1.430598099512432	3.1482462885902356	5.340467762537186	2.94316304199761	3.506493602136955	5.110535032316955	2.1791246801897675	1.5078095310486221	3.7591868041287264	3.5518717123963373	4.738314005852614	1.985728828493927	0.787011480111392	0.12788605255158694	3.7352236861437635	5.087334045403988	4.805323851997545	4.750573556758252	5.0369133968382025	3.5185729441000553	2.676934098151789	2.61503584450649	3.376499650150772	2.794343770486704	2.895274131314382	2.9810096730393454	-0.055302316164228066	4.391124711770121	2.339086698018607	3.7942014068494947	2.8988189194467915	1.1739415866437544	0.8190016286769428	0.7819790147119589	-1.2101362090898815	-2.556750468581181	-2.9211616893176493	-2.563124592990793	-2.3871764670996996	-4.404381491891379	-6.165895286322009	-9.20484516783762	-11.250486350598607	-11.962617874053398	-12.922281519142725	-10.88468275068555	-12.42131393452206	2300.0	2.9570319788588035	0.3309298022304727	0.24699922336102437	0.17568866985866446	0.2463823045498365	0.3751580986848399	0.003909820805894884	0.010160224429068575	0.0050440857102522045	0.0019135445643369056	1.628729390320704	0.004072592255674811	0.0050440857102522	0.8609397120539548	0.6253051067486773	0.6378234785990454	0.25521733103342764	1.3836089226832455	0.30034566444650673	1.5309710070179492	0.33115377201212404	0.7839823124757233	0.1631059606032387	0.17828162652325202	0.3620667740998776	2.228817817660674	3.413874915005629	1.5911866238191221	0.3813520178116389	1.4401626782463686	0.9252497348647489	0.7934458113691609	0.5136584398677168	0.2826837788658769	1.8990164608300972	0.7841371450011557	0.9681223627096939	2.7596792681670186	0.446902097099918	0.896233637011099	0.9203021490962797	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	12.0	-124684.00923947134	-11269.5350994549	0.0	-652.1272561832324	-6536.330544695982
1750000	-141261.12303746204	-17973.682345362417	-123287.44069209961	2200.0020107988794	-188.00201079887938	14456.024214900552	0.2197966093842294	8.000582276743758	4.579543751306556	2.687202976789062	1.2120738268953855	-0.9230689368824673	-1.6041272827713864	0.8427589957122875	3.2264505792696356	5.402778369776337	2.428772368905055	3.852328048759679	2.9833624288322387	4.11743959529637	4.760903014922	5.906466834815181	3.1051811262174653	5.886179482683371	6.53933164728454	11.65531860706986	8.115983274387139	9.489981977818287	9.163781437928215	6.356508906763371	3.9743884561733833	3.6682154568012884	0.9853765924893465	2.2909599406855263	4.146837324121312	1.1457234968045422	-0.6129055684570501	-1.21545606495413	-1.6105262578319877	0.3482227273106964	0.30332535207011635	5.255592895280235	2.8071437042058505	3.060896027788039	-1.5192876689040036	-2.3647577541618676	-2.5112207095576755	-5.493938523028931	-7.67622491636509	-5.951921224007978	-5.061320137710893	-4.022663499205801	-7.051847086025132	-5.105151182470546	-3.6377166931838443	-5.282739991738278	-6.598741670354663	2300.0	2.9548298022508392	0.3326678731539159	0.2468201676685312	0.17358250913642517	0.24692945004112496	0.37755628623696846	0.0030638243620061977	0.007110488644382294	0.005834216227507862	0.0016449098503475003	1.4491976187747877	8.491609723109789E-4	0.005834216227507859	0.4110594298585199	1.4383128674679393	0.09299513755695409	0.04125373044677665	0.09483846735274913	0.8720607218630297	1.313385794860366	1.3373816469952946	1.2494220062634767	0.803288299621386	0.5051811445878784	0.675973139063223	2.1098105491499224	0.7884076954948642	0.1709095822401336	0.5683578637984952	2.1495960182915463	1.6601463627489583	0.3287140291709905	0.3909121667573342	0.7233234090740736	1.9238685365411066	0.8746702166929302	0.35672081599472627	3.2294842660783507	0.2511428279052686	0.4151748273449313	1.0334072653379398	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	11.0	-122680.27303706507	-11269.5350994549	0.0	-607.1676550345378	-6553.44864910351
2000000	-139621.8395985155	-18004.63389358286	-121617.20570493264	2200.00536228357	-188.00536228356987	14860.867336584319	0.32731670029178184	7.8847640915319746	4.800741656240598	5.548911633277978	3.4630655559842056	4.998545710366707	6.672090872111726	6.179966267936103	4.948021340736588	3.962547883515106	3.8237612113100865	4.10961779438804	4.087771519540703	4.196120125487845	5.916892294786178	6.855016500979421	4.51792391451343	6.5106838697623495	7.215347652466449	5.734631920115912	6.455982575235106	6.278235955317483	7.277255178936615	3.6234992176224976	3.317476895513145	3.5049756441015667	5.233364357608582	4.858149014095396	4.857021235533047	2.7204634243141297	2.62849144558814	5.036162173183724	4.189549185184471	4.906849344984292	6.761187794804592	3.88654746729692	1.5082649551937086	2.253727884245458	0.9562001362193198	2.415998162317854	2.271754841541458	-0.36549930380656326	-2.5634456472023244	-3.5579086278417065	0.8558687159323468	-0.4062142266066731	-2.453901358828815	-5.217961436100452	-2.8962947790380382	-1.2585120847893492	-1.8602131274654061	2300.0	3.0120246512855355	0.3303204196254869	0.25168246952367845	0.18140760969219413	0.23658950115863747	0.3571606181669274	0.0028063457952597656	0.006444204604151841	0.004394024361754921	0.0015546770322747258	1.4545385529161035	0.006342924717373146	0.004394024361754919	1.1037009656385104	1.3279703690317557	0.46103535770892384	0.8390903415631635	0.456087129959704	4.4774409907308526	1.5565965097530918	0.37683912091111943	1.207881558712498	0.821430510081005	0.17595306619318074	0.841016855537311	2.0527523242936634	1.1157561987374647	0.4667152282012425	0.42080173693880724	0.4925355280608376	2.716783594892747	0.7066244063427363	2.5488315383625895	0.746629498837868	1.9592307462188354	1.6451261316146522	1.1736780280767052	3.3858265314017935	1.5568731580548576	0.8470570220036474	1.3653771297779123	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	11.0	-121030.89090894182	-11269.5350994549	0.0	-586.3147959908172	-6594.828699308873
2250000	-138935.20772820496	-18006.659776292225	-120928.54795191274	2200.0833460228114	-188.08334602281138	15125.491629764401	0.09950221385645167	7.983882390126836	4.652669462385988	2.887562715710392	4.050633544933035	4.737527718187521	2.0187105471082383	1.7409746044648722	2.6794434029134933	-3.45076606128393	4.538432660889153	1.7164880490500125	-0.0986241045938747	3.7734168092552007	8.208208430322292	6.8927680728809015	6.614562526614717	7.718426983691602	12.134511033956977	12.539587334373218	11.69980081076298	13.019147331383191	14.881467150078382	9.896558565708817	4.727061185619604	1.332833802160017	5.877862197156426	4.292462083861462	7.114843527075317	9.049827851480378	8.466837599493658	8.482503627583839	11.61563075109275	11.524644663148438	7.824265639337101	8.067466590056656	2.9257206237422078	2.510091510257994	4.113598621361964	3.742947925976868	5.166737151828499	3.7657233526590277	7.250298616256427	7.873580825066721	10.87368498525317	9.36908994691609	6.626034938694156	0.79744053136189	1.3269545468535857	1.0142726758253082	1.7683758770380733	2300.0	3.0082107517705086	0.334504179544531	0.2515206706167913	0.17557823354624497	0.2383969162924293	0.37401098426153767	0.002537443618477877	0.005783934285440152	0.004362235793008875	0.0014523256869041548	1.3747328517627673	0.025282683726781708	0.0043622357930088815	2.6953528726604454	0.42884909325811515	0.1090509444992981	0.14377793102841457	0.2623867049748153	2.5436746424234786	1.0947328605330977	0.14218053136169181	1.1716576485921344	0.12781437847518226	0.14186018770439185	1.7578633577942089	0.0807146944466417	0.805974993825183	0.5620885144192034	1.3808061663218152	2.162280114472948	1.9640691939566028	0.30012498643820973	1.2748466018007165	0.3673811575446953	1.1324883283732812	0.08770895449374853	0.6932109731888212	1.9626098943556267	0.038705135484892045	0.4880649389862544	0.9666502449444693	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	10.0	-120340.5266822912	-11269.5350994549	0.0	-588.0212696215395	-6614.4398660422985
