# BEAST v1.10.5 Prerelease #23570d1
# Generated Fri Nov 08 13:18:55 CET 2019 [seed=121212]
# -beagle_cpu -overwrite -seed 121212 -save_every 100000 -save_state checkpoint.state HBV-D_ancientDNA_HMCskygrid_geo.xml
state	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.MiddleEast	location.rates.Africa.Oceania	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.MiddleEast	location.rates.Americas.Oceania	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.MiddleEast	location.rates.EastSouthAsia.Oceania	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.MiddleEast	location.rates.Europe.Oceania	location.rates.Europe.WestCentralAsia	location.rates.MiddleEast.Oceania	location.rates.MiddleEast.WestCentralAsia	location.rates.Oceania.WestCentralAsia	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.MiddleEast	location.indicators.Africa.Oceania	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.MiddleEast	location.indicators.Americas.Oceania	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.MiddleEast	location.indicators.EastSouthAsia.Oceania	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.MiddleEast	location.indicators.Europe.Oceania	location.indicators.Europe.WestCentralAsia	location.indicators.MiddleEast.Oceania	location.indicators.MiddleEast.WestCentralAsia	location.indicators.Oceania.WestCentralAsia	location.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	21.0
250000	0.14746462397591037	1.6414260094932143	0.3481765603343363	2.5070455352976664	0.3085980655285168	0.6211983791958513	0.27507389351591544	0.7566356397349484	0.44455305448772675	0.19189775568021603	4.987772509836591	0.7383299765000176	0.7581357600347688	0.651656630897656	1.5058777656859423	1.0619596342573365	0.05824309491477112	0.6128587897185052	1.1931234937144541	1.2668855985283605	0.292990650085287	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	13.0
500000	0.16588733267278494	1.488624413596737	0.4846575547485097	1.1864526735026633	0.9868349566294625	0.6284128804472191	0.1907196331986409	0.8895802072315943	0.514529662115731	0.5466243383581534	1.1902727661156567	1.8982162831531961	0.6874366834055337	0.2656555196169388	2.1343387529600717	0.6650178867056027	0.31523803813618334	1.0322992299997535	1.3729736094964509	2.2800931305744454	0.15694577054981254	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	13.0
750000	1.3957683609612879	0.23214068996244508	0.19435991276534234	0.07822081519728948	1.7835480108220516	1.0819605976516955	0.5354068785900268	1.1038333059337042	1.3733512721269705	0.2630109245878054	0.10330854455069888	0.8828134264254831	1.126355992536587	0.4239124976828206	1.8440446422947019	0.6023952760271002	0.41411217698586544	1.5072543189153944	3.2242898148665207	2.12646689292186	0.731519904788245	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	14.0
1000000	0.7726951202431406	0.2886041925648443	0.29612408616483277	0.11123363220615975	0.3972104084395411	0.9165915855289417	0.35523794757422705	1.7814165911610158	0.08371463404240384	0.4806333955623261	0.1434083547983221	1.8756095042487517	1.4433448306428693	1.4122968128296218	2.354738206704142	0.17577823532445858	2.8761662136031014	2.4835498915913536	0.0667464485824184	3.5028577400932415	0.2855423489972464	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	13.0
1250000	1.9169906907592964	0.16103581636864595	0.2876048972662825	0.9695545526651638	1.256618722978102	0.7150701113495322	0.28024901838548816	0.6804440923454592	0.652991390384177	0.24379939808950826	0.38992478693543575	0.7427481718555085	0.12094365745152276	0.8897090924204513	1.315527568854203	0.2127073172616402	0.9612438142977716	1.5577333682479932	0.5481350328900929	2.2815621318238	0.05211092224133811	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	12.0
1500000	0.15507631097127345	1.1296272218131527	1.2560009620007986	1.5142779058986398	0.16041783976590657	1.0783943668905518	0.5119231775408789	1.0959439668696693	0.1480183857240521	0.3270049169879894	1.2547583545212062	1.4692611597673733	1.211617890204725	0.30112863473288	1.829297742423548	1.0294731866312163	0.5190181833989364	2.371100686183197	0.9911952870098876	3.155539696174983	0.1131386770508596	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	13.0
1750000	3.8727971746891585	0.26430213455226825	0.3458774275291762	0.29442396546111255	2.105983095573553	0.5986434978144708	0.23462253217847748	1.1219808724795652	0.5332464260967108	0.7125887119237742	0.4926381886116029	0.8591860554718178	0.2941988355336509	0.9401508457183553	1.6000455336698378	0.2602746547951015	1.150108477753807	0.7777300555170773	0.46986521540681336	2.833448318623912	0.29455969018694106	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	12.0
2000000	0.4499068342177015	1.0609587582418334	0.6151935203875922	1.7157534943159725	0.3655712626553802	0.6791121757619423	0.8536269371394312	1.9942517618832767	0.007626287159923507	0.8095384069732429	2.3361744256565227	0.45869311588111894	0.03404776134157242	0.6772200757982534	2.464054042452448	1.465121136981299	0.05323881034438171	1.500475668715794	0.18242816600526107	2.4892843726965177	0.3338690736358521	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	12.0
2250000	1.6982611895957818	1.1231290806852108	0.3783925843476078	0.16343014584924373	0.3184464072214546	0.6063796434020043	0.7048593718207957	1.2656031678597874	0.24591709774372492	0.16059356910627828	0.11666304589948376	1.2342758476135756	0.6030082793269663	0.08366572258661295	1.8381847724337421	0.8681792460166627	0.3730749836257721	1.96499428679121	1.338641707812087	2.2430994878295216	0.769534097188007	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	12.0
