# BEAST v1.10.5 Prerelease #23570d1
# Generated Fri Nov 08 13:18:55 CET 2019 [seed=121212]
# -beagle_cpu -overwrite -seed 121212 -save_every 100000 -save_state checkpoint.state HBV-D_ancientDNA_HMCskygrid_geo.xml
# keywords: skygrid discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(AncientDNA)	age(AncientDNA)	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.logPopSize46	skygrid.logPopSize47	skygrid.logPopSize48	skygrid.logPopSize49	skygrid.logPopSize50	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	default.ucld.mean	default.ucld.stdev	location.clock.rate	default.meanRate	default.coefficientOfVariation	default.covariance	location.meanRate	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.MiddleEast	location.rates.Africa.Oceania	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.MiddleEast	location.rates.Americas.Oceania	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.MiddleEast	location.rates.EastSouthAsia.Oceania	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.MiddleEast	location.rates.Europe.Oceania	location.rates.Europe.WestCentralAsia	location.rates.MiddleEast.Oceania	location.rates.MiddleEast.WestCentralAsia	location.rates.Oceania.WestCentralAsia	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.MiddleEast	location.indicators.Africa.Oceania	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.MiddleEast	location.indicators.Americas.Oceania	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.MiddleEast	location.indicators.EastSouthAsia.Oceania	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.MiddleEast	location.indicators.Europe.Oceania	location.indicators.Europe.WestCentralAsia	location.indicators.MiddleEast.Oceania	location.indicators.MiddleEast.WestCentralAsia	location.indicators.Oceania.WestCentralAsia	location.nonZeroRates	age(LT992438.1DA29/Kazakhstan/1195/Kazakhstan/)	age(LT992439.1DA27/Kazakhstan/407/Kazakhstan/)	age(LT992444.1DA51/Kyrgyzstan/-280/Kyrgyzstan/)	age(LT992454.1DA222/Kazakhstan/850/Kazakhstan/)	age(MG585269-NASD24SEQ/Italy/1578/Italy/)	default.treeLikelihood	default.branchRates	location.branchRates	location.treeLikelihood	skygrid
0	-480367.392357239	-50178.383706726425	-430189.00865051255	2343.214034183023	-331.21403418302316	5361.336624637553	2343.214034183023	-331.21403418302316	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2300.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	0.3333333333333333	1.0	1.0322745356393743	0.3402553706230929	0.006532290093462598	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	21.0	849.0	1641.0	2200.0	1167.0	439.0	-428758.7757175512	-11269.5350994549	0.0	-1430.232932961386	-28114.627100926908
250000	-172103.53151273227	-18164.001834983457	-153939.5296777488	2247.9932481392652	-235.99324813926523	10526.57355462089	2247.9932481392652	-235.99324813926523	0.21438270265870946	7.26147946381068	4.281692413562259	4.190700984590164	2.9313234597831324	1.026715639318129	1.0668134434676892	1.5875317430417761	2.664525738852712	0.4737231806090626	0.8182447143298496	6.591226687012216	6.561778812599489	8.145977302992096	11.219539134592386	10.496201215688473	11.317639455369438	9.271857020738857	3.0770522747074516	5.348376400518356	7.227485512771791	8.034575142372917	8.870664965594592	7.265925706901851	7.506791470734064	6.787563222299338	2.5861021935319677	-0.5372016680578805	-1.395576562728409	-1.418632840853492	1.0174875008243198	0.10038293604805319	-0.9633347009899741	1.615258452730902	2.1020785380305216	5.209749717481356	8.339425254794923	9.137458617495126	5.793526515634458	8.221848589083791	3.7172623459653105	0.7016161580271598	-1.522993830849704	-3.01075515892192	-0.9417036210212719	0.5847546726110504	2.4219534177043727	1.836786524935445	1.1761449436588056	-0.9475160440247132	0.2372238957221988	2300.0	3.145960020815215	0.32583002863202626	0.2565721381068723	0.17486312803694043	0.24273470522416096	0.39099229559507404	0.006201371824281839	0.014602598120080057	0.01383638858592342	0.0030228828881177965	1.9775499084293462	-0.002539256475517843	0.01383638858592343	0.14746462397591037	1.6414260094932143	0.3481765603343363	2.5070455352976664	0.3085980655285168	0.6211983791958513	0.27507389351591544	0.7566356397349484	0.44455305448772675	0.19189775568021603	4.987772509836591	0.7383299765000176	0.7581357600347688	0.651656630897656	1.5058777656859423	1.0619596342573365	0.05824309491477112	0.6128587897185052	1.1931234937144541	1.2668855985283605	0.292990650085287	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	13.0	1394.5928653261678	1687.6623250733953	2246.1664470580145	1528.15473180297	717.9827885325377	-152911.68057752357	-11269.5350994549	0.0	-1027.8491002252122	-6299.37273976522
500000	-157485.52672870082	-17934.67958782457	-139550.84714087626	2244.850640692872	-232.85064069287182	11952.333195550007	2244.850640692872	-232.85064069287182	0.5595611428409932	7.333401352859373	4.334065938339721	4.061421496398901	5.601660656202608	5.456984013582969	7.013238182031128	8.131818548117073	8.491941695905153	7.688087746888625	7.266700924386943	7.327483174295041	8.777827226243575	11.353097885817006	11.65457382031451	12.76052517133062	9.799718288804922	10.005228676974482	8.7658414398085	6.725794427035458	7.8193940928187615	5.605985227839025	3.3165525641356064	1.9891504147456667	2.4938193472752217	4.486949614206217	5.904707719435078	6.424415169870937	4.7475627825120945	5.425199050865118	5.237727703660917	5.852928645891365	6.662559263126448	7.595489473593022	7.463517111907199	6.286413927945123	5.182181534120835	5.526112586654533	5.7433341416003385	5.360514686253807	4.628440852576546	5.018181253974199	5.67506823910538	5.641198440103558	4.97065431836589	5.960601118960222	6.668170442708542	7.076222986160175	5.792432034215557	4.779279664751849	5.966602063779418	2300.0	3.0256086086979326	0.3365746074012285	0.24572577556162886	0.17135489212131796	0.24634472491582438	0.38114734948700946	0.005349987884937213	0.01556129946424346	0.010276149349003933	0.002293953881522362	2.330511124132171	0.014513121330915854	0.01027614934900393	0.16588733267278494	1.488624413596737	0.4846575547485097	1.1864526735026633	0.9868349566294625	0.6284128804472191	0.1907196331986409	0.8895802072315943	0.514529662115731	0.5466243383581534	1.1902727661156567	1.8982162831531961	0.6874366834055337	0.2656555196169388	2.1343387529600717	0.6650178867056027	0.31523803813618334	1.0322992299997535	1.3729736094964509	2.2800931305744454	0.15694577054981254	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	13.0	1214.2994487025255	1636.0258901730874	2211.1047661743737	1230.6464115284161	540.6616625977416	-138686.69073839483	-11269.5350994549	0.0	-864.1564024814369	-6322.405213896482
750000	-151329.71575206087	-17887.270782835967	-133442.44496922492	2173.5275145890364	-161.5275145890364	12020.20909992582	2173.5275145890364	-161.5275145890364	0.1093288635897179	7.451151851290811	4.1463423792804015	3.9525120186260296	4.459544830603982	9.252274219766225	12.42230177372979	11.285307012729346	16.808179531075336	16.08677874004037	16.024868422454396	7.994439063528697	10.510474681670113	10.83380693922997	14.328122551637382	14.650693290259538	12.588379438771344	10.233862614492026	8.859001428711831	9.455162643802828	4.157470970919475	4.906965914607021	7.313542032090396	13.111807428728925	5.922960941547756	2.5508457781684304	6.151002318566104	5.831737629722868	6.475369705939387	4.582554119391353	1.4302478014864466	3.1582243535763785	5.707197216323408	-3.323835721414239	0.6863012449005923	3.371543804159929	4.753251064285338	5.8942984402703535	6.015667833920372	10.016181369133482	6.347854557138321	3.5116341721986384	1.3209896422051566	-0.3271896201632712	5.197347598587042	0.07485556308693239	0.9669175345262202	0.9443112571592391	2.7101992813609894	7.630927414672683	10.428968399069724	2300.0	3.0441075200899914	0.33346165612026585	0.24738152694199972	0.1708745073257986	0.24828230961193573	0.36907341320113607	0.0047937781489700935	0.013313517884091011	0.008346973048818736	0.0021149548605489533	2.2210372497986475	0.011602660096865742	0.008346973048818727	1.3957683609612879	0.23214068996244508	0.19435991276534234	0.07822081519728948	1.7835480108220516	1.0819605976516955	0.5354068785900268	1.1038333059337042	1.3733512721269705	0.2630109245878054	0.10330854455069888	0.8828134264254831	1.126355992536587	0.4239124976828206	1.8440446422947019	0.6023952760271002	0.41411217698586544	1.5072543189153944	3.2242898148665207	2.12646689292186	0.731519904788245	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	14.0	819.4913893266221	1641.948170398021	2170.363620305943	1235.0223332077671	474.60024479697876	-132671.30379812763	-11269.5350994549	0.0	-771.1411710972752	-6409.561487686446
1000000	-147312.3110058167	-17858.05746665872	-129454.25353915799	2249.4475928075826	-237.44759280758262	12223.560795953495	2249.4475928075826	-237.44759280758262	0.07585748957205633	7.4531781722638275	4.173827965351147	2.187514322326475	4.709118511737696	-1.657596874016146	-0.9961995710784051	-0.16000884878593882	5.9978199409734545	8.244538816501787	8.006881764772665	8.787896548221763	7.658157703150241	12.078611853313799	15.49721405548764	15.264184787242966	14.001461590606304	11.58353895250222	8.697160630485158	7.88527771012406	-0.5394378431664418	-6.08616882536171	-2.6380977993523147	-1.00093221887675	-1.7358777213925622	5.973902892449514	4.4902002746889655	5.52157164529065	2.1827119453009276	6.621356090122172	12.832063496168661	8.08443562909947	5.890161966374136	6.6329058907115055	16.700810347969583	17.13496948682595	10.180781665246569	10.113989599507088	10.15984340125125	2.1421082691236353	1.9259934350603514	-2.595249301709374	-2.6774664291663623	-8.048037441074168	-6.037238211674228	-7.618622903724472	-7.255708798540689	-7.205622050325497	-3.528207521740604	-6.881836122535367	-10.466329136997025	2300.0	3.0293598700940896	0.3358857715346422	0.25367396227231287	0.17247318004640919	0.2379670861466356	0.3707032600387319	0.004057467380162007	0.010721637693375557	0.007258376671184284	0.0019243386633830879	2.083859015154372	0.01497689753273936	0.007258376671184292	0.7726951202431406	0.2886041925648443	0.29612408616483277	0.11123363220615975	0.3972104084395411	0.9165915855289417	0.35523794757422705	1.7814165911610158	0.08371463404240384	0.4806333955623261	0.1434083547983221	1.8756095042487517	1.4433448306428693	1.4122968128296218	2.354738206704142	0.17577823532445858	2.8761662136031014	2.4835498915913536	0.0667464485824184	3.5028577400932415	0.2855423489972464	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	13.0	838.6336262189444	1677.5065868170902	2249.3919428975605	1139.2773615084545	499.20321774176097	-128729.7850293863	-11269.5350994549	0.0	-724.4685097716798	-6403.630965525718
1250000	-144423.20501428316	-17852.18064876543	-126571.02436551772	2247.2539299125924	-235.2539299125924	12264.997508870285	2247.2539299125924	-235.2539299125924	0.18214959260166505	7.4858663564666905	4.085006734877986	3.9187714663574575	8.258102121153104	10.265722335609418	10.383412257147091	8.683442955436124	7.059537109780308	6.957867124916675	5.643246883311873	8.31641536246884	8.03577568849019	7.595532426521181	9.184749285926896	10.249369540813836	14.205663389795243	9.178257679317852	6.340553100967717	3.7188985147459133	2.7185513799672316	-1.3650587119038748	-0.8438344944865612	0.5311750032243826	4.891999782718175	4.700693615618635	3.8710621913289844	5.619581325705034	2.3187318587202697	3.650074748790035	0.22331035155076284	-2.1989915876286883	4.003367089034017	5.522593862023079	8.557189628309315	6.671276007879256	7.184416354940363	9.531182441188074	4.820667186433151	0.9781966008081399	-0.9136168256520497	0.28364758065051976	-2.0985477650556956	-3.4862447204498492	-2.0619322278357024	-5.557738388742227	-4.624310566966315	-7.946518810292184	-10.404433381998588	-10.74692297997965	-8.00825569395077	2300.0	2.9236520593873982	0.33105552057336135	0.25077881795981644	0.1773217357322456	0.24084392573457702	0.3592035417269255	0.003862462182831366	0.009874272040023445	0.0073666192242185105	0.001891251216096708	2.0575557307911074	-0.007334108003658427	0.007366619224218497	1.9169906907592964	0.16103581636864595	0.2876048972662825	0.9695545526651638	1.256618722978102	0.7150701113495322	0.28024901838548816	0.6804440923454592	0.652991390384177	0.24379939808950826	0.38992478693543575	0.7427481718555085	0.12094365745152276	0.8897090924204513	1.315527568854203	0.2127073172616402	0.9612438142977716	1.5577333682479932	0.5481350328900929	2.2815621318238	0.05211092224133811	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	12.0	865.1295893494791	1635.4887464566746	2247.2538913189865	1219.707499857643	442.81171413872073	-125893.11629675585	-11269.5350994549	0.0	-677.9080687618721	-6406.305061037749
1500000	-143072.78929613903	-17874.492308187255	-125198.29698795178	2249.68088358095	-237.6808835809502	12211.471335890026	2249.68088358095	-237.6808835809502	0.013212359317182228	7.445229359575763	3.812981580194619	5.438256916532434	-6.4256540464595036	7.4085249268232705	11.449491448458655	-2.118709987946748	0.9717579185203968	1.3604524940912612	11.653453518926067	21.499662711416683	15.626039246550906	18.919078829287894	19.51734642106247	21.335780128448686	23.596267382880665	20.659833415435617	22.364337777782662	20.788653296067203	2.446881075153086	-4.934342257514375	-10.055696271912844	7.0363481435038375	7.158147479646199	2.7145484475745194	6.193068004748031	3.88981520508019	16.932287834230753	12.215245356725392	17.479172648460587	21.04101041657526	13.902525209743208	14.645287029428584	10.886262231827745	8.181480149748754	3.2724327144924694	5.513380441035824	5.806365129100024	3.8897726821948004	-5.074355112977536	-13.912501748456284	-13.572000413040655	-6.342818677811822	-8.813361032521	-17.75447065555402	-19.041913185202528	-0.1778175731219438	-3.5630141087470006	7.083948728540379	0.6737138433469037	2300.0	2.9660373796896224	0.3318416804995387	0.2522812610212097	0.17203141951617065	0.24384563896308156	0.3647929864404469	0.004013196013080936	0.01133855354718233	0.005917494244380716	0.0018040856235286707	2.333213777088785	0.005049024090264042	0.00591749424438072	0.15507631097127345	1.1296272218131527	1.2560009620007986	1.5142779058986398	0.16041783976590657	1.0783943668905518	0.5119231775408789	1.0959439668696693	0.1480183857240521	0.3270049169879894	1.2547583545212062	1.4692611597673733	1.211617890204725	0.30112863473288	1.829297742423548	1.0294731866312163	0.5190181833989364	2.371100686183197	0.9911952870098876	3.155539696174983	0.1131386770508596	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	13.0	857.4184776591168	1677.9891537687108	2249.637970646181	1215.8647085922555	411.00928942622903	-124534.25604499392	-11269.5350994549	0.0	-664.0409429578561	-6439.629433689585
1750000	-141691.11660326706	-17827.991857580648	-123863.12474568641	2254.896222211064	-242.896222211064	12518.56584431757	2254.896222211064	-242.896222211064	0.09885010256063576	7.411866905031048	3.986312254390426	6.622455863578314	11.385041260882637	11.920142697825325	10.825668019525834	12.754871088123993	11.39054065943272	8.996806644391533	8.767530889804846	10.822722516917095	9.67163524024037	10.015783515405097	10.589068577138505	9.919021292022924	10.500917347054266	9.581155868720655	7.530629009043612	5.80376746763753	2.4921482704835007	1.2255427325460098	2.0243934752346973	3.366776319620592	4.501058479407319	12.288146510996505	10.28168137863488	7.812756291637095	3.302624462130765	8.346155025612404	10.069132056145964	13.035388601524566	13.27791375722282	5.648562316345588	5.6039375962039815	7.981575206190799	7.763190726903644	5.398927715383026	5.575636768001705	7.55345712845424	1.6390492047183598	-0.1860113769823825	1.4159353847661478	-2.616459285598673	1.710220397291201	4.125929438591835	4.761872815192784	3.4029384333397936	-0.6363811847416738	-3.4778091209299027	-0.9802036362491973	2300.0	2.9075134350830862	0.3316817466812196	0.25258811773061585	0.1736467319320064	0.24208340365615932	0.36439598187561234	0.0037767575945788666	0.010874451943843268	0.00641453167911282	0.0017271636079732075	2.310224382502752	0.00806925539873351	0.006414531679112824	3.8727971746891585	0.26430213455226825	0.3458774275291762	0.29442396546111255	2.105983095573553	0.5986434978144708	0.23462253217847748	1.1219808724795652	0.5332464260967108	0.7125887119237742	0.4926381886116029	0.8591860554718178	0.2941988355336509	0.9401508457183553	1.6000455336698378	0.2602746547951015	1.150108477753807	0.7777300555170773	0.46986521540681336	2.833448318623912	0.29455969018694106	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	12.0	873.6040625097518	1609.4839108586375	2254.8951596908764	1142.3262790438685	447.2328138056705	-123218.65668567194	-11269.5350994549	0.0	-644.4680600144678	-6389.438614910454
2000000	-140550.8459723927	-17770.963878033876	-122779.88209435884	2248.90585599783	-236.9058559978298	12141.649898577445	2248.90585599783	-236.9058559978298	0.065392183297413	7.412186941486029	3.4843805588088226	-2.466305324288918	-2.8736694854835236	3.4394955146471355	3.274910238359857	8.797862272137197	8.055976399173177	6.666749644073862	5.104695390176815	5.649153156645475	9.381763351366242	3.7743183799307523	7.822563271195672	10.104255166944393	9.799546391100987	9.65975212186937	9.486735515571688	9.10935876340799	2.3807934743076933	-0.1465551061274012	4.8716763746914955	-0.07354742663770131	15.71999957786779	11.925293801071332	6.294917544044662	3.4642739934021414	8.897157764465423	16.575659299059566	20.192011852360746	12.059752973690305	16.822936343071127	17.441513939645812	15.250332478381637	13.928974208228713	9.477761070308304	8.089806549583136	4.820682761014761	6.672672776047489	2.510992889929011	-0.3217659555072529	-2.33080158583734	-5.199409734256917	-10.019918357956662	-17.52623192182668	-21.228192096301143	-18.24359953238854	-18.016264612891433	-15.886664689995115	-10.523694849964196	2300.0	3.0843491717923057	0.3384167496219597	0.2544402310671886	0.17160774635760073	0.23553527295325238	0.3539797227115936	0.0038075835149999956	0.010977211733401056	0.005952074127607854	0.0017460702293823393	2.321428425224482	0.04810111239634439	0.0059520741276078565	0.4499068342177015	1.0609587582418334	0.6151935203875922	1.7157534943159725	0.3655712626553802	0.6791121757619423	0.8536269371394312	1.9942517618832767	0.007626287159923507	0.8095384069732429	2.3361744256565227	0.45869311588111894	0.03404776134157242	0.6772200757982534	2.464054042452448	1.465121136981299	0.05323881034438171	1.500475668715794	0.18242816600526107	2.4892843726965177	0.3338690736358521	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	12.0	844.2934472378737	1678.799146119278	2248.905855947596	1158.4425243094333	480.0673623516587	-122166.67291153946	-11269.5350994549	0.0	-613.2091828193846	-6341.489052411405
2250000	-139585.34574477063	-17764.52827850378	-121820.81746626686	2248.9058559844907	-236.9058559844907	12497.940669566415	2248.9058559844907	-236.9058559844907	0.06085468193270756	7.563146976051779	3.5006699587730017	5.2605802846359895	1.6881735822918735	3.7305805116440194	10.661309964591151	5.755882662029484	7.233182287162494	14.254874695516566	17.74755362870623	17.960974085821796	18.915943959269764	16.629213796434716	10.588689380625809	13.54809558892819	10.648895004114074	12.41680697615617	6.637794000094684	3.8633829080864377	2.709606440265975	3.111774954686836	4.70988957919721	5.62444087840575	2.731498294996926	7.316901733469881	6.343731444669809	3.5528748303712656	0.7555630439183105	-0.2461798136940053	-1.1589802441285357	-0.16131865884455576	-4.244645767176722	0.16264307913285744	3.8756717129577236	0.6876285398336	4.419285521317541	8.323788117677239	4.583972017070831	5.969442023334657	5.8251571688445205	3.449120059535889	0.5563676407617182	-2.3054927157892124	-2.7993847304059623	-4.507588083711552	-5.8751503281256285	-7.33669586406229	-14.272948161329175	-13.24539668542372	-18.15528027832047	2300.0	2.9324270128564383	0.33253291342712343	0.2546245452040314	0.1738230223073487	0.23901951906149835	0.34503616788947844	0.0036987668696011823	0.01072124691850795	0.005535198734971245	0.0017093653146384793	2.3210234676428954	0.01719302857020138	0.005535198734971236	1.6982611895957818	1.1231290806852108	0.3783925843476078	0.16343014584924373	0.3184464072214546	0.6063796434020043	0.7048593718207957	1.2656031678597874	0.24591709774372492	0.16059356910627828	0.11666304589948376	1.2342758476135756	0.6030082793269663	0.08366572258661295	1.8381847724337421	0.8681792460166627	0.3730749836257721	1.96499428679121	1.338641707812087	2.2430994878295216	0.769534097188007	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	12.0	861.6869277613325	1690.7608582427952	2248.905855947596	1210.9043369058768	367.5508364567876	-121224.39153862356	-11269.5350994549	0.0	-596.4259276433045	-6337.947409781308
