# BEAST v1.10.5 Prerelease #23570d1
# Generated Thu Nov 14 12:02:47 CET 2019 [seed=121212]
# -beagle_gpu -overwrite -seed 121212 -save_every 100000 -save_state checkpoint.state HBV-D_ancientDNA_HMCskygrid_geo.xml
state	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.MiddleEast	location.rates.Africa.Oceania	location.rates.Africa.Russia	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.MiddleEast	location.rates.Americas.Oceania	location.rates.Americas.Russia	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.MiddleEast	location.rates.EastSouthAsia.Oceania	location.rates.EastSouthAsia.Russia	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.MiddleEast	location.rates.Europe.Oceania	location.rates.Europe.Russia	location.rates.Europe.WestCentralAsia	location.rates.MiddleEast.Oceania	location.rates.MiddleEast.Russia	location.rates.MiddleEast.WestCentralAsia	location.rates.Oceania.Russia	location.rates.Oceania.WestCentralAsia	location.rates.Russia.WestCentralAsia	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.MiddleEast	location.indicators.Africa.Oceania	location.indicators.Africa.Russia	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.MiddleEast	location.indicators.Americas.Oceania	location.indicators.Americas.Russia	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.MiddleEast	location.indicators.EastSouthAsia.Oceania	location.indicators.EastSouthAsia.Russia	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.MiddleEast	location.indicators.Europe.Oceania	location.indicators.Europe.Russia	location.indicators.Europe.WestCentralAsia	location.indicators.MiddleEast.Oceania	location.indicators.MiddleEast.Russia	location.indicators.MiddleEast.WestCentralAsia	location.indicators.Oceania.Russia	location.indicators.Oceania.WestCentralAsia	location.indicators.Russia.WestCentralAsia	location.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	28.0
250000	0.18073965504977194	0.12895693069439348	0.22140052037376506	1.9932501078040537	0.26371666487593043	0.32460323382526396	1.1697525381102305	0.6712460993672159	1.6535215261999072	2.4049874279099663	1.1255884412439712	0.6329376356069722	0.1205568836071049	1.1822680474020457	0.2983400085794366	0.005926440004651624	0.7899232795585264	1.9304611795373705	0.13847881527861042	0.6802719130952583	0.3352066176912054	1.0316557779308435	0.5319524657364179	1.7017599514081219	3.0169171256978147	1.6488991887780824	0.3052754734521467	1.712370921834804	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	12.0
500000	0.2469620616765058	0.8896345334404573	0.30353975063211225	0.2608886045284307	0.5606589387025749	0.8224129205768386	0.5247745008244612	0.4554564230708929	0.4227358817604838	3.6748803996255086	0.3728686433241282	0.012041007095303001	0.06447853413142766	0.8246215726103769	0.41190114747402207	1.2053566240207836	0.06493494811042601	1.2768296261493721	0.9656468060620048	0.28913038388747897	0.10262039587408991	0.8136678668229181	0.8410166014864586	0.4293604244684755	2.157676821593417	0.42960133968356673	0.6373789888059186	0.8615490266684204	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	12.0
750000	0.8619312360537125	4.413006682949	0.35817550110176294	1.2582262590639899	1.757066821427613	1.6581317294813456	1.285746563268878	0.34039567539785637	1.419866975183568	0.32380411682384175	1.1889073542515538	0.19950882800180536	1.5127987056390568	1.4318598314233064	1.0472969538143064	0.31438996116502155	0.6244665365803297	2.290607674963137	1.593698470306519	0.5615912597769146	0.41937917054584767	1.383925364561111	0.35468185647910744	0.4257367349641563	3.523153600718615	0.5149122266073248	0.8001793227740936	0.07625143681348015	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	11.0
1000000	0.6854696724488529	1.0612107402476527	0.9234492715395283	1.468320684407744	1.7203068313246983	0.3041002759628985	0.9935024372097493	0.6700152803264323	1.422864639379808	0.9995366179122521	0.33618171649203377	1.2289876679174754	1.6200724778154314	1.6531570549782384	0.4853150717035838	1.3202777231080909	2.196662950009936	1.2984717530620835	0.15578544514504788	0.3993570211282615	0.6762729052748249	1.5613125013408982	1.5448792523773847	0.3454999924491627	2.696922450726128	2.0783556940939674	0.3139823169221564	0.3087432097580365	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	11.0
1250000	3.3887622074029404	0.5752031206035069	0.5407351438029325	4.227422010331174	1.521651063363041	0.9579077981037724	0.48396401156795865	0.35836541534445887	0.9395196320821283	0.2427755206287533	0.12127209605630487	0.6588058518487565	0.11580303245193421	0.6580438732920151	0.08688344044551274	0.8358087211904608	1.1060282110761726	0.8741674691401277	1.5356943710785194	0.5311971886249934	0.7609581552241198	1.52662154114159	1.385639781587563	0.1847125439060233	2.678765181531794	0.31826679264179564	0.21662915029295896	1.4280927633325056	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	12.0
1500000	0.04151113607773541	1.304153507127172	0.4518627188552048	0.25909954755362724	0.4882372533084456	0.0357919328521585	0.26899687425375973	0.6240024142454967	0.6224375766606728	0.4004929320317932	0.5369265591369162	1.0702076580112194	0.9725314443849151	1.4026873738206398	0.1606019651753051	1.890434542057613	0.08207224887811797	1.1002786759609264	0.6953444044062032	0.31669569687114896	0.545830795690126	0.9087132563692291	1.713623801185766	0.05640155669633986	2.244493108361265	3.194932039114198	0.2517077587981534	0.8291715599520781	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	13.0
1750000	1.723177809890633	0.7680114534030106	0.33734393088341835	0.42825508746106206	3.7958991632046097	0.514985271450193	0.6307115798888815	0.2775440320924342	0.7309029052616762	0.954208740213373	0.15861385706744033	4.011408937050963	0.48615411912180917	0.7149825957983589	0.6655606334348609	0.2936900061245252	0.567331282594296	1.2555598948742763	0.25677230337500967	0.3575263798480722	0.8984321314468002	0.7451406941187269	0.8276530652290579	0.05828606752372505	2.1292554036342093	1.852570651018009E-4	1.9519168578491872	0.08832149106322953	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	13.0
2000000	1.5108951103457668	4.439200147250696	1.02183739488762	0.06034033448101133	2.5778829526587943	0.8985735320879393	1.4136226111940937	0.6735317519861499	2.094940118849866	0.10573218336723125	0.744021953564381	0.7181750097702723	2.213537146686188	3.664989544820469	0.4287181258369538	0.11559457476682838	0.032328456325520366	2.022003714459104	0.9227428355783138	0.9817012906705133	0.741018754857741	1.6348130475207594	1.3013807014008556	0.8142067072500425	3.0681964516410845	0.025139243138001886	0.889288480139457	1.603800757020096	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	13.0
2250000	1.002101621898792	1.0469639657252185	0.22015108734704902	0.9784722090155344	3.3848207955445275	0.26654014847684687	0.8421400539307765	1.0128829350804553	1.3596171710985818	0.010602471489428151	0.42704977354655127	0.11320311697874202	0.39621451464504426	1.0701391084261676	0.19765920052631394	0.46700180873106983	0.2284358419094453	0.9174201446528553	0.626063322066288	0.4439233225430222	0.6819924827900992	0.8299021979917528	1.7501408539858399	0.07633667842410757	3.1369131887197077	0.2607010351181759	3.0926795898441553	0.22314078620341582	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	11.0
