# BEAST v1.10.5 Prerelease #23570d1
# Generated Thu Nov 14 12:02:47 CET 2019 [seed=121212]
# -beagle_gpu -overwrite -seed 121212 -save_every 100000 -save_state checkpoint.state HBV-D_ancientDNA_HMCskygrid_geo.xml
# keywords: skygrid discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.logPopSize15	skygrid.logPopSize16	skygrid.logPopSize17	skygrid.logPopSize18	skygrid.logPopSize19	skygrid.logPopSize20	skygrid.logPopSize21	skygrid.logPopSize22	skygrid.logPopSize23	skygrid.logPopSize24	skygrid.logPopSize25	skygrid.logPopSize26	skygrid.logPopSize27	skygrid.logPopSize28	skygrid.logPopSize29	skygrid.logPopSize30	skygrid.logPopSize31	skygrid.logPopSize32	skygrid.logPopSize33	skygrid.logPopSize34	skygrid.logPopSize35	skygrid.logPopSize36	skygrid.logPopSize37	skygrid.logPopSize38	skygrid.logPopSize39	skygrid.logPopSize40	skygrid.logPopSize41	skygrid.logPopSize42	skygrid.logPopSize43	skygrid.logPopSize44	skygrid.logPopSize45	skygrid.logPopSize46	skygrid.logPopSize47	skygrid.logPopSize48	skygrid.logPopSize49	skygrid.logPopSize50	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	default.ucld.mean	default.ucld.stdev	location.clock.rate	default.meanRate	default.coefficientOfVariation	default.covariance	location.meanRate	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.MiddleEast	location.rates.Africa.Oceania	location.rates.Africa.Russia	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.MiddleEast	location.rates.Americas.Oceania	location.rates.Americas.Russia	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.MiddleEast	location.rates.EastSouthAsia.Oceania	location.rates.EastSouthAsia.Russia	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.MiddleEast	location.rates.Europe.Oceania	location.rates.Europe.Russia	location.rates.Europe.WestCentralAsia	location.rates.MiddleEast.Oceania	location.rates.MiddleEast.Russia	location.rates.MiddleEast.WestCentralAsia	location.rates.Oceania.Russia	location.rates.Oceania.WestCentralAsia	location.rates.Russia.WestCentralAsia	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.MiddleEast	location.indicators.Africa.Oceania	location.indicators.Africa.Russia	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.MiddleEast	location.indicators.Americas.Oceania	location.indicators.Americas.Russia	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.MiddleEast	location.indicators.EastSouthAsia.Oceania	location.indicators.EastSouthAsia.Russia	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.MiddleEast	location.indicators.Europe.Oceania	location.indicators.Europe.Russia	location.indicators.Europe.WestCentralAsia	location.indicators.MiddleEast.Oceania	location.indicators.MiddleEast.Russia	location.indicators.MiddleEast.WestCentralAsia	location.indicators.Oceania.Russia	location.indicators.Oceania.WestCentralAsia	location.indicators.Russia.WestCentralAsia	location.nonZeroRates	default.treeLikelihood	default.branchRates	location.branchRates	location.treeLikelihood	skygrid
0	-480460.8377098177	-50186.05901358894	-430274.77869622875	2343.214034183023	-331.21403418302316	5361.336624637553	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2300.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	0.3333333333333333	1.0	1.0322745356393743	0.3402553706230929	0.006532290093462598	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	28.0	-428758.7757175512	-11269.5350994549	0.0	-1516.0029786775992	-28114.627100926908
250000	-170696.3405230562	-17921.849041389225	-152774.49148166698	2200.393717716231	-188.3937177162311	11660.792168206626	0.326235343017729	7.454297765683008	4.432840069945085	3.7575359211822827	5.263614359347373	7.185554329840482	7.466972439251966	8.002365937090714	5.676731874934951	5.706710776921077	5.623115053767891	3.9948639359472744	3.4560598606698987	3.1708297016090805	4.069838814869594	4.508613264954485	4.231151907575536	4.660015152225745	3.5750204178893528	1.0081949547288067	-1.1844838492014007	-0.025585539420025685	3.416978572002445	4.524792782042469	2.4033172410011376	1.4539106517224103	0.5282974126383845	3.4776272687977388	5.193279153551655	5.365416926713099	5.801198154785066	7.866433372200444	5.331811452544564	7.932215048640639	5.46767395705079	6.736247508794927	7.761653666426481	6.881861893011116	4.202952654873478	3.7369930469732355	3.9371045261364728	4.74111414920815	2.187270360649861	1.7795198883641374	1.4246207153760797	0.08748111248163651	-1.0395393926663306	1.388101098001857	1.805408731222751	-1.2942523675681374	-2.4069778987865216	2300.0	3.1969568937862767	0.3278100599377007	0.25353618860342525	0.17427854896290765	0.2443752024959667	0.3784614078771836	0.004580422214748073	0.008862380147982803	0.011520409481214838	0.0027276880651810336	1.7130712095119476	0.03608028126810791	0.01152040948121484	0.18073965504977194	0.12895693069439348	0.22140052037376506	1.9932501078040537	0.26371666487593043	0.32460323382526396	1.1697525381102305	0.6712460993672159	1.6535215261999072	2.4049874279099663	1.1255884412439712	0.6329376356069722	0.1205568836071049	1.1822680474020457	0.2983400085794366	0.005926440004651624	0.7899232795585264	1.9304611795373705	0.13847881527861042	0.6802719130952583	0.3352066176912054	1.0316557779308435	0.5319524657364179	1.7017599514081219	3.0169171256978147	1.6488991887780824	0.3052754734521467	1.712370921834804	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	12.0	-151759.819607438	-11269.5350994549	0.0	-1014.6718742289679	-6438.887290475789
500000	-158895.16610319944	-17885.357333055414	-141009.80877014404	2200.000226611028	-188.0002266110282	11836.140824084461	0.2691985151748849	7.529578493004873	4.304600820234846	3.442999632389783	6.130039388039337	8.171659071014448	5.606449139050882	7.34026276576171	3.2636830185710193	1.0533651736149174	4.147299784810429	2.667305551186162	4.649793222711966	1.8382945730538243	-1.2468649446949456	0.9367389187131876	-1.0120212988116344	2.2784197897961134	2.07433574836613	1.2822556090912458	0.7600400607203229	0.9826573220013567	2.0767476393190067	4.0825085641312695	4.8183680790916945	2.3501168821312595	3.8678205211423005	3.576105144408963	3.7087978795089014	5.115370107447691	3.93057841846233	8.391950848923006	8.63328276012942	8.998532161381585	9.092874128785514	8.712881773002634	5.624404722300578	5.213131409554977	5.090432030159676	4.73253433237466	4.284997855031414	-0.09992880900897957	-2.3219607741406425	-5.531165932356023	-2.8743833082066748	-8.991582029351001	-7.983519508390756	-8.526838586942215	-12.990125248775097	-9.79425050720634	-13.457841032707162	2300.0	3.121257700222217	0.3295543768405168	0.2557878598317575	0.17270340155152	0.24195436177620527	0.37819565806957617	0.0035720303661094526	0.006795460378865258	0.00844526384279345	0.002222167002200035	1.6185861479883454	0.04903297529226386	0.008445263842793434	0.2469620616765058	0.8896345334404573	0.30353975063211225	0.2608886045284307	0.5606589387025749	0.8224129205768386	0.5247745008244612	0.4554564230708929	0.4227358817604838	3.6748803996255086	0.3728686433241282	0.012041007095303001	0.06447853413142766	0.8246215726103769	0.41190114747402207	1.2053566240207836	0.06493494811042601	1.2768296261493721	0.9656468060620048	0.28913038388747897	0.10262039587408991	0.8136678668229181	0.8410166014864586	0.4293604244684755	2.157676821593417	0.42960133968356673	0.6373789888059186	0.8615490266684204	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	12.0	-140186.6010356492	-11269.5350994549	0.0	-823.2077344948564	-6454.703533281167
750000	-151408.4520466889	-17899.619161479695	-133508.8328852092	2207.8451551457983	-195.84515514579834	12212.510004922351	0.46820648223464845	7.589813914278436	4.7453727859938	3.677827042509178	2.2951369388698	2.001518598460458	1.5934172873005221	4.798650265098064	5.208898852269785	4.276868987644216	4.896339442580325	2.289065162176135	2.6403279033371607	3.298314795775532	2.9657090941203923	2.1577178230435967	1.7005565417636226	3.2870191422143242	3.9384995772046096	3.5268240069816517	2.1693552473294186	-0.4176964888108098	-1.5545436064337894	-0.5411046444808717	-0.31434179055782796	0.14515764941250936	1.2656790338900556	2.636648831729055	-0.6953782714264428	1.4674855910438955	0.7040949354044015	0.47651606513344597	1.161827732829657	3.228293581419482	2.7612965565335297	4.6081111200206335	6.0733398779257115	4.791918893655933	1.9984107592217042	0.00885632853433014	1.0022965294043797	-0.34962298294325933	-0.8640813524188027	-0.5786079590699645	2.475996220380616	1.4449160043678624	-0.02471854510907932	1.834698220190497	0.8916493472667123	-1.5086757667904933	-2.295106791700768	2300.0	3.116834805783813	0.32993700028077994	0.25510323888998343	0.17449226273941582	0.24046749808982007	0.3703806784113823	0.002818488584555634	0.005470808092150204	0.007820239697210801	0.0018537667678050894	1.5802031501593072	0.027951203945635803	0.007820239697210811	0.8619312360537125	4.413006682949	0.35817550110176294	1.2582262590639899	1.757066821427613	1.6581317294813456	1.285746563268878	0.34039567539785637	1.419866975183568	0.32380411682384175	1.1889073542515538	0.19950882800180536	1.5127987056390568	1.4318598314233064	1.0472969538143064	0.31438996116502155	0.6244665365803297	2.290607674963137	1.593698470306519	0.5615912597769146	0.41937917054584767	1.383925364561111	0.35468185647910744	0.4257367349641563	3.523153600718615	0.5149122266073248	0.8001793227740936	0.07625143681348015	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	11.0	-132759.41602692005	-11269.5350994549	0.0	-749.4168582891459	-6470.893307541683
1000000	-147238.67879567522	-17930.914550913774	-129307.76424476143	2202.8589262690634	-190.85892626906343	12813.981068024585	0.4670556973593495	7.728533347816723	4.386738486467083	3.4374132022969714	0.5240077807491909	0.4610013807492223	2.9073957015384106	4.448965047564171	4.419465845011629	4.334968442195292	3.788805037936091	1.7427666086474474	3.7888994859299396	2.9413890108827934	3.125232054652284	1.1291228243238436	0.2911568411133733	1.3734740656859987	1.8690548617640654	0.30169549750268687	1.489426044309737	2.8043996343472033	3.500898164040826	5.684983494671819	3.7726362350966327	1.1063974531516778	1.2653945083958063	2.4372841138579293	3.437227880931647	7.126620006524719	7.370501634519613	8.904516448649458	6.874489413976568	7.116597664154054	9.056982769316049	9.078021851894475	5.92374757398383	3.732001987666073	2.0638079167706973	0.9934786795776575	1.3989536842260937	-0.8048140828285213	-2.3859341140769854	-1.43035977366836	0.0698530719342381	2.7624322767171536	1.5290398368868785	-0.1048930932223078	0.9932591327290282	3.282136516627632	6.488004278782646	2300.0	3.0412042314844374	0.337515395883675	0.25082142929684453	0.17546928489004382	0.23619388992943635	0.36769900199235556	0.0027001499819918093	0.005257795934669711	0.006367936136376375	0.0017532286840305149	1.577806160762215	0.05082278430506757	0.006367936136376386	0.6854696724488529	1.0612107402476527	0.9234492715395283	1.468320684407744	1.7203068313246983	0.3041002759628985	0.9935024372097493	0.6700152803264323	1.422864639379808	0.9995366179122521	0.33618171649203377	1.2289876679174754	1.6200724778154314	1.6531570549782384	0.4853150717035838	1.3202777231080909	2.196662950009936	1.2984717530620835	0.15578544514504788	0.3993570211282615	0.6762729052748249	1.5613125013408982	1.5448792523773847	0.3454999924491627	2.696922450726128	2.0783556940939674	0.3139823169221564	0.3087432097580365	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	11.0	-128605.17595692033	-11269.5350994549	0.0	-702.588287841108	-6517.593898793802
1250000	-143463.0078456317	-17909.653385732046	-125553.35445989967	2209.1645795550958	-197.16457955509577	12951.00962088082	0.2874749003171149	7.6980578950369125	4.253432927386777	2.888058206923325	1.2811451428792338	2.688601339481504	3.7745398191014274	4.726558003027548	5.966948588028439	5.064861313916466	6.410442278804083	2.3752687137767308	0.747908108966483	-0.9716123186475292	-1.0001792764308104	-2.1021483735386792	-2.247297207364932	1.835572650089648	1.13197181248883	0.5622586435291038	2.3699844383330926	3.856408158660565	3.17098877002777	2.7001076573650917	1.668297427019621	1.7268657460252175	2.8006440175382603	6.906959684732403	5.077986939568505	7.039852328869174	5.330611325476569	4.041556815288895	3.813719883289201	7.57113698346817	9.268011805806914	8.570245218985022	6.5021853253803386	3.292144411165418	2.8863177364109633	1.0459375118485532	1.0709912432303574	2.327728190861466	2.5851346092907277	3.214751696053244	5.472505727625446	5.238549298307229	4.99165920863561	5.425077237274866	3.15081867843072	4.919055774256116	7.241170573395507	2300.0	3.0979137505918377	0.32915619482582903	0.25207119009603285	0.1754556949111781	0.2433169201669595	0.35683011190679076	0.002955165079845834	0.0059828363409357875	0.006092013590007788	0.001800510945373884	1.7085449894085778	-0.004595942693914632	0.006092013590007785	3.3887622074029404	0.5752031206035069	0.5407351438029325	4.227422010331174	1.521651063363041	0.9579077981037724	0.48396401156795865	0.35836541534445887	0.9395196320821283	0.2427755206287533	0.12127209605630487	0.6588058518487565	0.11580303245193421	0.6580438732920151	0.08688344044551274	0.8358087211904608	1.1060282110761726	0.8741674691401277	1.5356943710785194	0.5311971886249934	0.7609581552241198	1.52662154114159	1.385639781587563	0.1847125439060233	2.678765181531794	0.31826679264179564	0.21662915029295896	1.4280927633325056	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	12.0	-124874.91337877786	-11269.5350994549	0.0	-678.4410811218147	-6496.066605893928
1500000	-141457.4669599705	-17885.28760644151	-123572.179353529	2235.321233897534	-223.32123389753406	13218.526485797634	0.3129367010033388	7.7348344547215415	4.055876403476241	3.238624835366224	3.555597220716278	3.314774685695133	5.334984685189466	7.448715680421839	8.559479245423399	9.630832338529382	7.368909840823658	3.1209627635163915	4.213255310449865	3.6320806582841128	5.354053633189848	5.895614440929181	3.1311878176604995	0.08230571362335169	-0.5495478481684339	2.316985731385799	1.7577808942010231	2.072331530220126	0.645127497897544	-0.8495988811881343	-1.4348804755877398	0.10077166813248799	0.0687467282814172	0.3227051128466831	1.7873615513519274	4.541947865843298	6.455661904737146	8.023247136537014	11.504591169437646	12.687119877646683	12.17053608547782	12.105883406296606	8.35374869278569	5.195225442678968	5.598785450527818	7.004371368397098	9.451896814708922	6.496045136350912	5.332758914019522	4.842597367235859	7.38659049001239	5.009455535220516	5.439779819605008	6.330846529286349	3.6469967019637215	6.6611052743597385	7.260228485375308	2300.0	2.975738782138595	0.32423280686663697	0.25276129056058216	0.1806915757877262	0.24231432678505396	0.35728100887436837	0.0028757535340685108	0.005549298007106594	0.005679897228732159	0.0018112124290870827	1.6344031096536282	0.002731908325104159	0.005679897228732158	0.04151113607773541	1.304153507127172	0.4518627188552048	0.25909954755362724	0.4882372533084456	0.0357919328521585	0.26899687425375973	0.6240024142454967	0.6224375766606728	0.4004929320317932	0.5369265591369162	1.0702076580112194	0.9725314443849151	1.4026873738206398	0.1606019651753051	1.890434542057613	0.08207224887811797	1.1002786759609264	0.6953444044062032	0.31669569687114896	0.545830795690126	0.9087132563692291	1.713623801185766	0.05640155669633986	2.244493108361265	3.194932039114198	0.2517077587981534	0.8291715599520781	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	13.0	-122932.8679253625	-11269.5350994549	0.0	-639.3114281665024	-6479.437777799986
1750000	-140223.59367568314	-17904.76350832573	-122318.83016735742	2202.1076503467243	-190.1076503467243	13398.959770900196	0.3547532756719155	7.720188645671508	4.362901159649916	3.6209534038989606	5.411691140772528	4.848106627367997	3.827171907044842	2.461592505148471	3.293242217762004	1.9968103210930466	4.375518741545665	2.9844097506732403	3.5321080386406964	2.1991338536958653	2.8823086734165706	3.2825813801284816	3.681395480444392	4.615402667246677	2.4870966588925616	0.6472203980603001	1.2763040124108722	1.2314698419766095	2.649920114139243	3.4530528887723073	3.214958143462204	0.9924553388457328	-0.9171665216389054	-2.1957675326529476	-2.6035272363362854	-1.5948144097296337	-2.587548478088855	0.5194064357502453	4.132986235856738	2.732983496254678	4.551495773542327	3.5148794266029646	3.646000420187678	4.764014733217319	3.3726029849509476	4.086222176360294	1.7401097301908113	3.356109234956968	3.449900205594047	2.5890034460340754	3.790716779967058	4.575616797631409	2.4447593948526647	0.8229963322787781	2.5284662972957763	1.6573847876214354	-0.3690178086863887	2300.0	2.904318789887758	0.3318983113881532	0.25156126868846423	0.17533240944645748	0.24120801047692436	0.3623456549643017	0.0026923641863967787	0.00522279992203779	0.006052028104177703	0.0017582239582233919	1.6427369966659517	0.014478494974645047	0.0060520281041777	1.723177809890633	0.7680114534030106	0.33734393088341835	0.42825508746106206	3.7958991632046097	0.514985271450193	0.6307115798888815	0.2775440320924342	0.7309029052616762	0.954208740213373	0.15861385706744033	4.011408937050963	0.48615411912180917	0.7149825957983589	0.6655606334348609	0.2936900061245252	0.567331282594296	1.2555598948742763	0.25677230337500967	0.3575263798480722	0.8984321314468002	0.7451406941187269	0.8276530652290579	0.05828606752372505	2.1292554036342093	1.852570651018009E-4	1.9519168578491872	0.08832149106322953	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	13.0	-121711.47542727133	-11269.5350994549	0.0	-607.3547400860883	-6491.588223611974
2000000	-138959.01527621874	-17962.641688234915	-120996.37358798382	2204.1903397513315	-192.19033975133152	14096.339558518473	0.34979786609450436	7.85904827673364	4.488040080999263	4.4894252168152455	2.51099339138744	5.837220904016697	3.2467996734004574	3.2871353003688335	3.420991361829552	4.652597325766312	4.061253927015704	2.844268498199698	3.206860856357143	3.063151820119973	2.8224781422097647	3.250014646666731	2.896190858253625	1.8729166440308929	1.6665741196930335	0.4750242350267922	0.6647835634095107	0.8423824654074834	0.3777694432935003	1.147373243097226	0.11891603904416619	0.6411798910667285	1.9743983214898138	6.213364369022177	4.882560020941011	4.497648084357857	2.8674167120215763	3.429758598803458	3.13485695417485	4.736346996319478	2.8760204293070415	2.345771677094725	4.553036622889401	4.241985181218302	2.7937629780959172	1.6420923640810468	2.057299670048933	4.240053096723921	4.8701470273393666	5.071878027660465	3.419304802447533	5.662386796678642	3.5848882345377886	0.41389806718074906	-0.2649942426770195	-0.1586591285486073	4.121105508760136	2300.0	2.9419271205020037	0.33180093084011636	0.25089788239945443	0.17578092126867484	0.24152026549175332	0.35441872314971035	0.0024248468294238252	0.004836409295542286	0.0051705545015689495	0.0015969481040782423	1.6931349297013307	0.006440822383203469	0.005170554501568959	1.5108951103457668	4.439200147250696	1.02183739488762	0.06034033448101133	2.5778829526587943	0.8985735320879393	1.4136226111940937	0.6735317519861499	2.094940118849866	0.10573218336723125	0.744021953564381	0.7181750097702723	2.213537146686188	3.664989544820469	0.4287181258369538	0.11559457476682838	0.032328456325520366	2.022003714459104	0.9227428355783138	0.9817012906705133	0.741018754857741	1.6348130475207594	1.3013807014008556	0.8142067072500425	3.0681964516410845	0.025139243138001886	0.889288480139457	1.603800757020096	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	13.0	-120399.28343166658	-11269.5350994549	0.0	-597.090156317231	-6548.673803277007
2250000	-137704.9464515203	-17923.783597693146	-119781.16285382718	2201.698897396613	-189.69889739661312	14026.289234211768	0.3073944587940084	7.8073639752493555	4.397027788502701	4.247608865117216	1.2208566098433797	-0.06882281937363582	-0.048962149329395965	3.8502552083796835	3.6266309819603655	5.240443622699669	6.69327532627654	6.8358076975946975	6.711314065189959	3.499236099193864	2.503068273524665	1.5028178694942531	1.312581372818073	-0.8322724404754546	-0.8270785354642675	-1.1305975324560988	-1.4018951685114593	-1.886783134561838	-4.055245405030598	-4.341796882295246	-2.812313824613848	-0.6888849909403146	0.044646545991218076	0.9832477852853843	-0.2823497562049416	-0.6216804701465951	-0.8512252856961993	2.3067413644560757	2.921508531387302	4.508272634068029	7.72848209838579	6.514971708899271	5.51228890354917	6.510985086867601	3.4053446438795567	5.367693354368825	6.481790044110881	5.523844198095487	5.495049818789964	3.763309780379594	4.3120275570725894	2.5104639283117307	0.9895735105896516	3.654715895307041	5.654409153767337	4.676171214998952	2.2100724843279416	2300.0	3.0276378880787873	0.33373493512816704	0.25041851943292254	0.17355834537369103	0.2422882000652182	0.34103560856664866	0.0024797144194712902	0.005178368925316946	0.004887692426387297	0.0015895983159669683	1.7285076968763402	0.026946208188867928	0.0048876924263873	1.002101621898792	1.0469639657252185	0.22015108734704902	0.9784722090155344	3.3848207955445275	0.26654014847684687	0.8421400539307765	1.0128829350804553	1.3596171710985818	0.010602471489428151	0.42704977354655127	0.11320311697874202	0.39621451464504426	1.0701391084261676	0.19765920052631394	0.46700180873106983	0.2284358419094453	0.9174201446528553	0.626063322066288	0.4439233225430222	0.6819924827900992	0.8299021979917528	1.7501408539858399	0.07633667842410757	3.1369131887197077	0.2607010351181759	3.0926795898441553	0.22314078620341582	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	11.0	-119199.98042666362	-11269.5350994549	0.0	-581.1824271635561	-6529.471319114473
