# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Nov 18 14:45:58 CET 2019 [seed=666]
# -beagle_cpu -overwrite -seed 666 -save_every 100000 -save_state checkpoint.state HBV-D_ancientDNA_skyride_geo.xml
state	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.MiddleEast	location.rates.Africa.Oceania	location.rates.Africa.Russia	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.MiddleEast	location.rates.Americas.Oceania	location.rates.Americas.Russia	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.MiddleEast	location.rates.EastSouthAsia.Oceania	location.rates.EastSouthAsia.Russia	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.MiddleEast	location.rates.Europe.Oceania	location.rates.Europe.Russia	location.rates.Europe.WestCentralAsia	location.rates.MiddleEast.Oceania	location.rates.MiddleEast.Russia	location.rates.MiddleEast.WestCentralAsia	location.rates.Oceania.Russia	location.rates.Oceania.WestCentralAsia	location.rates.Russia.WestCentralAsia	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.MiddleEast	location.indicators.Africa.Oceania	location.indicators.Africa.Russia	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.MiddleEast	location.indicators.Americas.Oceania	location.indicators.Americas.Russia	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.MiddleEast	location.indicators.EastSouthAsia.Oceania	location.indicators.EastSouthAsia.Russia	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.MiddleEast	location.indicators.Europe.Oceania	location.indicators.Europe.Russia	location.indicators.Europe.WestCentralAsia	location.indicators.MiddleEast.Oceania	location.indicators.MiddleEast.Russia	location.indicators.MiddleEast.WestCentralAsia	location.indicators.Oceania.Russia	location.indicators.Oceania.WestCentralAsia	location.indicators.Russia.WestCentralAsia	location.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	28.0
250000	1.6178551088249615	0.12736033960477333	0.06173337152488697	0.9665407058844493	0.06956024397167249	2.109958309562199	0.9885275740180494	0.15844140583364238	1.303178964179754	1.5077631849117423	1.4411711156733937	0.12790364264905152	0.2688146066402832	0.643368354929103	1.0806703903262975	0.6864968428802004	0.7285845612598544	2.3800702709447696	1.3416356698617606	0.45534078570461056	0.17553205852952555	1.4200603546392931	5.13048964460176	2.8289797586576046	2.829526282708115	0.32628379998796175	0.36232334875643635	0.6523741561086122	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	13.0
500000	2.5058199247159147	0.7319445016055842	0.4319030012293497	0.7016573749611504	0.0025557527521430866	0.5784886634282703	0.4764242529397228	0.28034791893064037	0.6971912212319786	0.1850674766947485	0.4249778801843441	0.4933674298423725	0.45711720339171064	0.33584198932413817	0.0802861380380731	0.5570631284078782	0.9177138856288791	1.1431221302092802	1.288050741944053	0.8060650270681342	0.23072060763856697	0.9538808937710967	0.28710888632231923	0.4538955365903328	1.7512624830547063	1.863327858113942	0.4873345964465004	0.42335959393634676	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	11.0
750000	0.40128259786352355	0.45163174547134255	0.004017538385466261	0.3767903389118236	0.09082290775353283	1.3494379243100572	2.2096067877309977	0.5139081586396053	1.0126257682261384	0.00874349794692324	0.3473553483497886	0.5576961878310339	0.5327139965134745	1.8675211775075071	3.6826440346897598	0.4547791837441382	1.4926278687829173	3.069407002268779	0.5213202336174264	0.38067394850140474	0.8497086879349506	1.103877292350057	0.8439786469909962	1.341035001702654	3.868864302924134	1.6329658774293707	0.7604698514508846	0.6964626003813482	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	15.0
1000000	0.9377878212519296	2.2319593228815635	0.8272259650197981	0.2345123790989803	0.7350157856973976	0.5173276455907054	1.23498022880912	0.6480562925768844	0.9755481195195035	3.3472215578111784	1.5435271313225791	0.44230774562520025	1.346737582276248	1.6015876352456158	0.6782331618998024	0.2726323113869994	3.8935889940157544	2.31789074070884	0.07554192723855971	0.6646143379522542	0.737404323959995	1.9723829352909479	2.0081677789605896	0.5382543870904748	4.170282804718115	0.5816007907722187	0.07142121073825827	4.932895977631348	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	13.0
1250000	0.16088262748027404	0.09231210206973238	0.12943682366555198	5.289616214422806	0.1045932926365379	0.29697268483619654	1.8234042202699208	0.43353175402151967	1.846265059886931	0.654327750155163	0.03523630095474967	0.15613006803569843	0.31303661395724997	1.712926681882749	0.5026957095081173	2.6416286228529584	0.07852548669164638	2.6705282689716596	1.6858306111508385	0.3302146658830358	1.188084506488786	2.927970872290483	0.04763256956182887	1.4545528733270534	5.71465277231424	2.1705569037444388	0.6459300374837545	2.5736174669677307	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	13.0
1500000	0.38889569164234056	0.321432671648806	0.4238161767232716	1.6624992068454685	1.0179904095847538	0.5507816047678881	0.9703950836690326	0.17164038508952953	0.6981031219362809	0.6787536231290136	0.13798539227547243	2.596028842630079	1.6192231663423444	1.1615340437066877	0.2294764108013603	0.7340314497309816	0.6719709138359469	1.0407080899905556	1.2194670929222664	0.3504772685306062	0.41794979428680945	1.5629317137675507	0.41027306012634757	2.374553202392382	3.235420208657221	1.2617061093294195	0.5867676416885746	2.44393076819701	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	12.0
1750000	0.7973418494536254	0.4822524040505582	0.3512068994188826	0.00862102115376949	1.7141121875005934	1.2178143199642992	1.0823938483430873	0.25894378991166983	1.431843536863977	2.142802863086252	0.3056836108185424	0.12370387377927666	0.3395553109614192	0.8935761728517223	1.795379165377072	2.5255723270747064	1.2862511407754207	1.3432399330097515	1.1200897431727779	0.8362404710076883	0.8593545307859246	0.8354710012154549	0.2785877782549799	1.1961535766094333	2.7984192816172437	0.3815580914640633	0.11198715180806622	0.6152838863399824	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	13.0
2000000	0.7291677160542616	0.3501071520440123	0.5225246840885072	0.20210089132306205	0.2584435777170434	1.4733845306392528	1.088130634863297	0.3674469867937654	0.4529210129876808	0.21087014949372165	0.3280560213719371	0.8548658115649209	2.223935071476624	0.9705319858049701	0.1596136127218315	0.388828880335571	0.6055281987643805	2.668193324247216	0.4478888418237917	2.1533942548108	0.526119684477966	2.3007543249324534	0.5398600167884215	0.48323313350024805	3.3289042933357216	1.0242085429278747	0.3424470577463094	0.6775039621435872	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	15.0
2250000	1.0203306062263637	0.06127083748715624	0.4581407776566093	0.5071379823394776	0.07327566838636679	1.2551794187867984	1.1339832835485737	0.2597641072167512	0.8460714884848028	0.11704481642720344	0.32302904023286994	0.05950407830667595	1.4161621422342126	1.854803944876435	0.6741175233258465	0.1374600546276141	0.1738497596335849	2.4303516586704617	0.5211509013394778	0.3312592996383243	0.9443183548232869	0.9383901701392235	0.6063009392238976	3.005790205916922	2.803140522437988	0.2650302739189852	0.23824088575267927	2.6243610464308817	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	14.0
