# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Nov 20 10:30:24 CET 2019 [seed=777]
# -beagle_cpu -overwrite -seed 777 -save_every 100000 -save_state checkpoint.state HBV-D_ancientDNA_skyride_geo.xml
state	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.MiddleEast	location.rates.Africa.Oceania	location.rates.Africa.Russia	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.MiddleEast	location.rates.Americas.Oceania	location.rates.Americas.Russia	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.MiddleEast	location.rates.EastSouthAsia.Oceania	location.rates.EastSouthAsia.Russia	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.MiddleEast	location.rates.Europe.Oceania	location.rates.Europe.Russia	location.rates.Europe.WestCentralAsia	location.rates.MiddleEast.Oceania	location.rates.MiddleEast.Russia	location.rates.MiddleEast.WestCentralAsia	location.rates.Oceania.Russia	location.rates.Oceania.WestCentralAsia	location.rates.Russia.WestCentralAsia	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.MiddleEast	location.indicators.Africa.Oceania	location.indicators.Africa.Russia	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.MiddleEast	location.indicators.Americas.Oceania	location.indicators.Americas.Russia	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.MiddleEast	location.indicators.EastSouthAsia.Oceania	location.indicators.EastSouthAsia.Russia	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.MiddleEast	location.indicators.Europe.Oceania	location.indicators.Europe.Russia	location.indicators.Europe.WestCentralAsia	location.indicators.MiddleEast.Oceania	location.indicators.MiddleEast.Russia	location.indicators.MiddleEast.WestCentralAsia	location.indicators.Oceania.Russia	location.indicators.Oceania.WestCentralAsia	location.indicators.Russia.WestCentralAsia	location.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	28.0
250000	0.384292848773594	0.8742437390170241	1.3134789177497226	0.2813709216551906	0.2626903702129778	0.2004990064616562	1.2394038564709011	0.41603735607256975	1.23443802868535	0.5813169909196222	2.229095259365496	0.02767626432241895	0.4115186284175428	2.0777602091307936	1.081707023596726	0.637080623866241	0.2441642886188176	2.102854855927663	0.1449167976056105	0.6670438284573764	0.2641873593292988	1.883529292094532	1.8995845280402506	0.97352808048085	3.2371805202283883	1.3883783130580634	1.3576176340697903	0.07918114873444751	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	16.0
500000	0.8485982092571605	1.0017715598472996	0.5108131881831276	0.8614030759641983	1.5666985609622266	1.02361004506983	1.2696289920632755	0.632761007487824	1.0823538940026691	0.5289495411307582	3.043283355034565	0.297630695038063	1.2046397110000098	1.2022199760200274	1.7020162421456007	0.48316764607251317	0.3765670276894438	2.095637545518131	0.4074980722454492	0.565482779443183	0.6130753882713894	2.247495755491343	0.3728970214593222	0.892210782720817	2.2682677342803212	0.01582089221422804	3.7928605280000163	0.121116042499202	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	12.0
750000	0.36146165994739254	2.9256263502863087	0.08330757658058352	0.15443365207287263	1.986819617028034	1.0855008501533083	1.032050582688675	0.362741972794265	0.6937772748914605	0.15423659041522575	3.229687477675233	0.8196344926007423	1.3503835961602784	0.7914582745165888	0.536377963664309	0.3542295730329539	1.1512990423768277	1.0791978825389188	1.1952422057319114	0.23609828461243249	0.2333115704082682	0.8221844568442482	2.5612806004310373	0.322949460617473	1.9005529945038706	0.19471467927544853	2.0823090853746855	0.03917489149680162	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	13.0
1000000	0.27330426031611654	0.35495706033841207	0.5567277397083612	0.26314632787152265	0.02395803353931543	3.08883662493476	0.6725725165097914	2.8525231194506215	1.3834509201382694	0.06747903861834557	0.015126876298061687	0.031769822924624554	1.9079172231324064	1.6664088268735622	0.5012990220850343	0.6160407830397102	1.266746683762976	1.200027773978366	2.59437824285248	0.4533620686940458	0.6143458588567293	1.144832913750863	0.6481357400495517	1.994515986524855	1.8417958703769408	2.8665415969772314	0.06234984918339506	0.7778562418468512	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	11.0
1250000	0.32749563358733597	0.014049758776751768	0.9625902049627699	0.9037815449757184	0.6285704817388442	0.9155974353312695	1.0668433667898074	0.31297615694337844	1.4760070686989142	0.432380962028575	0.009278165205798584	0.0691095712715185	0.9280487477826916	1.6039326036964183	0.915842263312431	2.5034095176456397	0.10954905104874142	2.3725157903037974	0.2850061177588558	0.43462994035254415	1.4109748258535388	1.7596187385549038	2.060858274231466	1.3688238768367085	3.904295895112492	0.07441194545053631	1.020192639454852	0.6597319704898176	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	14.0
1500000	0.20641200086987008	2.3257738893697835	0.5811922592321054	0.42964444336173485	0.1066604283713005	0.17299949180167573	0.8267638683481252	0.10913597302929581	1.5350854636274187	0.3411191569697887	0.9434282281520738	0.2634712896373454	1.271459274512841	1.0996685553296053	1.380518940119478	0.26815844301578823	1.8592004142646552	1.7893056858101666	0.47619809639676036	0.5401006833825531	0.48463355745644565	1.683964921639991	0.24587486338642367	3.655482485687023	4.0245485827626855	0.12986174101831433	0.8772460602265626	1.3572311410657953	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	12.0
1750000	0.189944429643198	1.0312226334737886	0.2615292445903653	0.7584801261543505	0.2765666532651269	0.3897828513479794	1.9406398983674025	0.03360075060530698	1.3887431370705001	0.26240710157375197	0.47819833496901093	0.07043780511152181	1.9514038396799056	1.7245867572769493	1.6870187521564068	1.2007651019150505	0.24051565989592016	1.9573734205097177	0.2936134850310857	0.5743273471844644	0.7272625461513771	1.6057788664188908	0.7321598227907838	1.1253470184393097	4.110983605355937	2.137442447802214	0.25933831987847056	0.5771789111808205	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	16.0
2000000	0.7771363458955087	0.8351216748652446	0.7842013441258865	0.30093760514585993	0.735930436154221	1.322060654508086	1.1167631999427192	0.6322336302127849	2.0668372691861205	0.5677042714582838	3.571465461965988	0.8082414578671472	0.11829829792720636	1.2495542707449763	0.37677028483823083	2.8206812931402543	0.24992395770537318	1.2449703534013932	0.984537219787262	0.419232931630147	0.42579122898873323	0.8529420429531188	1.4771397248065175	0.23623156486812036	2.1706980633296054	2.312192056724135	1.3673279872272095	0.412704222317889	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	13.0
2250000	1.7427792671879259	1.7492613705766833	1.0162742489477636	1.0813808824674094	1.3593258680363913	0.5961372890556453	1.1070588522507483	0.23072058304352167	1.8381592434447973	0.27439402663741963	0.09823990191149366	0.5588709702797225	0.12152666207169886	1.6964235473655331	1.343899320013203	0.593821519743903	0.5170806011592214	2.608727577909377	0.354821872939337	0.41022760136114633	0.8307817386345799	1.6421067046948785	0.9970152827142447	1.3478123518802183	5.232677984359144	5.456789582740155	0.5483629708728005	0.4464084950566109	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	12.0
