# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Nov 06 17:32:56 CET 2019 [seed=666]
# -beagle_gpu -overwrite -seed 666 -save_every 100000 -save_state checkpoint.state HBV-D_ancientDNA_HMCskygrid_geo.xml
state	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.MiddleEast	location.rates.Africa.Oceania	location.rates.Africa.Russia	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.MiddleEast	location.rates.Americas.Oceania	location.rates.Americas.Russia	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.MiddleEast	location.rates.EastSouthAsia.Oceania	location.rates.EastSouthAsia.Russia	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.MiddleEast	location.rates.Europe.Oceania	location.rates.Europe.Russia	location.rates.Europe.WestCentralAsia	location.rates.MiddleEast.Oceania	location.rates.MiddleEast.Russia	location.rates.MiddleEast.WestCentralAsia	location.rates.Oceania.Russia	location.rates.Oceania.WestCentralAsia	location.rates.Russia.WestCentralAsia	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.MiddleEast	location.indicators.Africa.Oceania	location.indicators.Africa.Russia	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.MiddleEast	location.indicators.Americas.Oceania	location.indicators.Americas.Russia	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.MiddleEast	location.indicators.EastSouthAsia.Oceania	location.indicators.EastSouthAsia.Russia	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.MiddleEast	location.indicators.Europe.Oceania	location.indicators.Europe.Russia	location.indicators.Europe.WestCentralAsia	location.indicators.MiddleEast.Oceania	location.indicators.MiddleEast.Russia	location.indicators.MiddleEast.WestCentralAsia	location.indicators.Oceania.Russia	location.indicators.Oceania.WestCentralAsia	location.indicators.Russia.WestCentralAsia	location.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	28.0
250000	0.13106731165909147	0.5409458908381748	0.28334423711930007	0.9902917278852079	0.12613131820275175	1.0356700576837399	0.7004444458097052	0.38244845588587073	0.552489103488616	0.9162419415112568	0.06322015458723819	0.36835781466694384	0.39563776497490216	1.3173984629100723	1.0106950121641887	0.08708016051757397	0.2696501615368842	1.6234546183819476	0.3262870681832292	0.621756818458522	0.29289100224676795	0.6110879963241433	0.262672386397753	0.7941218309697564	1.8767621524621594	0.08958694559879045	0.41047313189462786	0.5711238987730828	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	16.0
500000	0.879510109103653	0.9116458705445155	0.7155089547832664	0.07210183911074829	0.7665087543804101	0.6158543394378437	2.0350540242616204	0.6503025289477099	1.4842212130720989	0.21228588668830473	1.3506542177991423	0.06786343803350506	0.18205454475149402	2.4801385234052353	0.8141209582782908	0.05972405217536884	0.7367898775260431	1.119076543496419	0.623460174704743	1.0851186029561504	0.48247311108809715	1.3018887331651996	0.033859084865534066	5.081433276251483	3.6474483944584732	0.21333861856553263	1.3262862660467183	0.6511583875743672	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	13.0
750000	0.3477314222814689	0.12283540545339833	0.9983565252956328	0.40949335953818283	0.0105416475154616	1.218003170070245	1.4454605228488564	0.26487673499897035	2.2701131915565402	0.8348708410778161	0.09749522645891741	0.02114074369550851	1.700162227791962	2.5140354873493123	1.5336342531224012	0.03074451112150089	0.3702215910330775	3.0566223685277953	0.6365887838477877	1.0799345041697201	0.6590890443369207	2.3133863286867586	3.4492571295313246	0.11978420305134244	7.545318647240684	0.7110533849555076	0.4324791621410989	0.08973085653662584	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	11.0
1000000	0.07799755663974942	1.6872553585561534	0.5104084815885239	0.892290104291679	0.11073223868241747	0.7504356491107199	0.781933371828262	1.1220416350762659	2.291971677314819	0.8208555879413493	2.2788427686096258	1.1923693833143614	0.7139991833073138	1.3682638027178675	1.0747933922312458	0.1933558113226549	1.3153222872321768	2.9489063124604566	1.6342957995803444	0.45214688322770746	0.8588675637123173	2.052711203713376	0.4184174078316427	0.39929890045432154	6.485718521250047	1.7089236796347977	0.0782316966851294	0.37326854280035937	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	9.0
1250000	0.15716463598409497	3.0306266599453644	1.000560815021388	1.3694786644700523	0.2582430846709798	1.4168287914036566	0.6813086405555702	0.18297257575594333	1.0288677524392793	0.32225061301436064	1.9682472460514222	0.5402193155047355	0.6433014867156863	0.910633134449322	1.1923727139908424	2.106401069858851	0.4158466041723	1.154829337361049	0.33674581806222736	0.22710698820812647	0.3974342311710809	0.349805428196612	1.3993169295617134	0.46637333455007535	2.346250055260383	0.6805158694900189	2.743073381758571	3.084324565195119	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	10.0
1500000	0.300958748424149	0.041730818960681704	0.5881720623724729	2.2995039205774916	2.7861814418863204	0.22979585139226852	1.542846249078864	0.2588835851967809	1.0675440178920628	1.4423700538271662	0.8379828582476347	3.0884054495526336	0.14311267898974453	1.6632550565236925	0.34524247945101055	1.4838199972325532	0.11632371202368662	1.7723332859635013	0.29073767415502355	0.6153703666416797	0.6552967274142307	1.2558354442757922	1.0039678794908007	4.3952730687969215	3.6960912133565365	0.4568743072903282	0.7322928104679745	0.27816012198129797	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	11.0
1750000	0.4011929508866093	0.08278163992086	0.5014578535540396	0.42078410536074967	0.2907968193601693	1.050001365142051	0.8915199475487442	0.24775183218309163	0.9945277589444371	3.9025205244770795	0.16085780126000565	0.33821687053798694	0.15233072452187194	2.1188436645143627	0.09101671890959885	0.001755612145129453	0.5347222524585916	0.7171109672465482	0.687856690404866	0.1957953559104149	0.5271709234979524	1.461469443508995	0.1755397259577937	2.6544403220731723	3.6159300955448397	0.3899512904160267	2.204431660161214	0.043831940289566926	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	13.0
2000000	0.2585725368436215	0.41281121306467566	1.6200153313165908	0.03865211986240197	2.969085751006239	0.083391886343062	0.8209991769536712	0.963263161953144	2.070651883227514	0.38816804534336075	0.1736525048596766	1.3421561513430107	0.40975245481222394	1.6673470265427113	0.9221217019393078	3.0742944036325075	3.3378183696471777	2.217775644520521	0.20087956601877335	0.6054186308378107	0.5005103044706033	0.9509335507230137	0.08341535263372749	1.8592980937133559	4.645397606567857	0.4536576399405004	3.7792236686338483	1.1267678170856954	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	12.0
2250000	0.29319648351124866	2.4428200098578574	0.3158359453852177	5.356869806621693	3.141244358118562	0.7765698661469	0.8846535975117726	0.1448611087877938	0.8951581499135958	2.1998335976489187	0.4611162977924148	0.4409584781190457	0.26129635218302805	2.472629236635487	1.1969738934135628	0.46452202878890375	0.18866479385057683	1.503489082056723	0.8237611463285347	0.7427766051378208	1.1195217732458471	1.4127158047534567	1.8268758743434854	0.14256736160158714	3.2279955594464402	1.082061727386946	0.6202885543357213	2.4769112878874235	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	11.0
