name	date
D/31a/Belgium/2005/Belgium/	2005
D/45a/Belgium/1984/Belgium/	1984
D/70z/Belgium/2001/Belgium/	2001
D/81a/Belgium/2002/Belgium/	2002
D/83a/Belgium/1987/Belgium/	1987
D/8z/Belgium/2006/Belgium/	2006
D/AB188241/Japan/2001/Japan/	2001
D/AB210819/Japan/1990/Japan/	1990
D/AB210820/Japan/2001/Japan/	2001
D/AB210822/Japan/2001/Japan/	2001
D/AB222709/Uzbekistan/2004/Uzbekistan/	2004
D/AB222710/Uzbekistan/2004/Uzbekistan/	2004
D/AB222711/Uzbekistan/2004/Uzbekistan/	2004
D/AB222712/Uzbekistan/2004/Uzbekistan/	2004
D/AB222713/Uzbekistan/2004/Uzbekistan/	2004
D/AB267090/Japan/2005/Japan/	2005
D/AB270537/Mongolia/2005/Mongolia/	2005
D/AB270538/Mongolia/2005/Mongolia/	2005
D/AB270539/Mongolia/2005/Mongolia/	2005
D/AB270540/Mongolia/2005/Mongolia/	2005
D/AB270541/Mongolia/2005/Mongolia/	2005
D/AB270542/Mongolia/2005/Mongolia/	2005
D/AB270543/Mongolia/2005/Mongolia/	2005
D/AB270544/Mongolia/2005/Mongolia/	2005
D/AB270545/Mongolia/2005/Mongolia/	2005
D/AB270546/Mongolia/2005/Mongolia/	2005
D/AB270547/Mongolia/2005/Mongolia/	2005
D/AB270548/Mongolia/2005/Mongolia/	2005
D/AB270549/Mongolia/2005/Mongolia/	2005
D/AB270550/Mongolia/2005/Mongolia/	2005
D/AB493845/Indonesia/2004/Indonesia/	2004
D/AB493846/Indonesia/2004/Indonesia/	2004
D/AB493848/Indonesia/2004/Indonesia/	2004
D/AB554016/Indonesia/2009/Indonesia/	2009
D/AB554023/Indonesia/2009/Indonesia/	2009
D/AB554024/Indonesia/2009/Indonesia/	2009
D/AB555496/Taiwan/2009/Taiwan/	2009
D/AB555497/Taiwan/2009/Taiwan/	2009
D/AB555500/Taiwan/2009/Taiwan/	2009
D/AB555501/Taiwan/2009/Taiwan/	2009
D/AF043593/Germany/1989/Germany/	1989
D/AF043594/Germany/1991/Germany/	1991
D/AJ131956/Germany/1986/Germany/	1986
D/AY341335/UK/2003/UK/	2003
D/AY741794/Iran/2003/Iran/	2003
D/AY741795/Iran/2003/Iran/	2003
D/AY741796/Iran/2003/Iran/	2003
D/AY741797/Iran/2003/Iran/	2003
D/AY741798/Iran/2003/Iran/	2003
D/EU414135/Belarus/2005/Belarus/	2005
D/EU414136/Belarus/2005/Belarus/	2005
D/EU414137/Belarus/2005/Belarus/	2005
D/EU414138/Belarus/2005/Belarus/	2005
D/EU414139/Belarus/2005/Belarus/	2005
D/EU414140/Belarus/2005/Belarus/	2005
D/EU414141/Belarus/2005/Belarus/	2005
D/EU414142/Belarus/2005/Belarus/	2005
D/EU414143/Belarus/2005/Belarus/	2005
D/EU921418/Indonesia/2007/Indonesia/	2007
D/EU921419/Indonesia/2007/Indonesia/	2007
