FROM	TO	BAYES_FACTOR	POSTERIOR PROBABILITY
Africa	Americas	18.346121226711137	0.8490566037735849
Africa	EastSouthAsia	0.058965562260364715	0.017758046614872364
Africa	Europe	2935.379396273747	1.0
Africa	location5	0.025537727782645372	0.00776914539400666
Americas	EastSouthAsia	8.084571310200632	0.7125416204217536
Americas	Europe	1466.0589318056102	0.9977802441731409
Americas	location5	0.12010246858555298	0.03551609322974473
EastSouthAsia	Europe	0.520501995049262	0.13762486126526083
EastSouthAsia	location5	0.3441617288064692	0.09544950055493896
Europe	location5	41.948327782647574	0.9278579356270811
Americas	Africa	0.1475635427361143	0.04328523862375139
EastSouthAsia	Africa	0.7695248531612412	0.19089900110987792
Europe	Africa	169.59969845137405	0.9811320754716981
location5	Africa	2.346560713306224	0.4184239733629301
EastSouthAsia	Americas	4.048519399504191	0.5538290788013318
Europe	Americas	2935.379396273747	1.0
location5	Americas	0.6618864682296614	0.16870144284128746
Europe	EastSouthAsia	2935.379396273747	1.0
location5	EastSouthAsia	0.2961440068879924	0.08324084350721421
location5	Europe	2.033315858079536	0.38401775804661487
