# BEAST v1.10.5 Prerelease #23570d1
# Generated Fri Feb 07 10:49:26 CET 2020 [seed=1581068955431]
# -beagle_cpu -save_every 1000000 HBV-A_phylogeography.xml
state	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.WestCentralAsia	location.rates.Americas.Africa	location.rates.EastSouthAsia.Africa	location.rates.Europe.Africa	location.rates.WestCentralAsia.Africa	location.rates.EastSouthAsia.Americas	location.rates.Europe.Americas	location.rates.WestCentralAsia.Americas	location.rates.Europe.EastSouthAsia	location.rates.WestCentralAsia.EastSouthAsia	location.rates.WestCentralAsia.Europe	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.WestCentralAsia	location.indicators.Americas.Africa	location.indicators.EastSouthAsia.Africa	location.indicators.Europe.Africa	location.indicators.WestCentralAsia.Africa	location.indicators.EastSouthAsia.Americas	location.indicators.Europe.Americas	location.indicators.WestCentralAsia.Americas	location.indicators.Europe.EastSouthAsia	location.indicators.WestCentralAsia.EastSouthAsia	location.indicators.WestCentralAsia.Europe	location.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	20.0
10000	0.7346500966573659	1.92289811271624	2.3429811281706243	0.398756986174657	0.4420582968095682	1.6853612561426485	0.13817043684192282	0.3523019683441761	0.799641336489511	0.11700537530207465	0.6100611379568617	1.1374226875016493	0.25852430277878236	0.33396847685850867	1.1980927526656706	3.6125212978667665	0.140503753954741	4.377407251480733	1.5559964705247349	0.10759616152125051	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	10.0
20000	0.31718949763589344	0.6891852328215478	2.383905298223964	0.22094188778912077	1.0412526997090068	1.2934587525494035	4.480665717733276	2.335554614050463	0.08146903505299657	0.3844526852364519	2.9619619404014697	0.7724550769493068	1.0608580124614577	1.4995789213170359	3.3210338178520864	3.1713534771406655	0.9921617871718107	3.0293962475524703	2.1826317444996044	0.6755812029991378	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	9.0
30000	0.8342598462613566	0.01821302174697277	0.9907249626768699	0.031192845516362887	0.81960282406414	1.8956802094810947	0.7702944549541012	0.7497824112276452	0.49224621056714096	2.547999230707668	1.7133884720953108	0.12361480024825773	0.47391059436689903	0.8432471738982107	0.8583870961833542	3.450480918335409	0.9381687678859079	1.7518392877327325	0.20616394276533884	0.4021374738112551	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	9.0
40000	0.2784277877940888	0.7793108073712668	0.32821372756051215	4.538958356879026	0.7720651530890222	0.8440679659481543	0.7271627269333286	0.5707396577071712	1.0647374434648922	0.060135012165772904	4.873614464039316	0.4458147736236988	0.6896386419724527	0.05500229191706727	0.6330609003513004	1.8393757908811097	0.18529494646274347	1.3461668264939453	0.4910061852493269	0.8555051824190631	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	10.0
50000	0.7436256330934258	3.836578093293083	1.2227075794967184	2.328708087947456	1.2337221289015545	1.7160456523016854	1.0063081850286624	0.032826325762945585	1.6628328678925024	0.2745426217887276	1.3059622907062216	0.39656127403934727	0.8335829867714696	0.23554440619322378	0.6002738294512473	3.448362743918719	1.0562166535114683	1.3849669278120573	0.887776321564292	0.4019629930351026	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	10.0
60000	0.8059506762095466	0.56465879834052	0.7581347524610765	1.5088125989438352	0.5723866403327608	1.2080128664730951	0.21662208381388773	1.0101949305384876	0.34145374598390466	0.3564912938265382	0.0910989035629944	0.3715426174063645	0.5856699590327349	0.6581468721701518	1.3277323031377812	1.6499930162586105	0.20029818186740878	1.2424888203674076	1.9946658074218688	0.07128798888073176	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	9.0
70000	0.20183073454132716	1.9031723624148515	1.0630218078167455	0.10736277936482337	0.8847821335294619	1.4927624483697832	0.25165666847687596	0.5901178502804763	0.3549943188586168	1.2318957548784422	0.9260744069274822	0.23913430212324	0.5669023470127461	1.5947962581781703	0.19447362246397776	2.551695860665707	0.8830979098670863	2.16836360773464	0.45144595035756424	1.155029283549062	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	12.0
80000	0.8270575700642266	0.6611714522408002	2.620304814545245	0.942152984205521	1.5820946124130966	0.7691196314183812	1.6072500090259363	1.6560691992284997	0.7416872175459678	1.0254541890379965	0.1580065330471787	0.7440074926468893	2.9240187649985203	0.4928647623371045	0.038698113194151625	3.6158746700846818	0.23402600570534163	3.0262586425112326	0.6082673469482203	0.8913152129004119	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	10.0
90000	0.7111673234176105	0.24165536569302837	0.39395554242185177	0.5523805716625323	0.3251883598597473	0.9212372870701173	2.262658319837856	0.9799978785019438	0.5903377384379976	0.4453784456012712	1.6597075705777096	1.917676397123321	0.25178709890382855	1.017762494239917	0.08646242896371095	3.3919693665447603	2.6924343281882286	2.1511062800949925	0.539698119564988	0.9965178758225932	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	9.0
