# BEAST v1.10.5 Prerelease #8a10723
# Generated Fri Sep 08 15:09:58 CEST 2023 [seed=1694178586051]
# -beagle_double HBV-A_updated_geo_priors_completeHistory_posterior_run2.xml
state	posterior	prior	likelihood	location.root.frequencies1	location.root.frequencies2	location.root.frequencies3	location.root.frequencies4	location.root.frequencies5	location.clock.rate.exp.mean	location.clock.rate	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.WestCentralAsia	location.rates.Americas.Africa	location.rates.EastSouthAsia.Africa	location.rates.Europe.Africa	location.rates.WestCentralAsia.Africa	location.rates.EastSouthAsia.Americas	location.rates.Europe.Americas	location.rates.WestCentralAsia.Americas	location.rates.Europe.EastSouthAsia	location.rates.WestCentralAsia.EastSouthAsia	location.rates.WestCentralAsia.Europe	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.WestCentralAsia	location.indicators.Americas.Africa	location.indicators.EastSouthAsia.Africa	location.indicators.Europe.Africa	location.indicators.WestCentralAsia.Africa	location.indicators.EastSouthAsia.Americas	location.indicators.Europe.Americas	location.indicators.WestCentralAsia.Americas	location.indicators.Europe.EastSouthAsia	location.indicators.WestCentralAsia.EastSouthAsia	location.indicators.WestCentralAsia.Europe	location.nonZeroRates	Current Tree	c_allTransitions[1]
0	-299.7349981729157	-27.712853134066464	-272.02214503884926	0.2	0.2	0.2	0.2	0.2	1.0	0.01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	20.0	365.0	113.0
10000	-235.26286739307045	-18.89915805125762	-216.36370934181284	0.20371201977517475	0.28279459116671135	0.15270029718298983	0.20696305977015947	0.15383003210496465	0.03005701574305437	0.004848854227426003	0.8248018337345994	0.7755793594923481	1.3209587942654253	1.6154785067259838	0.38732808706674593	1.5417119477362535	0.1796235626740703	0.1277172171193549	0.7392067576888333	0.27331670994972984	1.4661191226646364	0.4304686452010294	0.8373816974402117	0.8815304418760356	2.3260526908252825	0.9788990194428633	1.2257075332010163	1.4863734966891613	2.3897140003690267	1.1743268292674758	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	9.0	1238.0	68.0
20000	-240.87600228946908	-17.775817888309366	-223.1001844011597	0.2490180710104956	0.25373320769586577	0.1351937174111348	0.17364042368010826	0.1884145802023955	0.0032784079056257525	0.004845534307365559	0.14534435247937869	0.2000030396169784	1.4115318553464034	1.0454711952790579	0.5431992557718411	0.8742515006532001	0.8993769736258864	0.16126166501336903	0.8165216147755201	0.0758538735658544	0.7814246503724657	0.22756361226856892	1.5107604944229174	0.7694545419793368	0.18111924691758147	2.466742950307264	2.66575447158018	2.28272182365589	0.20884504483804964	4.5066974182742365	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	8.0	1235.0	76.0
30000	-230.94403393167173	-17.343038677908662	-213.60099525376307	0.1857260396014042	0.26497515361535207	0.09105643668752259	0.18930737803855874	0.2689349920571623	0.05827458310009956	0.0045806342408508775	0.1046046781654658	0.03731670426963011	0.8807753638654291	1.810156974198794	0.42531245671458534	0.9246229058036847	0.31514737124737224	0.17001073827733545	0.5342129966186064	0.07745344324312232	0.29699754446495485	1.4386869923528922	0.5279035480614939	0.5176121182194201	4.203032844314267	1.5440848195587351	1.1034459697613228	2.0126851829280716	0.6933793533553777	0.3442427511735177	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	13.0	1242.0	72.0
40000	-230.72570198405725	-14.608863058890293	-216.11683892516695	0.24163220657285228	0.20823584217454244	0.10505041757915398	0.1547151105429221	0.2903664231305291	0.05470424388288875	0.0064015129164336475	0.2442462235045414	3.5508652582509264	0.3642007501311552	0.4899745937245266	0.2787590645656838	0.9974724382818245	0.2786778159953672	0.08399611593500012	0.30320232045589224	1.5651066163627723	0.510735190873602	2.080088873262987	0.07897719626872743	0.010213716865490755	0.44645052350580416	1.105598686975347	0.8527680699248498	1.6895828661492087	0.013493340490295073	0.3413056722347613	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	13.0	1238.0	85.0
50000	-234.57579888839032	-19.402200521576162	-215.17359836681416	0.18601952289261162	0.24084229501523266	0.044916372849143654	0.16616712863321512	0.3620546806097969	0.005435659687662586	0.0029963301790740283	0.8513136578629059	0.3854177106037023	1.9528504900314434	0.24493495864904904	0.015229617363964209	0.9514949007741199	0.06088922635729834	0.37544197388138734	0.08200957873502973	0.8122093115233364	0.534388836256024	1.8340061684462283	0.7478038647432182	1.0488882454417159	5.7974926594467675	1.8079704685847997	1.3040354856555303	4.341445078900714	0.10019821321004968	0.14725612136481273	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	12.0	1235.0	58.0
60000	-237.77747142152265	-25.163703249535658	-212.613768171987	0.1457205253936208	0.2951815726266275	0.04013029313797338	0.17406799518479182	0.3448996136569865	0.03178833257903077	0.006019136112976238	0.3543274898094282	0.6753787345334636	0.9356418593186022	0.13073254459982367	0.02147836904824096	1.7079935786504927	0.06840342289503556	0.4880589030396247	0.05998356175092862	0.4676194663405074	1.1507825545303576	0.5264959805210886	0.14065896455981952	3.9467325041570804	3.3836137248594986	2.1127621997748305	2.984743251090681	4.921249441301338	0.19385890283161508	1.5814935597959048	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	15.0	1238.0	78.0
70000	-240.36057044162607	-24.010845405141637	-216.34972503648441	0.21112765406741535	0.2562166417440488	0.06314556389312674	0.15999443262323257	0.3095157076721765	0.058504559298936804	0.00561877308512011	0.2727063583440188	4.010201291309348	0.30707331205807287	0.04356660780309334	0.7659686199849629	1.1879820087613393	0.8770479502647526	0.24082961137216663	2.8899052928731463	0.24831811947631866	0.36536814690292185	1.9747054981625318	1.3730878130854451	0.5042082718026176	1.3972223034222464	2.2997574737053994	0.790954986142925	2.4091731607825184	0.5172291110630227	1.3887896344952368	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	15.0	1238.0	78.0
80000	-230.60121452160485	-14.913001384135722	-215.68821313746912	0.2074113865203657	0.18163240333447103	0.060078559891615375	0.1745110103492683	0.37636663990427954	0.014242641193915986	0.00505127194859379	0.2764869498720807	0.057932795041082744	0.6412458651844181	0.01576289256868853	0.7275131294447241	0.9485191300389219	0.04772757305098983	0.7581701915650253	0.1625336671913667	0.04835452780292397	0.0012340867891246438	0.9688410771717904	1.9638064686721537	1.8904886834500367	2.682420947075243	2.1577927156784282	0.9240544729627278	1.1495465792854713	0.9482999567950001	0.27832882873216314	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	15.0	479.0	73.0
90000	-221.9633817472848	-10.67343426653757	-211.28994748074726	0.2612536583700715	0.16918997510496236	0.05138912917492326	0.15803052719639252	0.3601367101536501	0.027998358820366054	0.00385171486882339	0.45648816890176697	0.08459472015359899	0.7716902354089882	0.30445531585272806	0.05872815825514701	1.2362559094978847	1.2764900878882754	0.34285561893108546	0.13124309757316233	0.08277350145215394	0.13984063466293106	0.07342399953384086	0.8098258024271953	0.4537241914966135	3.0269002013411646	0.6076570189772801	0.027532087048976292	2.03371530233723	0.04982742475779151	0.043289963996510014	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	14.0	1238.0	77.0
100000	-225.72626490195512	-15.264022031408874	-210.46224287054625	0.2702017413627316	0.1743524324868954	0.03162439223238406	0.07944997258603514	0.4443714613319536	0.06631419626872362	0.00539216884689687	0.4557545506415178	0.12076407961265911	0.3227998089693114	0.05038521970639712	0.43451661075282155	1.2691212859907692	1.0419482975584478	0.11059592260662826	0.017475110594187708	0.06201859133841915	0.30071815338708485	1.1085091070736117	0.5786809178632345	0.69918462449457	0.983778297013023	1.5592141110047437	0.27529654749801175	2.3980148148449443	0.4136991903553948	1.7370387779489533	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	17.0	1238.0	70.0
110000	-224.71299885424736	-13.807647917080075	-210.9053509371673	0.22971599349920163	0.157426166108007	0.04211322447837144	0.10157433992748556	0.4691702759869343	0.010772087801986041	0.0040965144008754725	0.6115373464255827	1.051435329534409	0.5914706280418088	0.7136067814739543	0.0984353612651027	1.308325960694956	0.8318956579722483	0.9923462113676983	0.0052878704259716885	0.08577126337017486	0.9569303302469229	1.0018794658099797	1.4876739988241892	0.2798347567579681	2.229456140335647	0.9916730490816104	1.12062273613672	1.8798695235042893	0.6203242288366374	0.26698057298875666	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	11.0	1238.0	80.0
