# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon Mar 14 23:46:01 CET 2022 [seed=666]
# -overwrite -seed 666 -beagle_gpu HBV-A_phylogeography_markov_jumps.xml
state	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.WestCentralAsia	location.rates.Americas.Africa	location.rates.EastSouthAsia.Africa	location.rates.Europe.Africa	location.rates.WestCentralAsia.Africa	location.rates.EastSouthAsia.Americas	location.rates.Europe.Americas	location.rates.WestCentralAsia.Americas	location.rates.Europe.EastSouthAsia	location.rates.WestCentralAsia.EastSouthAsia	location.rates.WestCentralAsia.Europe	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.WestCentralAsia	location.indicators.Americas.Africa	location.indicators.EastSouthAsia.Africa	location.indicators.Europe.Africa	location.indicators.WestCentralAsia.Africa	location.indicators.EastSouthAsia.Americas	location.indicators.Europe.Americas	location.indicators.WestCentralAsia.Americas	location.indicators.Europe.EastSouthAsia	location.indicators.WestCentralAsia.EastSouthAsia	location.indicators.WestCentralAsia.Europe	location.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	20.0
10000	1.5099329134290707	2.745081613468799	1.5131162364193738	0.03844889438919099	1.7169195237145425	1.529972571350108	0.7363197798151636	2.445856824710491	0.13592366626027724	0.37743810267680195	3.0903313689026826	4.807491004066209	1.9421630139960255	1.4185457356446733	0.5427736279094808	4.296869532270705	0.746386458365238	3.1389082256388328	0.7714491426822423	0.767130131210046	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	10.0
20000	0.44510485391962323	0.12221906087993926	0.5596621370415468	0.07509840430485624	0.5124657417539457	2.1484159007888515	2.3169557927028723	0.5037106124299706	0.21647319184530026	0.1297025620149351	3.721681858959855	0.14848864912817675	0.6678055610825536	0.09093655876239541	1.870336119741579	2.4271582617022127	1.0933632956234878	1.746207621229815	0.010800786690762301	1.5176709416078498	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	9.0
30000	0.16586313836012864	5.255322318895226	1.1187012053917682	1.0505359901008768	1.4870540909177863	1.1018159762085529	0.9986632951946703	0.6692624778740573	0.45125826430043176	0.06312023910390067	0.24432152020814493	0.08625683024066766	0.18887981785199554	0.4519249324723034	0.2811927390527168	3.177538030436821	0.16530808276671666	1.9244035564003723	3.504607815621118	0.25649645637210045	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	9.0
40000	0.9587338057156881	0.9976191888794759	1.8268622379707449	0.008866123485662897	1.4053626270278659	3.1356707124681313	0.7983662319255361	2.759836321809112	0.8317000083983269	0.2097859109277286	0.556414688807956	1.8782720470027223	1.1842855670951546	0.8540098384987078	2.429285658321644	4.069035095769466	0.8931667571550791	4.742675207360441	0.8354569500798947	0.5530773173633056	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	9.0
50000	0.776094835797672	0.5797006383695636	0.6355238116374449	2.5839250666013682	1.7821232494746437	1.978503228621446	0.250636093119091	0.4572546397758609	2.3345681025666014	0.6604181772807961	0.028260696441132705	0.27936064245377584	0.6509647007105663	0.13676694600822456	0.24556940821074927	1.9977871841168335	1.620322613292005	1.8890417862777422	1.5162233474076683	0.20697997738197055	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	10.0
60000	0.8084232866936333	1.7018254738315945	0.6977250066744832	0.7803919000581518	3.5200119062083113	0.3182106147979453	3.5425420846363496	1.0671174887166777	0.019401604585079186	0.12382128632731403	1.480434119441228	0.3193293965680966	0.5068576928663415	0.5788473804195503	0.4656053240943322	1.124760761109334	0.8075988521492452	1.3423380805636274	1.7278975560354988	0.20668399818106464	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	8.0
70000	0.6024700590743884	0.8912773080321846	0.6452196162239533	0.8694138879671401	0.4560723559920258	3.2565671082903833	1.5912815394470594	0.8007526412459776	0.39359163489763715	0.4391874730110365	2.289548071344144	0.3449087672509202	0.03981595289057674	0.31675702166088	1.743099498986215	3.0289893608274694	0.6526915594178626	3.2369186062072197	0.510961609032527	0.5821139858828133	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	11.0
80000	0.6429501376826026	3.424826637395369	1.3573710144851987	0.2848318292673685	0.891589118042046	2.1672719065372483	0.20468419126435183	1.2099919469991038	1.8769287131526533	0.23851776584978115	0.41198818799669923	2.3049151685900986	0.9260221000649549	0.25552012920211703	0.6760478236828561	4.108806273155491	0.27194953659271776	1.8056049852573621	3.730185912771408	0.3440280185208589	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	10.0
90000	0.612802850461838	0.9683277882107039	1.090555720572638	2.2340138609185596	0.42445074237989533	1.2563373400804687	2.6239315720993703	0.38587069940337443	0.6296646390816317	0.2681637224174674	3.9040223101037297	0.34481986725654057	0.914727036521237	0.2835979698771671	0.36606823378870046	3.3154756948849733	0.5992035375031158	1.1020124635941033	2.7098105003884743	0.42962098652781244	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	8.0
