# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon Mar 14 23:46:01 CET 2022 [seed=666]
# -overwrite -seed 666 -beagle_gpu HBV-A_phylogeography_markov_jumps.xml
state	joint	prior	likelihood	location.clock.rate	location.meanRate	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.WestCentralAsia	location.rates.Americas.Africa	location.rates.EastSouthAsia.Africa	location.rates.Europe.Africa	location.rates.WestCentralAsia.Africa	location.rates.EastSouthAsia.Americas	location.rates.Europe.Americas	location.rates.WestCentralAsia.Americas	location.rates.Europe.EastSouthAsia	location.rates.WestCentralAsia.EastSouthAsia	location.rates.WestCentralAsia.Europe	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.WestCentralAsia	location.indicators.Americas.Africa	location.indicators.EastSouthAsia.Africa	location.indicators.Europe.Africa	location.indicators.WestCentralAsia.Africa	location.indicators.EastSouthAsia.Americas	location.indicators.Europe.Americas	location.indicators.WestCentralAsia.Americas	location.indicators.Europe.EastSouthAsia	location.indicators.WestCentralAsia.EastSouthAsia	location.indicators.WestCentralAsia.Europe	location.nonZeroRates	location.branchRates	c_location.count[1]	c_Africa_reward[1]	c_Americas_reward[1]	c_EastSouthAsia_reward[1]	c_Europe_reward[1]	c_WestCentralAsia_reward[1]	c_allTransitions[1]
0	-17851.052380805286	-16930.907526606952	-920.1448541983347	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	20.0	0.0	14053.0	3488.655167301514	3474.8390015258083	3360.350175022355	3548.3450000877583	3077.2375511044856	14097.0
10000	-327.416740587219	-83.48535586699616	-243.93138472022287	0.0018833236844950755	0.0018833236844950753	1.5099329134290707	2.745081613468799	1.5131162364193738	0.03844889438919099	1.7169195237145425	1.529972571350108	0.7363197798151636	2.445856824710491	0.13592366626027724	0.37743810267680195	3.0903313689026826	4.807491004066209	1.9421630139960255	1.4185457356446733	0.5427736279094808	4.296869532270705	0.746386458365238	3.1389082256388328	0.7714491426822423	0.767130131210046	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	10.0	0.0	66.0	9643.11765376535	4025.7918832673154	1079.9710241429082	5718.245702660403	3815.7102409078143	65.0
20000	-303.1178323777335	-51.0042719576667	-252.11356042006682	0.0019238665630581457	0.0019238665630581474	0.44510485391962323	0.12221906087993926	0.5596621370415468	0.07509840430485624	0.5124657417539457	2.1484159007888515	2.3169557927028723	0.5037106124299706	0.21647319184530026	0.1297025620149351	3.721681858959855	0.14848864912817675	0.6678055610825536	0.09093655876239541	1.870336119741579	2.4271582617022127	1.0933632956234878	1.746207621229815	0.010800786690762301	1.5176709416078498	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	9.0	0.0	66.0	4630.9267686782505	4290.909386956609	1017.5903274619942	3788.360036430869	1920.5541894410621	63.0
30000	-306.30415102464957	-51.59925890631437	-254.70489211833518	0.0020424955202183047	0.0020424955202183047	0.16586313836012864	5.255322318895226	1.1187012053917682	1.0505359901008768	1.4870540909177863	1.1018159762085529	0.9986632951946703	0.6692624778740573	0.45125826430043176	0.06312023910390067	0.24432152020814493	0.08625683024066766	0.18887981785199554	0.4519249324723034	0.2811927390527168	3.177538030436821	0.16530808276671666	1.9244035564003723	3.504607815621118	0.25649645637210045	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	9.0	0.0	63.0	4494.637422173167	2472.135733494655	2231.92614532661	3383.78957004854	1465.1110534634906	67.0
40000	-313.64369859064914	-65.6340609124442	-248.00963767820494	0.001635367473084656	0.0016353674730846546	0.9587338057156881	0.9976191888794759	1.8268622379707449	0.008866123485662897	1.4053626270278659	3.1356707124681313	0.7983662319255361	2.759836321809112	0.8317000083983269	0.2097859109277286	0.556414688807956	1.8782720470027223	1.1842855670951546	0.8540098384987078	2.429285658321644	4.069035095769466	0.8931667571550791	4.742675207360441	0.8354569500798947	0.5530773173633056	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	9.0	0.0	63.0	8093.46821906938	4825.966359867009	1963.7412082922485	5234.555747930379	1213.470893818751	61.0
50000	-293.6215445942114	-44.76227872017094	-248.85926587404043	0.0013997557605440042	0.0013997557605440047	0.776094835797672	0.5797006383695636	0.6355238116374449	2.5839250666013682	1.7821232494746437	1.978503228621446	0.250636093119091	0.4572546397758609	2.3345681025666014	0.6604181772807961	0.028260696441132705	0.27936064245377584	0.6509647007105663	0.13676694600822456	0.24556940821074927	1.9977871841168335	1.620322613292005	1.8890417862777422	1.5162233474076683	0.20697997738197055	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	10.0	0.0	54.0	5815.030715413456	2807.120519345189	649.0073376885848	3710.3812830771144	3708.7441685252325	54.0
60000	-300.2847563677032	-44.89188608427996	-255.39287028342326	0.0015351421954313495	0.0015351421954313518	0.8084232866936333	1.7018254738315945	0.6977250066744832	0.7803919000581518	3.5200119062083113	0.3182106147979453	3.5425420846363496	1.0671174887166777	0.019401604585079186	0.12382128632731403	1.480434119441228	0.3193293965680966	0.5068576928663415	0.5788473804195503	0.4656053240943322	1.124760761109334	0.8075988521492452	1.3423380805636274	1.7278975560354988	0.20668399818106464	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	8.0	0.0	67.0	5870.560200320408	5105.799616976266	930.5937669784239	3616.516879750381	941.8413090300057	67.0
70000	-306.19136455918584	-61.82840801125032	-244.3629565479355	0.0019321291486352101	0.001932129148635212	0.6024700590743884	0.8912773080321846	0.6452196162239533	0.8694138879671401	0.4560723559920258	3.2565671082903833	1.5912815394470594	0.8007526412459776	0.39359163489763715	0.4391874730110365	2.289548071344144	0.3449087672509202	0.03981595289057674	0.31675702166088	1.743099498986215	3.0289893608274694	0.6526915594178626	3.2369186062072197	0.510961609032527	0.5821139858828133	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	11.0	0.0	63.0	6272.721332253857	2958.466782948477	2040.0157868482402	3211.327089968599	3686.7403492477606	60.0
80000	-298.2385015696983	-56.069280526157854	-242.16922104354046	0.0016926912839422246	0.0016926912839422264	0.6429501376826026	3.424826637395369	1.3573710144851987	0.2848318292673685	0.891589118042046	2.1672719065372483	0.20468419126435183	1.2099919469991038	1.8769287131526533	0.23851776584978115	0.41198818799669923	2.3049151685900986	0.9260221000649549	0.25552012920211703	0.6760478236828561	4.108806273155491	0.27194953659271776	1.8056049852573621	3.730185912771408	0.3440280185208589	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	10.0	0.0	62.0	4798.557634985686	4600.63986401519	1168.8991814171168	4539.625046564233	2039.6868512582773	60.0
90000	-313.1096275627962	-54.45637216489204	-258.65325539790416	0.0019319341369928888	0.0019319341369928877	0.612802850461838	0.9683277882107039	1.090555720572638	2.2340138609185596	0.42445074237989533	1.2563373400804687	2.6239315720993703	0.38587069940337443	0.6296646390816317	0.2681637224174674	3.9040223101037297	0.34481986725654057	0.914727036521237	0.2835979698771671	0.36606823378870046	3.3154756948849733	0.5992035375031158	1.1020124635941033	2.7098105003884743	0.42962098652781244	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	8.0	0.0	69.0	5610.826958541253	6246.842851776907	1161.7647808156933	4357.311005331818	919.8695622763244	65.0
