FROM	TO	BAYES_FACTOR	POSTERIOR PROBABILITY
Africa	location2	44.71620550522411	0.9753360737695812
Africa	EastSouthAsia	0.07088983729643038	0.058993445172758584
Africa	Europe	10176.896981367134	1.0
Africa	WestCentralAsia	0.056729614099076064	0.04777246972558605
location2	EastSouthAsia	215.42301553469702	0.9947783579602266
location2	Europe	10176.896981367134	1.0
location2	WestCentralAsia	0.0832159859720183	0.0685479391178758
EastSouthAsia	Europe	10176.896981367134	1.0
EastSouthAsia	WestCentralAsia	0.10879374031152565	0.0877680257749139
Europe	WestCentralAsia	49.50618763739435	0.9776691478724586
