# BEAST v1.10.5 Prerelease #23570d1
# Generated Fri Jan 24 13:02:23 CET 2020 [seed=1579867324411]
# -beagle_gpu -overwrite HBV-A_phylogeography.xml
state	joint	prior	likelihood	location.clock.rate	location.meanRate	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.WestCentralAsia	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.WestCentralAsia	location.nonZeroRates	location.branchRates	location.treeLikelihood
0	-15985.564552770265	-15068.388436708086	-917.1761160621799	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	0.0	-917.1761160621799
10000	-280.2932221677296	-36.45981863244508	-243.83340353528453	0.0021760718212278786	0.002176071821227878	0.3354966955984142	0.16576226949649187	0.5034186892627059	1.0760578205474487	0.4639877348990371	1.4697376396495856	0.4343682012040901	1.698911542623256	0.08565885351516034	0.378337184982603	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	8.0	0.0	-243.83340353528453
20000	-285.65131131803076	-40.735190319830565	-244.9161209982002	0.0017471505822877046	0.001747150582287706	0.32605264738395073	6.120191491271073	1.5116483999120607	0.9922046330742532	1.4390613785431579	2.5937527457329876	0.2703080464036478	1.497494466632102	0.27481203041089425	0.28137445679759043	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0	0.0	-244.9161209982002
30000	-287.87498371535816	-50.788613932667	-237.08636978269115	0.0018820350857818853	0.0018820350857818857	0.2530559667173239	2.4542681498896384	0.09808069483371622	0.03026404758728534	0.39354347148500535	1.0681507981751364	1.2123342859196602	0.34310957652736956	0.4197961804769647	0.053306577856976865	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0	0.0	-237.08636978269115
40000	-277.6126079215386	-29.34834489699717	-248.26426302454144	0.0018553654800982351	0.0018553654800982327	0.4692554176068904	1.3634666115103953	0.9422617536789292	8.596536102745679E-4	0.9130055205943188	1.4309576333399823	0.3763000053112226	0.9824230210704074	0.14742824675919397	0.19912601376080868	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0	0.0	-248.26426302454144
50000	-290.08734942688335	-44.76189296292448	-245.3254564639589	0.002373479504784653	0.0023734795047846546	0.5140790805841471	0.4501046808108354	0.8886862771087587	0.2583201683744792	0.8444058707912437	2.6472905111227054	1.6374887192284193	2.532097732480186	0.1484693359136023	0.19696202801027932	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0	0.0	-245.3254564639589
60000	-296.0575566307446	-32.87123966189681	-263.1863169688478	0.0015860350800403803	0.0015860350800403825	0.3005058497416982	1.2328272925185024	0.8895392928893533	1.1278695784574522	1.6387361008714167	2.1365697986446306	0.12506866145169632	2.636595172545541	0.025592963156179656	0.8619278748060539	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0	0.0	-263.1863169688478
70000	-301.37719609464	-53.75006786741912	-247.62712822722088	0.0026311312507542157	0.0026311312507542165	1.0587936686169535	3.4557914185086074	1.5205765121438137	4.961152224273597	1.7208806754952553	4.427688892114233	1.5669555160205373	3.53455021741705	1.5256594548530116	0.6111588647614697	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0	0.0	-247.62712822722088
80000	-271.3896406468139	-25.786864524771556	-245.60277612204234	0.0014512208086877047	0.0014512208086877023	0.30167095166479885	0.4176370382664639	0.9967942564502054	1.3634952641287634	0.7468844385657895	1.739132715995029	0.034663035521044785	1.5811025763086417	1.06610231118396	0.2403814067535914	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0	0.0	-245.60277612204234
90000	-293.0568321362666	-23.78265506040688	-269.27417707585977	0.0014076018995559897	0.0014076018995559882	0.5865572039103508	0.4631408334602046	0.9608005002909942	0.731425542320838	1.0665377219106689	2.5104228555913144	0.7893779619335145	1.8371787657551837	0.24146953457966677	0.14126120723377958	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0	0.0	-269.27417707585977
100000	-291.60357319326545	-33.22531183353116	-258.37826135973427	0.0019279863848957204	0.0019279863848957193	0.6376089220992104	0.5873396625716661	0.4480974061720693	1.9747020326093498	0.7570796388271726	2.025639953258081	0.692408038469973	0.7192302166954159	0.8235900140016534	0.7952335077540035	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0	0.0	-258.37826135973427
110000	-275.7429367063843	-28.957958223690394	-246.7849784826939	0.0017466508392452625	0.0017466508392452612	0.5652470363560539	0.4605775419839845	0.801243204259014	0.8169118628429298	0.8254398468466563	3.481076598605972	1.7227064204358222	1.4800368185124293	0.13640757258395667	0.08502874631292887	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	7.0	0.0	-246.7849784826939
120000	-274.2854640828248	-27.846328339860076	-246.4391357429647	0.001713801853196631	0.0017138018531966332	0.35879516405770384	1.8599979623677185	0.4043855801437587	0.1816461079833413	0.29403981497757453	0.8199447493052031	2.0337435038115	0.45792745790437156	0.18785292938234022	0.11257470147154056	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0	0.0	-246.4391357429647
