# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Feb 26 13:41:43 CET 2020 [seed=1582720901793]
# -beagle_gpu -save_every 200000 HBV-A_modern_phylogeography.xml
state	joint	prior	likelihood	location.clock.rate	location.meanRate	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.WestCentralAsia	location.rates.Americas.Africa	location.rates.EastSouthAsia.Africa	location.rates.Europe.Africa	location.rates.WestCentralAsia.Africa	location.rates.EastSouthAsia.Americas	location.rates.Europe.Americas	location.rates.WestCentralAsia.Americas	location.rates.Europe.EastSouthAsia	location.rates.WestCentralAsia.EastSouthAsia	location.rates.WestCentralAsia.Europe	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.WestCentralAsia	location.indicators.Americas.Africa	location.indicators.EastSouthAsia.Africa	location.indicators.Europe.Africa	location.indicators.WestCentralAsia.Africa	location.indicators.EastSouthAsia.Americas	location.indicators.Europe.Americas	location.indicators.WestCentralAsia.Americas	location.indicators.Europe.EastSouthAsia	location.indicators.WestCentralAsia.EastSouthAsia	location.indicators.WestCentralAsia.Europe	location.nonZeroRates	location.branchRates	location.treeLikelihood
0	-10111.134762090476	-9203.324085532324	-907.8106765581524	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	20.0	0.0	-907.8106765581524
10000	-528.2115079350859	-294.9812127401866	-233.23029519489933	0.002745586307142507	0.0027455863071425067	1.2212399493008468	0.05443337908341745	1.4311212132400841	1.077386261509678	0.5129804399428639	1.112238508642471	0.13330334387874476	0.56105474649147	0.13077378717442065	0.24082720964695023	1.0588028479955731	0.07351452381940639	0.37949470346388164	3.508053886842275	2.1322882328130586	3.4986612345329533	2.3726449976065207	2.13971713490009	0.03252383879551007	0.5828948251943689	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	8.0	0.0	-233.23029519489933
20000	-2382.4092758967945	-2129.1634514588704	-253.24582443792391	0.0025355243368879606	0.002535524336887963	0.6019053271390213	3.172521135378384	0.44805998181577633	0.5690936067757378	0.7514615116222803	0.6478284053943225	0.11555733704275513	0.7024630562289438	0.6709610025740457	1.5524026772042456	0.6952506413536879	0.3856622024653439	0.7203037358949966	1.4633836024037759	1.4797826689911184	2.6606884468250973	0.3759782228120885	1.178565697653221	2.688238078955123	0.06202918671372697	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	10.0	0.0	-253.24582443792391
30000	-262.98479868349585	-30.06430495801914	-232.9204937254767	0.0020640603187068664	0.0020640603187068694	0.2525114040695969	0.40213988990007327	0.5647203384353351	0.7958101233428961	0.48464018331771896	0.3466105843734885	0.1823045730103124	0.9279056101239749	0.1971249978723131	0.14651142605967743	0.5409478726155241	1.4139307539897044	0.27306139377931343	0.08644142584262626	0.45847440691966945	1.1593904996595925	0.7831109211556031	1.1035618945402874	0.6410109233946408	0.0506115761227501	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	9.0	0.0	-232.9204937254767
40000	-296.1312718420264	-39.64566689924209	-256.48560494278433	0.0014986427806192902	0.0014986427806192892	0.29944000805034837	2.0160498395560036	1.637997910029739	0.22135998477396873	0.6093914362278184	0.8658190533760862	3.6104026661790476	0.5418688004915615	0.0035061763273316403	0.4247562096842837	1.023176495688185	1.7945432097868266	0.19050487791705853	0.6021875428601366	0.9275058656261908	3.215304817905104	0.2104858920985473	1.8366332298918522	0.9366630462104978	0.7370656087855153	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	10.0	0.0	-256.48560494278433
50000	-292.19951958761135	-53.714237071709974	-238.4852825159014	0.002371503756924593	0.0023715037569245908	1.092221570631975	0.18693093606908975	0.5856854419287087	2.420031068895956	0.906905955989361	0.9499649817979362	2.349320478382108	0.14274800131300866	3.921559184071965	0.14283922691346143	1.0820832411816022	1.262327069027774	0.2126824554009318	0.2051816195665013	0.33731156396186024	3.223221324785903	0.0028509481043054318	2.7874710510060163	1.5715365187631432	0.8383139614475859	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	11.0	0.0	-238.4852825159014
60000	-275.81424884657645	-46.52789140525441	-229.28635744132205	0.0036583261885989485	0.0036583261885989385	0.20678517972603103	0.32012307957274766	0.906945904836308	0.0832995874119092	0.5297826417971321	0.6171418188232327	0.5433081463340403	2.6173652322523653	0.5505792638121124	0.17277448834425643	1.5135973593764664	0.441429296566185	0.33127170548327717	0.01799484307353406	0.541442277104222	2.186642439805913	0.11593156218918464	2.052848294980879	3.990679004360413	0.18496002306761136	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	10.0	0.0	-229.28635744132205
70000	-311.70839223980454	-44.496894291425605	-267.21149794837896	0.0020141119760880835	0.002014111976088079	2.2962014272620013	0.31047140037492854	2.138621422089906	0.2529503019001668	0.6310527491070953	1.5922724421417798	1.7028300253933621	0.5704778620977756	0.8425782761782152	1.258810076302296	1.2563844083100224	0.03850783517832529	0.578597366308556	0.2819272868946557	0.43481255449561557	4.908304448106924	0.6909743613790283	4.423450098718052	1.461208468604392	0.8611313889346012	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	10.0	0.0	-267.21149794837896
80000	-277.81099368726336	-40.09324651191153	-237.71774717535186	0.0025115130237343495	0.002511513023734351	0.10678925986517067	1.6188993561498648	1.3079368525852995	0.03500613250577839	0.6382369318492597	0.8898275111400105	0.05114892299193381	0.41767918240194823	0.6718618231100644	1.07054536108842	1.712196176854937	0.18598376054495075	0.18629690495845083	0.0174499048565188	0.012136703375259541	2.3971977542553895	0.30674714188911245	2.1804941851536404	0.6637932214227498	0.09462742489603426	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	9.0	0.0	-237.71774717535186
90000	-287.2340876182448	-37.86635443717974	-249.36773318106506	0.002022128646127404	0.0020221286461274014	0.15645460961064483	0.5362031913703361	0.8921170871194316	2.495368898827622	1.055209608185383	0.47110143029939816	0.8852682076134603	0.18884445040622336	0.6277682313697781	0.23545671745002078	1.0087973603170715	1.1603935018694993	0.3332882402811166	0.4969016561493591	0.002530153497378926	2.8823378157096147	0.19688445280268888	2.0581236084727412	0.06696155762362496	1.111738386522981	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	10.0	0.0	-249.36773318106506
