FROM	TO	BAYES_FACTOR	POSTERIOR PROBABILITY
Africa	Americas	8.501568594600126	0.7227319062181448
Africa	EastSouthAsia	0.0958267728759075	0.02854230377166157
Africa	Europe	3196.3020092757592	0.9989806320081549
Africa	WestCentralAsia	0.047219707627063005	0.014271151885830785
Americas	EastSouthAsia	5.9857608112840435	0.6472986748216106
Americas	Europe	3196.3020092757592	0.9989806320081549
Americas	WestCentralAsia	0.1350316070472723	0.039755351681957186
EastSouthAsia	Europe	0.38677240239766025	0.10601427115188583
EastSouthAsia	WestCentralAsia	1.021684930429964	0.23853211009174313
Europe	WestCentralAsia	13.757422347784326	0.8083588175331294
Americas	Africa	0.11353436483478055	0.03363914373088685
EastSouthAsia	Africa	0.5070934174952741	0.1345565749235474
Europe	Africa	453.81897332867857	0.9928644240570846
WestCentralAsia	Africa	1.7144604042518368	0.34454638124362896
EastSouthAsia	Americas	4.127759582135058	0.5586136595310908
Europe	Americas	3196.3020092757592	1.0
WestCentralAsia	Americas	1.169995788911833	0.2640163098878695
Europe	EastSouthAsia	3196.3020092757592	1.0
WestCentralAsia	EastSouthAsia	0.7379217648966033	0.18450560652395515
WestCentralAsia	Europe	1.219648768759881	0.27217125382262997
