# BEAST v1.10.5 Prerelease #23570d1
# Generated Fri Feb 07 11:16:21 CET 2020 [seed=1581070566592]
# -beagle_cpu -save_every 1000000 HBV-D_phylogeography.xml
state	joint	prior	likelihood	location.clock.rate	location.meanRate	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.WestCentralAsia	location.rates.Americas.Africa	location.rates.EastSouthAsia.Africa	location.rates.Europe.Africa	location.rates.WestCentralAsia.Africa	location.rates.EastSouthAsia.Americas	location.rates.Europe.Americas	location.rates.WestCentralAsia.Americas	location.rates.Europe.EastSouthAsia	location.rates.WestCentralAsia.EastSouthAsia	location.rates.WestCentralAsia.Europe	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.WestCentralAsia	location.indicators.Americas.Africa	location.indicators.EastSouthAsia.Africa	location.indicators.Europe.Africa	location.indicators.WestCentralAsia.Africa	location.indicators.EastSouthAsia.Americas	location.indicators.Europe.Americas	location.indicators.WestCentralAsia.Americas	location.indicators.Europe.EastSouthAsia	location.indicators.WestCentralAsia.EastSouthAsia	location.indicators.WestCentralAsia.Europe	location.nonZeroRates	location.branchRates	location.treeLikelihood
0	-265340.6523894798	-264106.42472406704	-1234.2276654127659	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	20.0	0.0	-1234.2276654127659
10000	-449.07088879202865	-54.933167740440155	-394.1377210515885	1.6684897243037677E-4	1.6684897243037682E-4	2.7181818487258864	0.17312875757845828	0.5505660657154078	1.182997235114706	0.6438746606559727	0.44986301126337874	0.34070602857286214	0.7060661008666059	0.5553983348537898	1.8382599111236666	2.072714858333233	4.756201866066862	1.8371714792870737	0.7971140809918622	2.0232339008797884	1.8182601381640475	0.5495329518731087	1.4199346581899683	3.550330199010161	2.422430802969149	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	9.0	0.0	-394.1377210515885
20000	-438.90784070126165	-63.777134335327816	-375.1307063659338	1.7261696158836937E-4	1.7261696158836964E-4	0.6492606388728318	5.242076928441711	0.8279615900482564	0.9271142890566335	0.1957955739223912	0.8036430156962022	3.394436279873492	1.4911512354581742	0.765268779327354	1.6115583956449797	0.08855551138601747	2.5582307041519985	0.06797736401949364	0.7535433605602333	0.14719625450082838	1.9237190964718247	1.5498764621882717	1.1810425222225978	2.155163368808877	2.0881794625885703	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	10.0	0.0	-375.1307063659338
30000	-435.3684484331427	-54.49746590113668	-380.87098253200605	1.4961607730400417E-4	1.496160773040041E-4	2.0059533284613495	3.286757929330742	0.26171804309373925	0.6687629712353051	0.44012805021272366	0.012724337019719685	1.2354386101937695	1.2200075979593739	0.3888176827151043	0.7298568282210253	0.3763040808649133	1.3843325560696755	0.11537027985108679	0.6712537285293362	0.03454562578866073	2.880193555803496	0.29050324578921666	1.0846196928207406	2.3606341708895817	1.273511614237312	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	13.0	0.0	-380.87098253200605
40000	-433.63709316311764	-52.8500560480806	-380.78703711503704	1.5131844208036947E-4	1.513184420803694E-4	0.1407085748992482	0.6328492041199257	0.43228441965594155	1.8674598940806972	0.39985372217599263	3.373505729684314	1.5239408814531676	0.9410485187373027	0.17765726281938635	0.6610968597131609	0.46658583279664834	0.5509873354415362	0.10034158562957599	0.8332612263189881	1.6025730819066983	1.7865255315720827	0.38439780946723084	0.5764110169381493	1.7498629383667046	1.1741639891889126	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	10.0	0.0	-380.78703711503704
50000	-439.751090910318	-55.2145397283949	-384.5365511819231	1.4627273444596425E-4	1.4627273444596457E-4	2.193071857696815	0.6289146323159194	0.2666615673136189	0.29641955228659667	0.44680058184293486	0.5094160636130384	1.6477070111554466	0.7261849941453397	0.5700496255437697	1.5724890124116573	2.196476317282003	0.3278018497310641	1.7029204113594023	1.0970584920567716	1.8872819380466535	3.5536857908383643	2.5292753372463777	3.0115109444375876	2.266983098075757	2.9266483851487712	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	10.0	0.0	-384.5365511819231
60000	-438.02891161554874	-59.30017811847969	-378.728733497069	1.9798129392844076E-4	1.979812939284406E-4	0.3960946935081129	2.0508206556652184	0.7054722679089113	0.8604603710858489	1.2049720259188763	0.6843412231464409	4.931427411257045	0.2630705349376456	4.348595916078835	1.0507015775717055	0.526316557839029	0.943242938776608	0.5672117925410544	0.500071530491482	0.07927888714860083	1.775653253452587	0.34879467007803205	1.1832677847100042	2.291302882559616	3.035842967426102	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	10.0	0.0	-378.728733497069
70000	-425.5167653888275	-56.46386038617452	-369.05290500265295	1.815428286430831E-4	1.815428286430831E-4	0.6207445382696252	1.0035909687897457	0.5981120352739704	1.079825108726246	0.250347294917609	0.109921813393436	0.14028140086215274	0.7609634073218648	0.8343577104547921	1.3279764748501428	1.037175184422622	0.1546427934704879	0.027604662812067107	0.9159998559049548	2.075535670755155	2.8233671053500276	0.9480836931666797	1.6622008095751502	2.229305111065445	1.6726559654510451	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	11.0	0.0	-369.05290500265295
80000	-446.510980160826	-48.32629170365383	-398.1846884571722	1.1883904435755926E-4	1.1883904435755935E-4	2.794275120559074	0.6702598087435208	0.7069863399877928	1.5039845186820264	0.7882569415272973	0.11271291447264825	1.1485279124206462	0.559035462829192	0.8114735845072638	0.6102611066929657	3.2789882552222296	0.6280080680226037	0.2329914681158132	1.0030542997364902	0.5853356750022032	3.033792193850083	0.24389023005620689	1.3294511537902578	2.8710749096287307	1.8186202084203287	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	11.0	0.0	-398.1846884571722
90000	-455.3858578656596	-71.1081259638699	-384.2777319017897	1.5469405219297082E-4	1.5469405219297122E-4	1.3004411914572598	6.532805942457047	0.6297052632817118	0.7443240583739785	0.27533714253794894	0.5169852783506809	1.4033656508947712	1.2877717679760718	0.004657937541957289	2.627935782273694	0.18652619854125332	0.9825683153159012	0.8017242761021187	0.6934429004507436	1.9185147244631435	4.049136071968811	2.412474188717809	1.4720540902278427	1.9161707420445693	1.5973987627838837	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	10.0	0.0	-384.2777319017897
