# BEAST v1.10.5 Prerelease #8a10723
# Generated Tue Sep 12 16:59:04 CEST 2023 [seed=1694530728776]
# -beagle_double HBV-D_updated_geo_priors_completeHistory_posterior_run1.xml
state	posterior	prior	likelihood	location.root.frequencies1	location.root.frequencies2	location.root.frequencies3	location.root.frequencies4	location.root.frequencies5	location.clock.rate.exp.mean	location.clock.rate	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.WestCentralAsia	location.rates.Americas.Africa	location.rates.EastSouthAsia.Africa	location.rates.Europe.Africa	location.rates.WestCentralAsia.Africa	location.rates.EastSouthAsia.Americas	location.rates.Europe.Americas	location.rates.WestCentralAsia.Americas	location.rates.Europe.EastSouthAsia	location.rates.WestCentralAsia.EastSouthAsia	location.rates.WestCentralAsia.Europe	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.WestCentralAsia	location.indicators.Americas.Africa	location.indicators.EastSouthAsia.Africa	location.indicators.Europe.Africa	location.indicators.WestCentralAsia.Africa	location.indicators.EastSouthAsia.Americas	location.indicators.Europe.Americas	location.indicators.WestCentralAsia.Americas	location.indicators.Europe.EastSouthAsia	location.indicators.WestCentralAsia.EastSouthAsia	location.indicators.WestCentralAsia.Europe	location.nonZeroRates	Current Tree	c_allTransitions[1]
0	-1047.2566862908848	-27.712853134066464	-1019.5438331568183	0.2	0.2	0.2	0.2	0.2	1.0	0.01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	20.0	327.0	2204.0
10000	-321.69205648255075	-14.913994855367086	-306.77806162718366	0.2008257818159065	0.22607000038274877	0.258255707984698	0.19189465902067926	0.12295385079596756	0.0015300516146622028	3.643317831703288E-4	1.970999328884739	0.7268346185528124	1.0192450528198975	1.1879393369512308	2.6355411937404876	0.2068818602529142	0.01862373253697338	0.6137917198516748	0.007201077652134898	0.791363945663906	0.24218761849352413	0.1686225177636912	0.854875840693138	0.7270880287833625	0.15822744131075986	2.678358529572879	0.20321939687588028	3.646280223620436	1.6455059089604571	1.8031954984835499	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	11.0	1684.0	79.0
20000	-327.60548954276385	-15.190356219133418	-312.4151333236304	0.2334670550040801	0.21521054867630418	0.26671967893419646	0.1752553962770771	0.10934732110834242	0.006020081000016402	5.190069920610503E-4	0.7043086183431402	1.0307305847414225	1.6680059457640597	0.02483085300213211	0.43280873372811	0.7948679232287885	0.06879678125557762	1.356501903455995	0.19713546568132875	1.821313346184595	0.2503240175919231	0.15210097136822417	1.9033532333864815	0.46456984678434204	0.3050542034367222	2.101053549346009	0.041090209328279476	2.1414862061058195	1.6444826156053485	2.1298042137472986	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	13.0	1019.0	96.0
30000	-326.2869482838485	-11.465000625842858	-314.8219476580057	0.24430578282901935	0.19443069923115444	0.2832951685419248	0.1090901520966498	0.16887819730125186	7.168273458664737E-4	2.8709653429384157E-4	0.10292843282440921	1.1768451421468047	0.9256837891577518	0.31563277006230933	0.6268129144333996	0.1058603168977753	0.04456768634026416	0.7605531022426252	0.05428569733107099	0.2003286198678386	1.4293768461889016	0.03959128773528503	3.9454582394663475	0.8062522194173544	0.6269002405014146	1.8329645479773387	0.24849786374630056	2.529768522775376	2.1260396778364976	1.0292974200190854	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	10.0	1684.0	82.0
40000	-331.023880581269	-19.183473770353828	-311.84040681091517	0.2743854692999151	0.24532936361239005	0.29085904187397604	0.11474458429384367	0.0746815409198753	2.8708952285045003E-4	4.130544991151859E-4	0.8734531010863156	0.8933198031151719	1.4034383967083706	0.0663579011801085	3.180378333083458	0.7202246078346117	0.4689377620835097	0.3963625947180948	1.3781572908860835	3.1750533180489997	1.6496757256003036	0.2506365853470981	0.028409019566896825	0.8838442413577817	0.40373107896910115	4.375113547660449	0.24653495129501105	1.9460754893064263	1.7415234395399475	2.359416063790507	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	13.0	1684.0	87.0
50000	-331.0083464677078	-18.326431464403775	-312.681915003304	0.25986257680940217	0.2867859122546227	0.2597725142836782	0.1418348176667611	0.05174417898553626	1.772702675944427E-4	2.7723537373077546E-4	0.4853565352880986	2.099589015551083	0.9866284817418135	0.47991016426043526	0.6803946795890585	0.05568147120278808	5.09739795975597	1.1231237014324849	1.0466674557150906	1.1527451714327883	0.8334563163903057	0.7933563230157572	1.0141991992694215	0.8808223076483512	0.6330426971775179	1.4467931989983396	0.4061258001965051	3.1203129630970277	1.5703622729935152	2.7204057887099418	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	11.0	1684.0	85.0
60000	-328.21283228907265	-16.13731710931205	-312.0755151797606	0.26954739534389904	0.3173314952986669	0.22299380182080988	0.14896820916464665	0.04115909837197794	0.002056492037859129	4.662714721362041E-4	1.1367086776333515	0.09447054659933736	1.1849977456225653	1.2964597385500023	0.38103652611637345	2.2561561497009315	0.2792557347430533	0.4440140401714274	0.043087779626202034	0.8527667173034441	0.6938836100312705	0.15281444706867497	0.4838574681988822	0.4506140615367735	0.8768672914471513	2.825025499785333	1.5606362507590181	3.9973361371160867	0.7208848436521608	1.921318408684727	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	13.0	1684.0	86.0
70000	-315.9108055173683	-1.648854984460515	-314.2619505329078	0.3037128581386708	0.28665986066690535	0.2274920843255947	0.16987114978229786	0.012264047086531803	5.514708000666603E-4	3.757580670176815E-4	0.06370648238906068	0.14621405311869543	0.12089846983435548	0.34726795932810506	0.7091089618369776	0.08592796989884281	0.008598107060586611	0.2901403669417504	0.1726320827734599	0.27105260911192575	0.6527955934146072	0.07082114415595579	0.07082455674254648	0.36197683903593125	0.5674369805761394	0.7895132047630561	0.06073694406069368	1.53056737677403	0.9753673075933471	1.3885041963853642	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	13.0	1019.0	78.0
80000	-323.632649227533	-10.063767345446335	-313.5688818820867	0.3118613740705404	0.3019007936060717	0.19325546767720508	0.13834891375840025	0.054633450887783035	0.002353477421603501	5.232467068663325E-4	0.2103741564577939	0.1850582366228558	1.653081805965251	0.04848630653974159	1.13158350445246	0.03752579482268559	0.08580744524611332	1.201122162462611	0.3233047368882423	1.5087824940469545	0.5447111797148586	0.6108754643096668	0.2307315718467586	0.7100800876470309	0.056471460626185056	2.135299835272864	0.7973281174711851	1.1890826266038872	1.7866614301366255	1.1965530320699955	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	12.0	1019.0	82.0
90000	-330.46603334199784	-20.134596431103894	-310.33143691089396	0.25157681733535575	0.3184397871612819	0.1468812491502987	0.16302976242268574	0.1200723839303785	0.10574743458692981	3.0075061402406046E-4	0.06099178350345799	0.7218965600241707	0.6092292543480803	0.07167415455043695	0.9382931580839883	0.10554496402085822	1.6332054728626166	0.5640412245532359	0.15030558105018033	0.17111670901973458	0.3782515057647304	0.277066552489558	1.4136058560460114	0.9058912664790808	0.03883661739460255	3.971181543190771	0.37540961611721635	2.6547988845108397	2.215086167515919	2.655008199321165	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	13.0	1684.0	78.0
