FROM	TO	BAYES_FACTOR	POSTERIOR PROBABILITY
Africa	Americas	0.19249580302216085	0.05573080967402734
Africa	EastSouthAsia	0.06292345972719789	0.01892744479495268
Africa	Europe	513.6913943479149	0.9936908517350158
Africa	WestCentralAsia	0.10623884894222878	0.031545741324921134
Americas	EastSouthAsia	9.195164373869673	0.7381703470031545
Americas	Europe	0.5630266001895182	0.14721345951629863
Americas	WestCentralAsia	0.23533042886323685	0.06729758149316509
EastSouthAsia	Europe	20.970635791087854	0.8654048370136698
EastSouthAsia	WestCentralAsia	1.7983654811320247	0.35541535226077814
Europe	WestCentralAsia	513.6913943479149	0.9936908517350158
Americas	Africa	0.35352277111300395	0.09779179810725552
EastSouthAsia	Africa	0.12092923721472017	0.035751840168243953
Europe	Africa	4.671248826124801	0.5888538380651945
WestCentralAsia	Africa	3098.456029400121	1.0
EastSouthAsia	Americas	0.7099366871056235	0.17875920084121977
Europe	Americas	3098.456029400121	1.0
WestCentralAsia	Americas	0.08805433754121013	0.026288117770767613
Europe	EastSouthAsia	1030.6443213583561	0.9968454258675079
WestCentralAsia	EastSouthAsia	3098.456029400121	1.0
WestCentralAsia	Europe	3098.456029400121	1.0
