FROM	TO	BAYES_FACTOR	POSTERIOR PROBABILITY
Africa	Americas	0.19569195975158538	0.05660377358490566
Africa	EastSouthAsia	0.058965562260364715	0.017758046614872364
Africa	Europe	584.46665312474	0.9944506104328524
Africa	WestCentralAsia	0.11233751994924536	0.033296337402885685
Americas	EastSouthAsia	9.243322354223821	0.7391786903440621
Americas	Europe	0.5499341713728081	0.14428412874583796
Americas	WestCentralAsia	0.2326896073146081	0.06659267480577137
EastSouthAsia	Europe	21.227141745276143	0.8668146503884573
EastSouthAsia	WestCentralAsia	1.83143255226787	0.35960044395116536
Europe	WestCentralAsia	486.5119554935273	0.9933407325194229
Americas	Africa	0.3619456715504046	0.09988901220865705
EastSouthAsia	Africa	0.12399836159374651	0.03662597114317425
Europe	Africa	4.767540913802285	0.5937846836847946
WestCentralAsia	Africa	2935.379396273747	1.0
EastSouthAsia	Americas	0.7257684622175486	0.18201997780244172
Europe	Americas	2935.379396273747	1.0
WestCentralAsia	Americas	0.0816310791531073	0.0244173140954495
Europe	EastSouthAsia	976.2854436495646	0.9966703662597114
WestCentralAsia	EastSouthAsia	2935.379396273747	1.0
WestCentralAsia	Europe	2935.379396273747	1.0
