# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Feb 26 13:45:31 CET 2020 [seed=1582721128794]
# -beagle_gpu -save_every 200000 HBV-D_phylogeography.xml
state	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.WestCentralAsia	location.rates.Americas.Africa	location.rates.EastSouthAsia.Africa	location.rates.Europe.Africa	location.rates.WestCentralAsia.Africa	location.rates.EastSouthAsia.Americas	location.rates.Europe.Americas	location.rates.WestCentralAsia.Americas	location.rates.Europe.EastSouthAsia	location.rates.WestCentralAsia.EastSouthAsia	location.rates.WestCentralAsia.Europe	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.WestCentralAsia	location.indicators.Americas.Africa	location.indicators.EastSouthAsia.Africa	location.indicators.Europe.Africa	location.indicators.WestCentralAsia.Africa	location.indicators.EastSouthAsia.Americas	location.indicators.Europe.Americas	location.indicators.WestCentralAsia.Americas	location.indicators.Europe.EastSouthAsia	location.indicators.WestCentralAsia.EastSouthAsia	location.indicators.WestCentralAsia.Europe	location.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	20.0
10000	0.13120632602085555	0.14326587457455783	1.3093384321268635	0.24467043136596017	0.29860117896114724	0.45987866197524885	1.250948143320331	0.9675859313514313	0.585395540380464	2.582236881116577	0.48285521213682137	2.5011090259534554	0.5686927928683678	1.6767594093668678	0.7099158393691462	3.322202803889023	0.059058184510925746	1.9761833708317382	2.755313064084585	3.668865421421202	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	9.0
20000	0.12618561753679516	0.7006850100241808	0.3708515458816231	0.34491614740795445	0.10907802414838864	1.2867525498892327	0.25202577857613273	1.1879889903910974	0.13225292113614126	0.4140516152661698	4.111294326203089	0.14852400903729368	0.16878008599870786	0.5099835324537972	0.1786516605171524	0.509550751589457	1.2020054494565107	1.338506219801245	0.6857729254404004	0.8559510607384061	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	11.0
30000	0.3732723948187465	0.13363073293391578	0.6551317780065775	0.0572646249229127	0.3164182184022183	1.5551620727504643	0.4416225145647488	0.8251404689726952	0.47066321519393967	1.0133430379812023	1.1893678258146072	0.2474943729754549	0.3156075657247586	0.7918552501850225	0.226962963645406	1.8067839219416857	1.4552738034979356	0.8709881420066473	2.341499999330615	2.229499537454085	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	11.0
40000	0.2775570870354113	3.809694967434631	0.800813675998061	3.0703891469068605	1.322078150254831	1.3643527005475065	0.20877199593212054	0.4276176492686281	0.6084265320660054	0.8069263282097261	0.7752603475901734	2.384143938655404	0.5857154420131206	0.6233735049406037	1.3449167971533575	0.7038837720790334	0.5031073272134008	1.2678061429908378	1.1327779872329977	0.8176866349073958	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	8.0
50000	0.14427529096281946	1.7575656814742207	0.7848679933155832	0.3517619284310424	0.3574453352888917	1.1645563313118583	3.026800758354805	1.0515289015262785	0.3963197197156155	0.8758206393134914	0.05849389089681798	0.19864996982779523	0.40230414752660515	0.6071828761471046	0.3246057893570959	1.8315032890587697	0.8790063549031293	0.9468013809707785	2.5976529392119554	2.231093170102532	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	11.0
60000	0.23778441952259613	0.03796558813621216	0.35591810545931435	0.23518296835766614	0.4378810387066828	0.2328737485438938	1.5610722354599784	1.3977532153189276	1.577482743743391	0.6623700993949014	1.3279604677575247	0.22072329889472428	0.009602556053006311	1.2528197205196314	1.0268768618487332	1.5198343094469668	3.378245601535817	1.0351322026136047	3.326166216306268	3.214617868812037	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	10.0
70000	0.07452928659625475	0.7436001507916273	0.5204195687375183	0.16644617521693097	0.8339618969835275	1.9079103039911807	0.2637032765580733	0.8792347606544293	0.0651954544676632	1.36677360137749	0.025941280024689747	4.448089536445989	0.6170748455798256	0.4604446312217345	0.9369399465201803	1.1330493911684034	0.5175900560577187	1.152974482319588	1.3946059446150736	1.651401440300088	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	9.0
80000	0.6443694799789157	0.5506333725443013	0.16856878791600377	0.8404987937042531	0.025959734990598306	0.5805005282418143	2.3014575599434135	0.47190520913899187	0.11022773230270975	0.5545183111702122	0.27678154811525457	0.19054397806466458	0.2569198761578233	0.5361309211171461	0.18689382676821054	1.3653756797155168	0.6873198431362266	0.4362794725209499	1.4196825262856494	1.2351152341136034	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	11.0
90000	1.7752329030760388	0.5386863231997114	0.5240558036635816	4.544757441008414	0.8418193832428578	1.2067267414316563	0.5521495022755689	0.734469364661885	0.28913562833244	1.6817653501249554	2.662784896307901	3.0447947556396646	0.7787152966849376	0.6710750208622132	0.630554860513273	2.186490641134603	0.10503146865379653	3.6737810043812757	1.8437029675989036	2.309397156791676	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	9.0
