# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Jun 09 02:30:18 CEST 2020 [seed=1587935552865]
# -seed 1587935552865 HBV-E_phylogeography.xml
state	location.rates.Africa.Americas	location.rates.Africa.Europe	location.rates.Americas.Europe	location.rates.Americas.Africa	location.rates.Europe.Africa	location.rates.Europe.Americas	location.indicators.Africa.Americas	location.indicators.Africa.Europe	location.indicators.Americas.Europe	location.indicators.Americas.Africa	location.indicators.Europe.Africa	location.indicators.Europe.Americas	location.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0
10000	0.7025774836512634	1.1054149165723754	4.106520562036773	0.30665684041597924	2.7902923950300402	0.833171807033631	1.0	1.0	0.0	1.0	0.0	1.0	4.0
20000	0.9566862192006695	1.5698896089458656	0.49818504019984217	0.665555586643457	1.226273128323835	0.22570810612522096	0.0	1.0	0.0	1.0	0.0	1.0	3.0
30000	0.5841029321837689	1.6351179268741036	1.9368524177448385	0.10530052555015317	0.6044495196567521	0.9003787626135827	0.0	1.0	0.0	1.0	1.0	1.0	4.0
40000	0.8314252994794525	3.4848870901796403	0.16101351528156274	0.30491459019964806	0.7409773910958519	0.03427884902702937	1.0	1.0	0.0	1.0	0.0	1.0	4.0
50000	0.23476248490615004	2.5118754808082864	0.045996019292813155	1.278578086347561	0.34418467719492934	0.23130441315753772	1.0	1.0	1.0	0.0	1.0	1.0	5.0
60000	0.6716470096863937	2.8676905610727035	0.498355745442204	0.03876270350370773	0.09171991826794951	0.34706637001577945	1.0	1.0	1.0	0.0	1.0	0.0	4.0
70000	1.8591631618485875	1.0832181175093005	0.8104600460420063	0.8995747004217014	0.09875862793333484	0.30126515066922815	0.0	1.0	0.0	1.0	1.0	1.0	4.0
80000	0.3223754792387619	2.780791509602789	0.5124055850929089	0.07450133863312679	0.06449887618126009	0.21715523545547666	1.0	1.0	1.0	0.0	1.0	1.0	5.0
90000	0.4037736078692286	2.3172418355056497	0.8277350984650054	0.4847244791074669	0.025490118193610693	0.135578336773431	1.0	1.0	0.0	1.0	0.0	1.0	4.0
100000	0.3828653522647227	0.9930389484170241	0.0183878389121084	0.01598461747744964	0.07292095604351581	2.5319174159033198	1.0	1.0	0.0	1.0	1.0	0.0	4.0
110000	0.4869240036219789	2.0818619346460236	0.24810541596586633	0.49049227731921025	0.8488148632171988	0.03495409606163746	1.0	1.0	1.0	1.0	0.0	1.0	5.0
120000	0.3769862367656932	3.4348513422989044	0.2819293677527464	0.7383590501014522	0.603421901413218	1.1248550016369228	1.0	1.0	0.0	1.0	1.0	0.0	4.0
130000	0.28091972664150244	0.8751172609815082	2.9827993312698697	0.703949640754937	0.14975795457258373	2.3285418860316622	1.0	1.0	0.0	1.0	1.0	0.0	4.0
140000	0.5371804905732843	2.786314566765526	0.5013788162861593	2.6382450490781206	1.2903609941913037	1.384527339790407	1.0	1.0	0.0	1.0	0.0	1.0	4.0
150000	0.224412065749494	2.625581440372919	0.5794204138733371	0.4484145334914383	0.009455495157452419	2.289983329410223	1.0	1.0	0.0	1.0	1.0	1.0	5.0
160000	1.8328371743561285	3.7105531944592482	3.5347379265847256	0.08699479148963257	0.7809761561827051	0.21062538262587283	1.0	1.0	1.0	1.0	1.0	0.0	5.0
170000	0.5390281448587966	1.097863363600484	0.6109375580749027	1.5382610774509862	1.028563252502797	0.2933609765522243	1.0	1.0	0.0	1.0	0.0	1.0	4.0
180000	1.6153059643280197	1.067477717075506	0.1098892498048174	2.997262416129596	0.3847909647976832	0.9232369210144729	1.0	1.0	1.0	1.0	1.0	0.0	5.0
