# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Jun 09 02:30:18 CEST 2020 [seed=1587935552865]
# -seed 1587935552865 HBV-E_phylogeography.xml
state	joint	prior	likelihood	location.clock.rate	location.meanRate	location.rates.Africa.Americas	location.rates.Africa.Europe	location.rates.Americas.Europe	location.rates.Americas.Africa	location.rates.Europe.Africa	location.rates.Europe.Americas	location.indicators.Africa.Americas	location.indicators.Africa.Europe	location.indicators.Americas.Europe	location.indicators.Americas.Africa	location.indicators.Europe.Africa	location.indicators.Europe.Americas	location.nonZeroRates	location.branchRates	location.treeLikelihood
0	-5722.450218676416	-5469.634843804673	-252.81537487174253	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0	0.0	-252.81537487174253
10000	-49.74249671185111	-7.563489098342823	-42.17900761350829	6.200587828463736E-4	6.200587828463735E-4	0.7025774836512634	1.1054149165723754	4.106520562036773	0.30665684041597924	2.7902923950300402	0.833171807033631	1.0	1.0	0.0	1.0	0.0	1.0	4.0	0.0	-42.17900761350829
20000	-46.265051363331246	-2.5552295577323694	-43.70982180559888	6.901752112374235E-4	6.90175211237424E-4	0.9566862192006695	1.5698896089458656	0.49818504019984217	0.665555586643457	1.226273128323835	0.22570810612522096	0.0	1.0	0.0	1.0	0.0	1.0	3.0	0.0	-43.70982180559888
30000	-46.691487424684524	-2.688591110751606	-44.002896313932915	5.969243881039306E-4	5.969243881039308E-4	0.5841029321837689	1.6351179268741036	1.9368524177448385	0.10530052555015317	0.6044495196567521	0.9003787626135827	0.0	1.0	0.0	1.0	1.0	1.0	4.0	0.0	-44.002896313932915
40000	-45.0888809447003	-2.6524615005901717	-42.43641944411013	5.683459471086765E-4	5.683459471086761E-4	0.8314252994794525	3.4848870901796403	0.16101351528156274	0.30491459019964806	0.7409773910958519	0.03427884902702937	1.0	1.0	0.0	1.0	0.0	1.0	4.0	0.0	-42.43641944411013
50000	-46.36138133036063	-5.287528404787894	-41.07385292557274	8.573529642912977E-4	8.573529642912965E-4	0.23476248490615004	2.5118754808082864	0.045996019292813155	1.278578086347561	0.34418467719492934	0.23130441315753772	1.0	1.0	1.0	0.0	1.0	1.0	5.0	0.0	-41.07385292557274
60000	-39.122270338441474	0.5898900582508428	-39.71216039669232	2.8405419967568723E-4	2.840541996756869E-4	0.6716470096863937	2.8676905610727035	0.498355745442204	0.03876270350370773	0.09171991826794951	0.34706637001577945	1.0	1.0	1.0	0.0	1.0	0.0	4.0	0.0	-39.71216039669232
70000	-48.282067642319944	-3.675129509229631	-44.60693813309032	7.893716361914865E-4	7.893716361914872E-4	1.8591631618485875	1.0832181175093005	0.8104600460420063	0.8995747004217014	0.09875862793333484	0.30126515066922815	0.0	1.0	0.0	1.0	1.0	1.0	4.0	0.0	-44.60693813309032
80000	-42.98929187559604	-0.6922051801239468	-42.29708669547209	4.1579489016541326E-4	4.1579489016541326E-4	0.3223754792387619	2.780791509602789	0.5124055850929089	0.07450133863312679	0.06449887618126009	0.21715523545547666	1.0	1.0	1.0	0.0	1.0	1.0	5.0	0.0	-42.29708669547209
90000	-42.112686766527645	-0.7813386997613883	-41.33134806676625	5.813776465743419E-4	5.81377646574342E-4	0.4037736078692286	2.3172418355056497	0.8277350984650054	0.4847244791074669	0.025490118193610693	0.135578336773431	1.0	1.0	0.0	1.0	0.0	1.0	4.0	0.0	-41.33134806676625
100000	-53.70451516006868	-6.0157111684755336	-47.68880399159315	5.267402887601869E-4	5.267402887601864E-4	0.3828653522647227	0.9930389484170241	0.0183878389121084	0.01598461747744964	0.07292095604351581	2.5319174159033198	1.0	1.0	0.0	1.0	1.0	0.0	4.0	0.0	-47.68880399159315
110000	-44.61299694279179	-2.4803688117543223	-42.132628131037464	6.472366237997846E-4	6.472366237997837E-4	0.4869240036219789	2.0818619346460236	0.24810541596586633	0.49049227731921025	0.8488148632171988	0.03495409606163746	1.0	1.0	1.0	1.0	0.0	1.0	5.0	0.0	-42.132628131037464
120000	-46.450585405060714	-1.0536025439251047	-45.39698286113561	2.160059086120043E-4	2.1600590861200423E-4	0.3769862367656932	3.4348513422989044	0.2819293677527464	0.7383590501014522	0.603421901413218	1.1248550016369228	1.0	1.0	0.0	1.0	1.0	0.0	4.0	0.0	-45.39698286113561
130000	-46.256915854985074	-2.559910681113143	-43.69700517387193	3.617927438960987E-4	3.6179274389609836E-4	0.28091972664150244	0.8751172609815082	2.9827993312698697	0.703949640754937	0.14975795457258373	2.3285418860316622	1.0	1.0	0.0	1.0	1.0	0.0	4.0	0.0	-43.69700517387193
140000	-49.20746053645724	-7.02948297764423	-42.17797755881301	8.926898482878235E-4	8.926898482878223E-4	0.5371804905732843	2.786314566765526	0.5013788162861593	2.6382450490781206	1.2903609941913037	1.384527339790407	1.0	1.0	0.0	1.0	0.0	1.0	4.0	0.0	-42.17797755881301
150000	-47.72044378311286	-3.483466137244242	-44.23697764586862	6.293473213949656E-4	6.293473213949643E-4	0.224412065749494	2.625581440372919	0.5794204138733371	0.4484145334914383	0.009455495157452419	2.289983329410223	1.0	1.0	0.0	1.0	1.0	1.0	5.0	0.0	-44.23697764586862
160000	-53.30435356144497	-9.119135521235503	-44.18521804020947	0.0015231878096550455	0.0015231878096550455	1.8328371743561285	3.7105531944592482	3.5347379265847256	0.08699479148963257	0.7809761561827051	0.21062538262587283	1.0	1.0	1.0	1.0	1.0	0.0	5.0	0.0	-44.18521804020947
170000	-50.73512273773837	-7.960627290104667	-42.774495447633704	0.0012101464919447918	0.0012101464919447916	0.5390281448587966	1.097863363600484	0.6109375580749027	1.5382610774509862	1.028563252502797	0.2933609765522243	1.0	1.0	0.0	1.0	0.0	1.0	4.0	0.0	-42.774495447633704
180000	-51.30075135751562	-4.870246614923952	-46.43050474259167	5.702117065491127E-4	5.702117065491136E-4	1.6153059643280197	1.067477717075506	0.1098892498048174	2.997262416129596	0.3847909647976832	0.9232369210144729	1.0	1.0	1.0	1.0	1.0	0.0	5.0	0.0	-46.43050474259167
190000	-45.71604179650172	-1.7261926696235737	-43.98984912687815	4.010013776612794E-4	4.010013776612794E-4	0.8945244380542392	3.0294624439860174	0.03840559440226247	0.24316279336696733	1.2825666455016522	0.6389217502036891	0.0	1.0	0.0	1.0	0.0	1.0	3.0	0.0	-43.98984912687815
200000	-44.213772616474586	-3.09070274351681	-41.12306987295778	0.0011943863520128858	0.0011943863520128858	0.19181927049298741	0.9431024195172785	0.6601128325615049	2.1627038304727657	0.3119796974424016	0.0016631202151962277	1.0	1.0	1.0	0.0	1.0	0.0	4.0	0.0	-41.12306987295778
210000	-47.49441664953839	-8.302668291471802	-39.19174835806658	0.0017621277104263972	0.0017621277104263979	0.722299997946034	2.665387937703099	0.6026248537694338	0.8958911483888834	0.6353686112082042	0.9126387832890729	1.0	1.0	0.0	1.0	1.0	1.0	5.0	0.0	-39.19174835806658
220000	-48.63743662190743	-4.911700947859538	-43.7257356740479	0.0010866379257083174	0.0010866379257083187	0.1271450719358518	1.0172617097977232	0.1920245252555679	3.165818364845407	1.0478896831399063	0.11569472465715842	1.0	1.0	0.0	1.0	1.0	0.0	4.0	0.0	-43.7257356740479
230000	-47.444348032870536	-4.2101606409111625	-43.234187391959374	8.818548274613499E-4	8.818548274613496E-4	1.0698312698056338	2.3204752537189908	0.22649300959540974	0.18567142856487204	0.07484311262456372	2.0997502756551922	1.0	1.0	1.0	0.0	1.0	1.0	5.0	0.0	-43.234187391959374
240000	-41.84683313086421	2.150805100141842	-43.99763823100606	2.7734357079450367E-4	2.773435707945033E-4	0.21989556136549937	0.5416647216602389	0.5509784328139429	0.10633040876179298	0.022009674787264608	0.21275987748783098	1.0	1.0	0.0	1.0	1.0	1.0	5.0	0.0	-43.99763823100606
250000	-42.026560816102375	-2.3373597006424323	-39.689201115459944	7.768646630389811E-4	7.768646630389806E-4	1.1242342799441096	2.556739055333202	0.1554888462864915	0.8813537017139125	0.06496007551634465	0.40074234729662167	1.0	1.0	1.0	0.0	1.0	0.0	4.0	0.0	-39.689201115459944
260000	-48.0601247641314	-5.300462591866651	-42.759662172264754	5.150165384147846E-4	5.150165384147859E-4	0.703969130504814	1.312405967968561	3.283735954681379	0.4335419815205618	2.5510134929610726	0.7337714416631559	1.0	1.0	0.0	1.0	0.0	1.0	4.0	0.0	-42.759662172264754
270000	-47.735144494758586	-4.789616699473456	-42.94552779528513	0.0010196664743583159	0.0010196664743583154	0.0461874630746512	1.9765776460329045	0.0761706052300876	0.00543793274714819	2.3388148690008332	1.0914918063661123	1.0	1.0	0.0	1.0	0.0	1.0	4.0	0.0	-42.94552779528513
280000	-40.24808353164494	-0.2953501185250649	-39.95273341311987	5.881025334316094E-4	5.881025334316091E-4	0.27940166924986637	1.3048547543044047	0.045398580429578714	0.3342299578422786	0.15530145562611375	0.9697069863689285	1.0	1.0	1.0	1.0	1.0	0.0	5.0	0.0	-39.95273341311987
290000	-48.77679186591429	-5.655009430041456	-43.12178243587284	2.3421081662647884E-4	2.3421081662647892E-4	0.14336565621126202	5.828649912178758	0.12135455192929205	0.6536431637693273	0.24472415263554356	2.855350128020886	1.0	1.0	1.0	1.0	1.0	0.0	5.0	0.0	-43.12178243587284
300000	-51.12311874059826	-8.96417418441268	-42.15894455618558	0.0011713691097625393	0.001171369109762537	0.5483725490534596	1.6074883241738323	0.8613262967052385	0.016441149596876262	0.13986970502401203	2.4316764468143655	1.0	1.0	1.0	1.0	1.0	1.0	6.0	0.0	-42.15894455618558
310000	-49.63999030772351	-5.9073083358987315	-43.732681971824775	7.803355749051862E-4	7.803355749051879E-4	0.4488463483475196	3.125611071321311	1.4570035258557938	0.6903837804656568	0.3666019478485306	0.21616744845660124	1.0	1.0	1.0	1.0	0.0	1.0	5.0	0.0	-43.732681971824775
320000	-43.31818449471657	-2.1083686887281923	-41.20981580598838	6.764277622154528E-4	6.764277622154518E-4	0.5666043597508352	2.3379128218903684	0.3155546577562592	0.7949334154790026	0.1827671210108695	1.2000632790131243	1.0	1.0	0.0	1.0	0.0	1.0	4.0	0.0	-41.20981580598838
330000	-51.19662970675725	-7.681755118623325	-43.51487458813393	6.69507195026638E-4	6.695071950266394E-4	0.3361954110485527	3.388813227617107	2.681643224803394	1.36296265440955	0.793041443961842	0.5878594696545943	1.0	1.0	1.0	0.0	1.0	1.0	5.0	0.0	-43.51487458813393
340000	-49.63867628686937	-6.175071887450866	-43.4636043994185	5.577784905524553E-4	5.577784905524549E-4	0.6086394512657013	3.4920056553408516	0.4960161969253675	2.341312014227653	0.0914807372736537	1.697328679180192	1.0	1.0	1.0	1.0	0.0	1.0	5.0	0.0	-43.4636043994185
350000	-43.47389021446468	0.40227537911692535	-43.876165593581604	5.348729742032265E-4	5.348729742032262E-4	0.1713343083780484	1.9528376923933275	0.24180247644012182	0.08308261865884244	1.057024994576191	0.3795334087170964	1.0	1.0	0.0	1.0	0.0	1.0	4.0	0.0	-43.876165593581604
360000	-62.32776906739872	-12.853158151356167	-49.47461091604255	0.0011183826278208092	0.00111838262782081	0.44980798823158735	0.3332146682027731	7.264520918066674	2.5447028805883973	0.7153666143247768	2.1827819834829	1.0	1.0	0.0	1.0	1.0	1.0	5.0	0.0	-49.47461091604255
