# BEAST v1.10.5 Prerelease #23570d1
# Generated Sun Apr 26 23:12:34 CEST 2020 [seed=1587935552865]
# -save_every 100000 -save_state checkpoint.state -beagle_gpu -overwrite HBV-E_phylogeography.xml
state	location.rates.Africa.Americas	location.rates.Africa.Europe	location.rates.Americas.Europe	location.rates.Americas.Africa	location.rates.Europe.Africa	location.rates.Europe.Americas	location.indicators.Africa.Americas	location.indicators.Africa.Europe	location.indicators.Americas.Europe	location.indicators.Americas.Africa	location.indicators.Europe.Africa	location.indicators.Europe.Americas	location.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0
10000	0.7771746271054404	1.7825893783229756	0.23194491830492098	2.701579966307246	1.9182086264886036	0.4390603888650439	1.0	1.0	1.0	1.0	1.0	0.0	5.0
20000	0.3892567656709776	3.262135825044594	0.7812478650734791	0.39822071369943296	0.6736762558255346	1.8327636516622683	1.0	1.0	1.0	0.0	1.0	0.0	4.0
30000	0.28155004785861826	2.3467259623184114	0.3028163084689868	1.0678221579104616	1.5860235285501765	0.29045608918867466	1.0	1.0	1.0	1.0	0.0	1.0	5.0
40000	1.0476535964344114	3.1258185381948294	2.5842187725466745	0.1758910656044369	2.2014888347995507	1.412043059679033	1.0	1.0	0.0	1.0	1.0	0.0	4.0
50000	0.2951301280115781	1.4137344592447258	3.5644539524312253	0.5669244809651924	0.08057680051927382	0.03349097750215876	1.0	1.0	1.0	1.0	1.0	0.0	5.0
60000	0.38110927402543504	1.292806030993025	1.8290427093584605	1.0251850920697554	0.8814839205226308	0.4234668030228806	1.0	1.0	1.0	0.0	1.0	1.0	5.0
70000	1.0728043203293378	3.2517043904682015	1.0269990435232648	0.12506179197810485	3.11690678879848	0.8815132637188761	1.0	1.0	1.0	1.0	0.0	1.0	5.0
80000	0.26909249237132926	2.835482629176789	0.027522224232420626	0.2700940173338587	0.35201294622949175	0.8287465295033483	1.0	1.0	1.0	1.0	1.0	1.0	6.0
90000	1.4244345315527565	2.8149757305611343	2.1948815740752257	0.9112977259898127	1.4240505084261563	0.6541542666547612	1.0	1.0	1.0	0.0	1.0	1.0	5.0
