# BEAST v1.10.5 Prerelease #23570d1
# Generated Sun Apr 26 23:12:34 CEST 2020 [seed=1587935552865]
# -save_every 100000 -save_state checkpoint.state -beagle_gpu -overwrite HBV-E_phylogeography.xml
state	joint	prior	likelihood	location.clock.rate	location.meanRate	location.rates.Africa.Americas	location.rates.Africa.Europe	location.rates.Americas.Europe	location.rates.Americas.Africa	location.rates.Europe.Africa	location.rates.Europe.Americas	location.indicators.Africa.Americas	location.indicators.Africa.Europe	location.indicators.Americas.Europe	location.indicators.Americas.Africa	location.indicators.Europe.Africa	location.indicators.Europe.Americas	location.nonZeroRates	location.branchRates	location.treeLikelihood
0	-5722.450218676416	-5469.634843804673	-252.81537487174253	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0	0.0	-252.81537487174253
10000	-48.922098026292545	-7.203502190581647	-41.7185958357109	9.369115812856668E-4	9.369115812856646E-4	0.7771746271054404	1.7825893783229756	0.23194491830492098	2.701579966307246	1.9182086264886036	0.4390603888650439	1.0	1.0	1.0	1.0	1.0	0.0	5.0	0.0	-41.7185958357109
20000	-46.04862183099055	-5.149820738337587	-40.89880109265296	7.671104065400363E-4	7.671104065400374E-4	0.3892567656709776	3.262135825044594	0.7812478650734791	0.39822071369943296	0.6736762558255346	1.8327636516622683	1.0	1.0	1.0	0.0	1.0	0.0	4.0	0.0	-40.89880109265296
30000	-48.67865094799136	-6.436273503749842	-42.24237744424152	0.0011660698216337487	0.0011660698216337468	0.28155004785861826	2.3467259623184114	0.3028163084689868	1.0678221579104616	1.5860235285501765	0.29045608918867466	1.0	1.0	1.0	1.0	0.0	1.0	5.0	0.0	-42.24237744424152
40000	-52.58067604481363	-5.359161570949851	-47.22151447386378	3.3481751055354026E-4	3.348175105535403E-4	1.0476535964344114	3.1258185381948294	2.5842187725466745	0.1758910656044369	2.2014888347995507	1.412043059679033	1.0	1.0	0.0	1.0	1.0	0.0	4.0	0.0	-47.22151447386378
50000	-49.68714483748036	-4.614478098931139	-45.07266673854922	6.932738755286823E-4	6.932738755286815E-4	0.2951301280115781	1.4137344592447258	3.5644539524312253	0.5669244809651924	0.08057680051927382	0.03349097750215876	1.0	1.0	1.0	1.0	1.0	0.0	5.0	0.0	-45.07266673854922
60000	-50.071775606104545	-5.90287667709069	-44.16889892901386	7.669572705049006E-4	7.669572705048987E-4	0.38110927402543504	1.292806030993025	1.8290427093584605	1.0251850920697554	0.8814839205226308	0.4234668030228806	1.0	1.0	1.0	0.0	1.0	1.0	5.0	0.0	-44.16889892901386
70000	-46.89327441519742	-6.24064262712716	-40.65263178807026	4.442103134625266E-4	4.4421031346252645E-4	1.0728043203293378	3.2517043904682015	1.0269990435232648	0.12506179197810485	3.11690678879848	0.8815132637188761	1.0	1.0	1.0	1.0	0.0	1.0	5.0	0.0	-40.65263178807026
80000	-54.76886465466002	-9.63563647657737	-45.13322817808265	8.753996050853507E-4	8.753996050853504E-4	0.26909249237132926	2.835482629176789	0.027522224232420626	0.2700940173338587	0.35201294622949175	0.8287465295033483	1.0	1.0	1.0	1.0	1.0	1.0	6.0	0.0	-45.13322817808265
90000	-50.74954728456023	-8.93396193630233	-41.8155853482579	8.718086363769856E-4	8.71808636376986E-4	1.4244345315527565	2.8149757305611343	2.1948815740752257	0.9112977259898127	1.4240505084261563	0.6541542666547612	1.0	1.0	1.0	0.0	1.0	1.0	5.0	0.0	-41.8155853482579
100000	-41.20755345778033	-2.505675967660898	-38.70187749011943	5.906051811509365E-4	5.906051811509362E-4	0.30443486132610637	2.092392237633699	0.3247307863554484	0.038905409484743254	2.81580075226009	0.030470249073206054	1.0	1.0	0.0	1.0	0.0	1.0	4.0	0.0	-38.70187749011943
110000	-52.66889355696934	-11.190162965412847	-41.47873059155649	4.120612731734344E-4	4.120612731734351E-4	0.47834010924792897	1.2016949592547246	1.7997271199512688	0.04192596476623863	3.2484534316119023	0.16550739890240096	1.0	1.0	0.0	1.0	1.0	1.0	5.0	0.0	-41.47873059155649
120000	-51.819650093885286	0.12463812235652938	-51.944288216241816	1.0923102907692774E-4	1.0923102907692774E-4	0.6751655541084945	2.113463197558921	0.6084138926188803	1.1145882255956023	1.2966972072764265	0.5765844352758044	1.0	1.0	0.0	1.0	0.0	1.0	4.0	0.0	-51.944288216241816
130000	-44.052249411819936	-2.193073599909422	-41.85917581191051	9.405949761682481E-4	9.40594976168251E-4	0.32012029829949945	0.9841425826649158	0.47965924947724714	0.8961852719575686	0.948056333802703	0.9362305004098509	1.0	1.0	1.0	0.0	1.0	0.0	4.0	0.0	-41.85917581191051
140000	-45.9871463007687	-4.795368310398193	-41.191777990370504	7.112181293063465E-4	7.11218129306346E-4	0.7249636326861226	4.652811105874571	0.47990712629645366	0.3846704191527308	1.010497184375473	0.7174765981882478	1.0	1.0	1.0	0.0	1.0	0.0	4.0	0.0	-41.191777990370504
150000	-45.744735196625186	-4.9377663460481465	-40.806968850577036	0.0011019818159059935	0.0011019818159059913	0.08431609913327731	1.1826136279213801	0.3449396820154271	0.1923946166817288	0.0956624184944554	1.0306018912356134	1.0	1.0	1.0	1.0	1.0	1.0	6.0	0.0	-40.806968850577036
160000	-50.815239753054726	-7.2018415467580725	-43.61339820629665	9.522577610748137E-4	9.522577610748123E-4	3.0092513876003117	2.8978367050866316	1.4285752497015716	1.0235501971736714	0.3869439161942436	0.4462748150475068	1.0	1.0	0.0	1.0	0.0	1.0	4.0	0.0	-43.61339820629665
170000	-47.1624038687151	-4.973153758861334	-42.189250109853766	6.051661643223607E-4	6.051661643223616E-4	0.22905213569549202	1.1174300216144146	5.699598200172096	0.1559851759822567	0.018812588537270282	1.1365884500371501	1.0	1.0	0.0	1.0	0.0	1.0	4.0	0.0	-42.189250109853766
180000	-45.3898964831617	-3.991688586701353	-41.39820789646035	7.682647139413631E-4	7.682647139413637E-4	0.20270844863394552	1.5453459726295784	1.3321153802427401	0.6305397534088779	2.221935721843102	1.1542469723588138	1.0	1.0	0.0	1.0	1.0	0.0	4.0	0.0	-41.39820789646035
190000	-43.38036829709467	-2.848249711263426	-40.53211858583124	7.887453070017523E-4	7.887453070017522E-4	0.18170811881613363	1.6798659589001794	1.1673240557322135	0.33235561285093823	2.218858854550931	0.1930925128942132	1.0	1.0	0.0	1.0	0.0	1.0	4.0	0.0	-40.53211858583124
200000	-43.17914920453877	-4.8544193747531015	-38.32472982978567	6.015595111951675E-4	6.015595111951677E-4	1.1176624095911454	4.710965470607185	1.536908586628841	0.15534128456865423	0.3457972351899833	0.1109228283065711	1.0	1.0	0.0	1.0	1.0	0.0	4.0	0.0	-38.32472982978567
210000	-48.77786576629368	-7.76641170330232	-41.01145406299136	6.235728851563757E-4	6.235728851563758E-4	0.28792228980684265	4.211011934958788	1.3012942768151026	1.7495520331145438	2.2751863358046385	1.3285774068619107	1.0	1.0	0.0	1.0	1.0	0.0	4.0	0.0	-41.01145406299136
