#node	date	numeric date
NODE_0000002	-5549-06-27	-5548.511320
LT992447.1-RISE387/Russia/-2264	-2264-01-01	-2264.000000
NODE_0000206	-3815-09-04	-3814.322639
LT992448.1-RISE386/Russia/-2100	-2100-01-01	-2100.000000
NODE_0000205	-2557-08-18	-2556.368738
LT992441.1-DA195/Hungary/-627	-627-01-01	-627.000000
NODE_0000204	-1793-08-13	-1792.383548
NODE_0000207	-597-05-03	-596.661566
A/MB135/Belgium/2009/Congo	2009-01-01	2009.000000
NODE_0000208	-085-05-02	-84.664328
A/MB137/Belgium/2010/Congo	2010-01-01	2010.000000
NODE_0000209	0094-04-07	94.268129
NODE_0000210	1524-03-13	1524.198720
A6/GQ331048/Belgium/2001/Belgium	2001-01-01	2001.000000
NODE_0000211	1973-10-22	1973.808119
A6/GQ331047/Belgium/1998/Belgium	1998-01-01	1998.000000
A6/EU859952/Belgium/1998/Belgium	1998-01-01	1998.000000
NODE_0000212	0648-12-04	648.926073
NODE_0000213	1872-01-02	1872.007063
A/MB120/Belgium/2009/Congo	2009-01-01	2009.000000
A/MB22/Belgium/2009/Congo	2009-01-01	2009.000000
NODE_0000214	0698-04-27	698.323062
A/MB142/Belgium/2010/Congo	2010-01-01	2010.000000
NODE_0000215	0833-12-26	833.987687
A/MB38/Belgium/2009/Congo	2009-01-01	2009.000000
A6/GQ331046/Belgium/2006/Belgium	2006-01-01	2006.000000
NODE_0000203	-1597-06-02	-1596.579702
LT992440.1-DA119/Slovakia/451	0451-01-01	451.000000
NODE_0000202	-1551-03-03	-1550.829516
NODE_0000144	-1265-12-11	-1264.052845
NODE_0000145	-984-08-04	-983.405926
NODE_0000146	0437-07-11	437.528017
A/FN545826/Cameroon/2005/Cameroon	2005-01-01	2005.000000
A/FJ349296/Gabon/2004/Gabon	2004-01-01	2004.000000
NODE_0000147	-766-09-14	-765.294467
NODE_0000148	-747-06-13	-746.549610
NODE_0000149	-583-06-25	-582.518017
NODE_0000150	-158-12-07	-157.065964
A/MB89/Belgium/2007/Mauritania	2007-01-01	2007.000000
NODE_0000151	0599-03-15	599.205337
A3/MB16/Belgium/2009/Guinea	2009-01-01	2009.000000
NODE_0000152	1523-09-05	1523.680259
A/MB10/Belgium/2008/IvoryCoast	2008-01-01	2008.000000
A/MB17/Belgium/2009/Rwanda	2009-01-01	2009.000000
NODE_0000153	0066-01-30	66.084529
A/FN545837/Cameroon/2007/Cameroon	2007-01-01	2007.000000
NODE_0000154	0534-09-04	534.678046
NODE_0000155	1698-01-10	1698.029318
A/FN545833/Cameroon/2007/Cameroon	2007-01-01	2007.000000
A/FN545834/Cameroon/2007/Cameroon	2007-01-01	2007.000000
NODE_0000156	0785-07-15	785.537092
NODE_0000157	1018-07-14	1018.534555
A/FN545839/Cameroon/2007/Cameroon	2007-01-01	2007.000000
NODE_0000158	1535-04-26	1535.318471
AD/FN545828/Cameroon/2005/Cameroon	2005-01-01	2005.000000
A/FN545835/Cameroon/2007/Cameroon	2007-01-01	2007.000000
NODE_0000159	0823-05-17	823.375776
A/FN545832/Cameroon/2007/Cameroon	2007-01-01	2007.000000
NODE_0000160	0947-04-23	947.311328
A/FN545840/Cameroon/2007/Cameroon	2007-01-01	2007.000000
NODE_0000161	1032-12-18	1032.964126
AD/FN545829/Cameroon/2005/Cameroon	2005-01-01	2005.000000
AD/FN545830/Cameroon/2005/Cameroon	2005-01-01	2005.000000
NODE_0000162	-642-03-08	-641.813870
NODE_0000163	0464-05-10	464.355948
A3/AB194950/Cameroon/1994/Cameroon	1994-01-01	1994.000000
NODE_0000164	0674-11-12	674.866484
A3/AM184125/Gabon/2005/Gabon	2005-01-01	2005.000000
NODE_0000165	0862-09-23	862.730230
A/FN545838/Cameroon/2007/Cameroon	2007-01-01	2007.000000
A3/AM184126/Gabon/2005/Gabon	2005-01-01	2005.000000
NODE_0000166	-145-11-02	-144.159831
NODE_0000167	-084-07-10	-83.475635
A/FN545825/Nigeria/2005/Nigeria	2005-01-01	2005.000000
NODE_0000168	0420-04-19	420.300391
A/MB73/Belgium/2007/Congo	2007-01-01	2007.000000
NODE_0000169	0570-07-12	570.529045
A/MB105/Belgium/2008/Congo	2008-01-01	2008.000000
A/MB144/Belgium/2010/Nigeria	2010-01-01	2010.000000
NODE_0000170	-017-10-15	-16.210915
NODE_0000171	0525-05-12	525.363945
A3/HM363612/Nigeria/2007/Nigeria	2007-01-01	2007.000000
A3/HM363613/Nigeria/2007/Nigeria	2007-01-01	2007.000000
NODE_0000172	0824-06-07	824.433050
A/MB52/Belgium/2009/Cameroon	2009-01-01	2009.000000
NODE_0000173	0881-09-30	881.749453
A3/AB194952/Cameroon/1994/Cameroon	1994-01-01	1994.000000
NODE_0000174	1016-10-19	1016.801217
A/MB55/Belgium/2009/Cameroon	2009-01-01	2009.000000
A3/AB194951/Cameroon/1994/Cameroon	1994-01-01	1994.000000
NODE_0000175	0271-12-03	271.924532
A5/FJ692555/Niger/2004/Niger	2004-01-01	2004.000000
NODE_0000176	0487-03-30	487.244128
NODE_0000177	0881-01-25	881.069755
A5/FJ692554/Niger/2004/Niger	2004-01-01	2004.000000
NODE_0000178	0999-07-02	999.503647
A/FN545836/Cameroon/2007/Cameroon	2007-01-01	2007.000000
NODE_0000179	1112-01-08	1112.022154
A/FN545831/Cameroon/2007/Cameroon	2007-01-01	2007.000000
A5/FJ692556/Niger/2004/Niger	2004-01-01	2004.000000
NODE_0000180	0676-11-29	676.914264
NODE_0000181	1120-12-22	1120.975802
A5/MB4/Belgium/2008/Congo	2008-01-01	2008.000000
A/MB32/Belgium/2009/Congo	2009-01-01	2009.000000
NODE_0000182	1203-10-25	1203.816389
NODE_0000191	2006-01-01	2006.000000
A5/FJ692609/Haiti/2006/Haiti	2006-01-01	2006.000000
A5/FJ692610/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000183	1239-11-03	1239.842656
A5/FJ692613/Haiti/2006/Haiti	2006-01-01	2006.000000
A5/FJ692600/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000185	1277-12-11	1277.946701
A5/FJ692594/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000186	1304-07-07	1304.516372
A5/FJ692596/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000187	1350-04-04	1350.257472
A5/FJ692607/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000188	1374-07-03	1374.506307
A5/FJ692604/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000189	1434-12-21	1434.973656
A5/FJ692595/Haiti/2006/Haiti	2006-01-01	2006.000000
A5/FJ692597/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000192	1309-03-20	1309.218787
A5/FJ692593/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000201	1399-11-13	1399.869599
A5/FJ692603/Haiti/2006/Haiti	2006-01-01	2006.000000
A5/FJ692611/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000196	1411-04-06	1411.264508
