#node	date	numeric date
NODE_0000005	-1331-02-20	-1330.858736
NODE_0000130	-1045-11-21	-1044.109676
LT992439.1DA27/Kazakhstan/407/Kazakhstan/	0407-01-01	407.000000
NODE_0000131	-025-04-08	-24.730328
D5/GQ205380/India/2007/India/	2007-01-01	2007.000000
NODE_0000132	0081-11-02	81.840400
D/JN664923/India/2010/India/	2010-01-01	2010.000000
NODE_0000133	0283-05-03	283.336917
D/JN664947/India/2010/India/	2010-01-01	2010.000000
NODE_0000134	0573-09-18	573.717171
D/JN664929/India/2010/India/	2010-01-01	2010.000000
NODE_0000135	0640-03-19	640.215204
NODE_0000136	0731-05-25	731.398128
D/JN664932/India/2010/India/	2010-01-01	2010.000000
D5/GQ205379/India/2007/India/	2007-01-01	2007.000000
NODE_0000137	0727-12-07	727.933652
NODE_0000138	0941-07-26	941.567764
D/JN664940/India/2010/India/	2010-01-01	2010.000000
NODE_0000139	0976-05-24	976.394724
D/JN664926/India/2010/India/	2010-01-01	2010.000000
NODE_0000140	1048-08-10	1048.608608
D/JN664924/India/2010/India/	2010-01-01	2010.000000
D/JN664934/India/2010/India/	2010-01-01	2010.000000
NODE_0000141	1002-05-11	1002.359865
NODE_0000142	1550-05-04	1550.340618
D5/GQ205383/India/2008/India/	2008-01-01	2008.000000
D5/GQ205384/India/2008/India/	2008-01-01	2008.000000
NODE_0000143	1194-07-28	1194.572247
NODE_0000144	1692-11-07	1692.854026
D5/GQ205381/India/2008/India/	2008-01-01	2008.000000
D5/GQ205382/India/2008/India/	2008-01-01	2008.000000
NODE_0000145	1442-03-27	1442.235880
NODE_0000146	1463-01-22	1463.062241
D5/GQ205389/India/2008/India/	2008-01-01	2008.000000
NODE_0000147	1636-10-06	1636.765360
D5/GQ205388/India/2008/India/	2008-01-01	2008.000000
NODE_0000148	1773-01-02	1773.007263
D/JN664915/India/2010/India/	2010-01-01	2010.000000
D/JN664925/India/2010/India/	2010-01-01	2010.000000
NODE_0000149	1640-10-05	1640.762703
D5/GQ205385/India/2008/India/	2008-01-01	2008.000000
NODE_0000150	1761-01-21	1761.059900
D5/GQ205377/India/2007/India/	2007-01-01	2007.000000
NODE_0000151	1858-04-15	1858.290014
D5/GQ205378/India/2007/India/	2007-01-01	2007.000000
D5/GQ205386/India/2008/India/	2008-01-01	2008.000000
D5/GQ205387/India/2008/India/	2008-01-01	2008.000000
NODE_0000129	-1133-12-01	-1132.080813
LT992444.1DA51/Kyrgyzstan/-280/Kyrgyzstan/	-280-01-01	-280.000000
NODE_0000128	-764-12-20	-763.029781
NODE_0000153	-334-09-12	-333.300695
NODE_0000154	0132-11-05	132.847957
D6/KF170740/Sudan/2008/Sudan/	2008-01-01	2008.000000
NODE_0000155	0193-11-13	193.869917
NODE_0000156	0280-05-17	280.377314
NODE_0000157	0401-08-13	401.618659
D/GQ161754/Ghana/2000/Ghana/	2000-01-01	2000.000000
D7/FJ904433/Tunisia/2005/Tunisia/	2005-01-01	2005.000000
NODE_0000158	0791-12-25	791.985006
D/FJ349207/Belgium/1998/Belgium/	1998-01-01	1998.000000
NODE_0000159	0912-09-22	912.726966
D7/FJ904406/Tunisia/2006/Tunisia/	2006-01-01	2006.000000
NODE_0000160	0936-09-09	936.692448
D7/FJ904425/Tunisia/2006/Tunisia/	2006-01-01	2006.000000
NODE_0000161	0969-04-29	969.328107
D7/FJ904440/Tunisia/2006/Tunisia/	2006-01-01	2006.000000
NODE_0000162	1075-03-19	1075.215954
D7/FJ904400/Tunisia/2006/Tunisia/	2006-01-01	2006.000000
D7/FJ904441/Tunisia/2006/Tunisia/	2006-01-01	2006.000000
NODE_0000163	0468-05-13	468.365578
NODE_0000164	1337-12-24	1337.982570
D/G10414a/Belgium/1992/Belgium/	1992-01-01	1992.000000
D/MB116/Belgium/2008/Congo/	2008-01-01	2008.000000
NODE_0000165	0558-08-04	558.593732
NODE_0000166	0689-03-26	689.232818
NODE_0000167	0895-04-25	895.316292
D7/FJ904397/Tunisia/2006/Tunisia/	2006-01-01	2006.000000
D7/FJ904442/Tunisia/2005/Tunisia/	2005-01-01	2005.000000
NODE_0000168	0829-07-06	829.512117
D7/FJ904436/Tunisia/2006/Tunisia/	2006-01-01	2006.000000
NODE_0000169	0977-12-30	977.997728
D7/FJ904428/Tunisia/2006/Tunisia/	2006-01-01	2006.000000
D7/FJ904439/Tunisia/2006/Tunisia/	2006-01-01	2006.000000
NODE_0000170	0742-03-08	742.185830
D7/FJ904403/Tunisia/2006/Tunisia/	2006-01-01	2006.000000
NODE_0000172	0828-07-29	828.577380
D7/FJ904404/Tunisia/2006/Tunisia/	2006-01-01	2006.000000
NODE_0000173	0921-02-08	921.106815
D7/FJ904413/Tunisia/2006/Tunisia/	2006-01-01	2006.000000
NODE_0000174	0985-08-11	985.610789
D7/FJ904394/Tunisia/2005/Tunisia/	2005-01-01	2005.000000
NODE_0000175	1189-01-02	1189.007100
D7/FJ904401/Tunisia/2006/Tunisia/	2006-01-01	2006.000000
D7/FJ904438/Tunisia/2006/Tunisia/	2006-01-01	2006.000000
NODE_0000176	0806-04-03	806.255643
D7/FJ904395/Tunisia/2006/Tunisia/	2006-01-01	2006.000000
NODE_0000178	0943-10-31	943.834835
D7/FJ904396/Tunisia/2006/Tunisia/	2006-01-01	2006.000000
D7/FJ904435/Tunisia/2006/Tunisia/	2006-01-01	2006.000000
NODE_0000179	0837-06-03	837.424267
NODE_0000180	0868-08-31	868.666857
NODE_0000181	1040-06-27	1040.488351
D7/FJ904430/Tunisia/2005/Tunisia/	2005-01-01	2005.000000
D7/FJ904447/Tunisia/2006/Tunisia/	2006-01-01	2006.000000
NODE_0000182	0924-05-27	924.403548
D7/FJ904407/Tunisia/2006/Tunisia/	2006-01-01	2006.000000
D7/FJ904419/Tunisia/2006/Tunisia/	2006-01-01	2006.000000
NODE_0000184	1087-02-02	1087.091039
D7/FJ904408/Tunisia/2006/Tunisia/	2006-01-01	2006.000000
D7/FJ904410/Tunisia/2006/Tunisia/	2006-01-01	2006.000000
NODE_0000185	0914-03-05	914.176132
NODE_0000186	0985-07-24	985.561963
D1/FJ904444/Tunisia/2006/Tunisia/	2006-01-01	2006.000000
NODE_0000187	1887-06-30	1887.496061
D7/FJ904416/Tunisia/2006/Tunisia/	2006-01-01	2006.000000
D7/FJ904417/Tunisia/2006/Tunisia/	2006-01-01	2006.000000
NODE_0000188	0931-08-02	931.586289
NODE_0000189	1068-09-16	1068.710754
D7/FJ904398/Tunisia/2005/Tunisia/	2005-01-01	2005.000000
D7/FJ904437/Tunisia/2006/Tunisia/	2006-01-01	2006.000000
NODE_0000190	1005-09-03	1005.675069
D7/FJ904405/Tunisia/2006/Tunisia/	2006-01-01	2006.000000
D7/FJ904414/Tunisia/2006/Tunisia/	2006-01-01	2006.000000
NODE_0000191	0197-04-20	197.301961
NODE_0000192	1169-01-07	1169.021863
D4/KJ470891/Brazil/2008/Brazil/	2008-01-01	2008.000000
NODE_0000193	1210-11-05	1210.847796
D4/KJ470898/Brazil/2010/Brazil/	2010-01-01	2010.000000
NODE_0000194	1254-05-29	1254.409483
D4/KJ470885/Brazil/2010/Brazil/	2010-01-01	2010.000000
NODE_0000195	1273-12-27	1273.990361
D4/KJ470897/Brazil/2008/Brazil/	2008-01-01	2008.000000
NODE_0000196	1296-02-26	1296.157457
D4/KJ470892/Brazil/2008/Brazil/	2008-01-01	2008.000000
NODE_0000197	1426-04-05	1426.262045
D4/KJ470893/Brazil/2009/Brazil/	2009-01-01	2009.000000
D4/KJ470896/Brazil/2009/Brazil/	2009-01-01	2009.000000
NODE_0000199	1305-01-03	1305.008543
NODE_0000200	1423-01-31	1423.085035
D4/KJ470894/Brazil/2010/Brazil/	2010-01-01	2010.000000
D4/KJ470895/Brazil/2009/Brazil/	2009-01-01	2009.000000
NODE_0000201	1774-03-16	1774.205859
D4/KJ470887/Brazil/2009/Brazil/	2009-01-01	2009.000000
NODE_0000203	1890-01-10	1890.028888
D4/KJ470884/Brazil/2010/Brazil/	2010-01-01	2010.000000
D4/KJ470886/Brazil/2009/Brazil/	2009-01-01	2009.000000
NODE_0000204	1944-07-01	1944.500548
D4/KJ470890/Brazil/2009/Brazil/	2009-01-01	2009.000000
NODE_0000205	1959-08-05	1959.594190
D4/KJ470888/Brazil/2009/Brazil/	2009-01-01	2009.000000
D4/KJ470889/Brazil/2009/Brazil/	2009-01-01	2009.000000
NODE_0000206	0431-02-10	431.113183
NODE_0000207	0498-07-19	498.549145
NODE_0000208	1056-04-04	1056.257957
D4/GQ922004/Canada/1984/Canada/	1984-01-01	1984.000000
NODE_0000209	1184-06-29	1184.494687
D4/GQ922003/Canada/1984/Canada/	1984-01-01	1984.000000
D4/GQ922005/Canada/1984/Canada/	1984-01-01	1984.000000
NODE_0000210	1000-06-30	1000.497415
NODE_0000211	1056-11-11	1056.863651
D/KF779353/USA/2003/USA/	2003-01-01	2003.000000
D4/FJ692536/Haiti/2006/Haiti/	2006-01-01	2006.000000
NODE_0000212	1738-09-26	1738.737400
D4/FJ692532/Haiti/2006/Haiti/	2006-01-01	2006.000000
D4/FJ692533/Haiti/2006/Haiti/	2006-01-01	2006.000000
NODE_0000213	1240-04-27	1240.320820
D/HQ700458/NewZealand/1997/NewZealand/	1997-01-01	1997.000000
NODE_0000214	1312-07-10	1312.525126
NODE_0000215	1415-05-02	1415.335609
D/HQ700493/Fiji/2004/Fiji/	2004-01-01	2004.000000
D/HQ700494/Fiji/2004/Fiji/	2004-01-01	2004.000000
NODE_0000216	1470-01-04	1470.012822
D/HQ700503/Tonga/1992/Tonga/	1992-01-01	1992.000000
NODE_0000217	1536-08-31	1536.666899
D/HQ700492/Fiji/2004/Fiji/	2004-01-01	2004.000000
NODE_0000093	1698-09-26	1698.736483
NODE_0000098	1807-11-26	1807.903917
NODE_0000221	1839-05-31	1839.416049
D/HQ700500/Samoa/1993/Samoa/	1993-01-01	1993.000000
D/HQ700501/Samoa/1991/Samoa/	1991-01-01	1991.000000
